g6,n,edges,alpha,theta,gap,ratio,status
OoC?Igi_?E_eKcRCE@iO[,16,35,5,6.4653503024,1.4653503024,1.2930700605,Solved
OQ`KACoK?qCp_SOc@CwHU,16,35,5,6.4561928086,1.4561928086,1.2912385617,Solved
OQ`KACoK?kDH_SOc?cwPU,16,35,5,6.4522526336,1.4522526336,1.2904505267,Solved
O_?XSAGPB`KgCH?ua]@Qc,16,36,5,6.4490431612,1.4490431612,1.2898086322,Solved
OY_Gk?T`?S?WOUIHeBa@w,16,36,5,6.4483043162,1.4483043162,1.2896608632,Solved
OIEcS@HKQA?rCaaA?eX@M,16,36,5,6.4450267819,1.4450267819,1.2890053564,Solved
OoC?K@TIoQAGGjPFD_acP,16,36,5,6.4405345524,1.4405345524,1.2881069105,Solved
OGECC?cP?RaUTaJPEYAV?,16,37,5,6.4401001279,1.4401001279,1.2880200256,Solved
OIa_s@BIQAAb_aEA?eX@M,16,36,5,6.4399632971,1.4399632971,1.2879926594,Solved
O]?KQGSI?D_Ma@PAaOhAT,16,35,5,6.4395087655,1.4395087655,1.2879017531,Solved
O]??OIKO{KHHGgD@aHPOb,16,36,5,6.4379802949,1.4379802949,1.2875960590,Solved
OY_Gk?T`?S@GOUGheBa@w,16,36,5,6.4372073356,1.4372073356,1.2874414671,Solved
O@`BC_B?pPAbJCFGGBK@L,16,35,5,6.4312295078,1.4312295078,1.2862459016,Solved
O?N??_EG[`QQHqQXHRFE?,16,37,5,6.4306053839,1.4306053839,1.2861210768,Solved
O?F_?M@WHTISacccIHPQI,16,37,5,6.4297542591,1.4297542591,1.2859508518,Solved
OY_Gk?d`?S?WOUEHeBa@w,16,36,5,6.4295599508,1.4295599508,1.2859119902,Solved
OQQPS@BKQA@bKABG_RK@L,16,36,5,6.4283902314,1.4283902314,1.2856780463,Solved
OoCGc?fSOI@GGfSJCaaSP,16,36,5,6.4273733540,1.4273733540,1.2854746708,Solved
O?D_GUACcIdEW[SITOMaG,16,37,5,6.4269105329,1.4269105329,1.2853821066,Solved
OhCGKACQAQCTGsCIa]?Ii,16,36,5,6.4268715699,1.4268715699,1.2853743140,Solved
O]?KQGWH?D_Ma@PAaOhAT,16,35,5,6.4241354675,1.4241354675,1.2848270935,Solved
Oo?G_SS`_BgEPAI`eGroO,16,35,5,6.4240766783,1.4240766783,1.2848153357,Solved
O_GWc?bAt?iDKOPKgxCSK,16,37,5,6.4239083146,1.4239083146,1.2847816629,Solved
