g6,n,edges,alpha,theta,gap,ratio,status
ZHO\M_geAC_ls?@IT@?Ck?O\Ao?`OPQA??EFp??_?KY_GMEE_AKHC?b??EgW,27,92,7,10.0345589332,3.0345589332,1.433508419,Solved
ZHO\A?gcAC_lsGi@?]??Vh?DQC??eWIUA?_DeQ?A?HPc_CUEoA@?KDQ_wAS?,27,93,7,10.0335468949,3.0335468949,1.4333638421,Solved
ZHOXK_J?MC@JhHsCD?AI_CAeIOGHR?_GMgO@?OQGcD__WLCO@@bGICSgaCI?,27,93,7,10.0330819566,3.0330819566,1.4332974224,Solved
Z@O\MagCADc`e@O_c`KoHO_CCHN?_G@dO?d??oCwQi??GTSPK?Dc?@YdI?c?,27,93,7,10.0323182406,3.0323182406,1.4331883201,Solved
ZHO\E?geAC_lSGEQY?_IcG?\O_?C?hA`ECGD`IA_SK@t?oO??\B?{AG_oPg?,27,93,7,10.0320159346,3.0320159346,1.4331451335,Solved
ZHO\I_gcAD_hc@?kcHKoH?{bC_`OgCJ??GI?C_@h?gHG?QJa?IE@OOhg?JK?,27,93,7,10.0319247605,3.0319247605,1.4331321086,Solved
ZHOWC_JSdHsO@Pg_?EW?HPoCCPO@CWoXDB?DOAsC_@DdAAOs_c?I?BA_c_Eg,27,92,7,10.0317288171,3.0317288171,1.4331041167,Solved
Z@?\G_gc?FWc`OOE`WmQ?OGgWGHAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,92,7,10.0311166097,3.0311166097,1.4330166585,Solved
ZHO\A?geAC_lsGi@?Y??Vh?DQC??eWIUA?_DeQ?A?HPc_CUEoA@?KDQ_wAS?,27,93,7,10.0305194527,3.0305194527,1.4329313504,Solved
Z@?[G_gc?FWc`OOE`WmQ?OGgWKHAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,92,7,10.0299794249,3.0299794249,1.4328542036,Solved
Z@O\MagCADc`E@O_c`KoHO_CCHN?_G@dO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,93,7,10.0296495187,3.0296495187,1.4328070741,Solved
ZHO\I_gcAD_hc@?kcHKoH?{bC_`OgCJ?CGI?C_@`?gHG?QJa?IE@OOhg?JK?,27,93,7,10.0294456593,3.0294456593,1.4327779513,Solved
ZHO\M_geAC_ls?`IT@?Ck?O\Ao?@OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,91,7,10.0275364519,3.0275364519,1.4325052074,Solved
ZHO\M_geAC_ls?`IT@?Ck?O\Ao?@OPQA??EFp??_?KY_GMEE_AKHC?b??EgW,27,92,7,10.0274980845,3.0274980845,1.4324997264,Solved
ZHO\M_geAC_ls?`IT@?Ck?O\Ao?`OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,92,7,10.0274236657,3.0274236657,1.4324890951,Solved
ZGoWC_JSdHsO@Pg_?EW?HPoC?PO@CWoXDB?DOAsC_@DdIAOs_c?I?BA_c_Eg,27,92,7,10.0274160286,3.0274160286,1.4324880041,Solved
ZHO\M_geAC_ls?`IT@?Ck?O\Ao?`OPQA??EFp??_?KY_GMEE_AKHC?b??EgW,27,93,7,10.0272641313,3.0272641313,1.4324663045,Solved
ZHO\E?geAC_lSGEQY?_IcG?\O_?CAhA`ECGD`IA_SK@s?oO??\B?{AG_oPg?,27,93,7,10.0270757972,3.0270757972,1.4324393996,Solved
ZHO\A?geAC_lsGi@?]??Vh?DQC??eWIUA?_DeQ?A?HPc_CUEoA@?KDQ_wAS?,27,94,7,10.0253405362,3.0253405362,1.4321915052,Solved
ZHoX?_JGCc@JhGccWg??JIOEO_OC`Q?MCF?DS?cgHQOgOp_AEGHgO?QgbA?G,27,92,7,10.0235665114,3.0235665114,1.4319380731,Solved
ZHO\M_geAC_lsG`IT@?Ck?O\Ao?@OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,92,7,10.0231829094,3.0231829094,1.4318832728,Solved
ZHO\M_geAC_lsG`IT@?Ck?O\Ao?`OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,93,7,10.0231406686,3.0231406686,1.4318772384,Solved
ZHO\M_geAC_lsG`IT@?Ck?O\Ao?`OPQA??EFp??_?KY_GMEE_AKHC?b??EgW,27,94,7,10.0230276087,3.0230276087,1.431861087,Solved
ZHOXK_H?MC@JhHsCT?AI_CAeIOGHR?_GMgO@?OQGcD__WLCO@@bGICSgaCI?,27,93,7,10.0228296373,3.0228296373,1.4318328053,Solved
Z@O\MagCADc`e@O_c`KoHO_CCHN?_G@dO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,94,7,10.0225593085,3.0225593085,1.4317941869,Solved
ZHOXK_J?MC@JhHsCT?AI_CAaIOGHR?_GMgO@?OQGcD__WLCO@@bGICSgaCI?,27,93,7,10.0225521722,3.0225521722,1.4317931675,Solved
ZHO\E?geAC_lSGEQY?_IcG?\O_?CAhA`ECGD`IA_SK@t?oO??\B?{AG_oPg?,27,94,7,10.0207863831,3.0207863831,1.4315409119,Solved
ZHOWM_JHMC@JhGsCTO?`P?@w@OLO?GGGdAOIGAPQc?IP?AF?`t?CGGK_h@Og,27,93,7,10.0188377861,3.0188377861,1.4312625409,Solved
Z@?\G_gc?FWc`OOE`WmQ?OGgWKHAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,93,7,10.0183343723,3.0183343723,1.4311906246,Solved
ZHO\I_gcAD_hc@?kcHKoH?{bC_`OgCJ?CGI?C_@h?gHG?QJa?IE@OOhg?JK?,27,94,7,10.0177734263,3.0177734263,1.4311104895,Solved
ZHoWG_JS_HsOPPASYO@?F`KC?Lgc?M?QCd?`OHCgOcDSCWOARC@C?AUsX??G,27,93,7,10.0168588069,3.0168588069,1.4309798296,Solved
ZHOWC_JSdHsO@Pg_?EW?HPoCCPO@CWoXDB?DOAsC_@DdIAOs_c?I?BA_c_Eg,27,93,7,10.0160599474,3.0160599474,1.4308657068,Solved
ZHOHGAgeAC_Lt?AowgCoGCIWDGQE_su??O@c?GcX?KFWO_CHQ?D?KXAcA@a_,27,93,7,10.0157438471,3.0157438471,1.4308205496,Solved
Z@?\G_gc?FWc`OOE`WmQ?OGgWGLAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,93,7,10.015581437,3.015581437,1.4307973481,Solved
Z@?[G_gc?FWc`OOE`WmQ?OGgWKLAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,93,7,10.0155280699,3.0155280699,1.4307897243,Solved
ZHO\I__c?FwchOS??W_Fa?AqO_??fKp@?gCYPA@XOGw@@[_PCAP?o?e`ED?G,27,93,7,10.0149948535,3.0149948535,1.4307135505,Solved
ZHoX?_JGCc@J`GccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHg??QgbA?G,27,91,7,10.014792243,3.014792243,1.4306846061,Solved
ZHOXK_J?MC@JhHsCT?AI_CAeIOGHR?_GMgO@?OQGcD__WLCO@@bGICSgaCI?,27,94,7,10.0145771926,3.0145771926,1.4306538847,Solved
ZHoWC_JSdHsO@Pg_?EW?HPoC?PO@CWoXDB?DOAsC_@DdIAOs_c?I?BA_c_Eg,27,93,7,10.0133609558,3.0133609558,1.4304801365,Solved
ZHoX?_JGCc@J`GccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHgO?QgbA?G,27,92,7,10.013269748,3.013269748,1.4304671069,Solved
ZHO\I_?e?DwchOs??W_E??Aw_CW@fG?faWGQPGA[p@_G`?hAwA@GDCC`HG_G,27,93,7,10.0105446881,3.0105446881,1.4300778126,Solved
Z@OLMaGeA@c`a@Ok_gN?@CAcWCPIAWChOAIct???@Ceic?KIAGD?s@AcC@EG,27,93,7,10.0105133678,3.0105133678,1.4300733383,Solved
ZHoGC_JOdHs?@OPoQOOIhCAQ_aW@kPU?P?K`E?Sgg_HYo?OADo@GGGEgOp?G,27,93,7,10.0103751378,3.0103751378,1.4300535911,Solved
ZGoWC_JSdHsO@Pg_?EW?HPoCCPO@CWoXDB?DOAsC_@DdIAOs_c?I?BA_c_Eg,27,93,7,10.0102920522,3.0102920522,1.4300417217,Solved
ZGoWM_JOdHoOASs??chCEcKC@@D?DI`GcgSCOBB?GEBc_p_C_?l?QKAfO?_G,27,93,7,10.0098635073,3.0098635073,1.429980501,Solved
ZHO\I__c?FwchOs??W_Fa?AqO_??fKp@?gCYPA@XOGw@@[_PCAP?o?e`ED?G,27,94,7,10.0093061025,3.0093061025,1.4299008718,Solved
ZGoWI_HOdHsOATc?CeGCU_OL?KLG??@aKwOGE@KcE?B_WGsK?aPPHCAaSOo?,27,93,7,10.008339956,3.008339956,1.4297628509,Solved
ZHOHGAgeAC_lt?AowgCoGCIWDGQE_su??O@c?GcX?KFWO_CHQ?D?KXAcA@a_,27,94,7,10.0078547119,3.0078547119,1.4296935303,Solved
Z@?\G_gc?FWc`OOE`WmQ?OGgWKLAAIDcCOKP@CAh?DgcbB?u??D?gOIlI??G,27,94,7,10.0075199599,3.0075199599,1.4296457086,Solved
ZHOWM??hM_D??tSGcdOFG?ESDCMC@Go_cAgDCw?DG?PtOG_EOAgO?cB_?kIG,27,91,7,10.0073986786,3.0073986786,1.4296283827,Solved
ZHO\MAgCADch_@E_wa?BBCAc??hAaIGCcIO@cA@GfCGOAggPK_CI?CF??dSW,27,92,7,10.0063136074,3.0063136074,1.4294733725,Solved
Z@OW?_J@Cc@JhHscTAAM@OM?g@YcDBAOACCJcC@TU?O?h?oGKCHO`GD??WHW,27,93,7,10.0057418205,3.0057418205,1.4293916886,Solved
ZHOWM_JHMC@JhGsCTO?`P?@w@OLO?GGGdAOIGAPQcCIP?AF?`t?CGGK_h@Og,27,94,7,10.0055867134,3.0055867134,1.4293695305,Solved
ZHOWK_JScHsOPPs_CCOOZaCG`HI?GKG@CiA@CAAgOcIggAA?HQP_CGhCWA@W,27,93,7,10.0051659295,3.0051659295,1.4293094185,Solved
ZHoWC_JSdHsO@Pg_?EW?HPoCCPO@CWoXDB?DOAsC_@DdAAOs_c?I?BA_c_Eg,27,93,7,10.0049768932,3.0049768932,1.4292824133,Solved
ZHoX?_JGCc@JhGccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHg??QgbA?G,27,92,7,10.0044510506,3.0044510506,1.4292072929,Solved
ZHO\I__e?DwchOs??W_E??Aw_CW@fG?faWGQPGA[p@_G`?hAwA@GDCC`HG_G,27,94,7,10.0022508986,3.0022508986,1.4288929855,Solved
ZGOWI_HOdHsOATs?CeGCU_OL?KLG??@aKwOGE@KcE?B_WGsK?aPPHCAaSOo?,27,93,7,10.0018654179,3.0018654179,1.4288379168,Solved
ZHoX?_JGCc@JhGccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHgO?QgbA?G,27,93,7,10.0018121881,3.0018121881,1.4288303126,Solved
ZHoWE_ICdGs?@H`_W?OAiE?KBKI`AHH@_?SBg_aGUS@@AWgOJA@GWWG?_ARW,27,92,7,10.0003587342,3.0003587342,1.4286226763,Solved
ZHOLMageA?_lp?A_CAW`Q@ONOC_SK_hQ?`R?C@q???Ns_A@?wGAOCAp@@@cO,27,91,7,10.0000082889,3.0000082889,1.4285726127,Solved
ZHOLMageA?_lp?A_CAW`Q@ONOC_SK_hQ?`R?C@q???Ns_A@?wGAOCAp@@@co,27,92,7,9.9999961634,2.9999961634,1.4285708805,Solved
ZHOLMageA?_lp?A_CAW`Q@ONOC_SK_hQ?`R?C@q???Ns_A@?wGAOCAp`@@co,27,93,7,9.9999515132,2.9999515132,1.4285645019,Solved
ZHOTMagCAD_hoDAoS?g`E@CGOGe?GpA?wIOBHCP_A@``Q_`EAaAp??P_CWcG,27,92,7,9.9994805127,2.9994805127,1.4284972161,Solved
ZHO\I__e?FwcaWSA?Y?PBhAC?BlOA?B_LCAPCA@gCk_c?kC`W?DO?IabO?Gg,27,93,7,9.9989302296,2.9989302296,1.4284186042,Solved
ZHOKKagEADchoDC__KH?`aATCO_gS_S@?OcLHSOPU?CW?CFD?aP_@PoGKA?W,27,92,7,9.9982415458,2.9982415458,1.4283202208,Solved
ZHOWM??hM_D??tSGcdOFG?ESDCMC@Go_cAgDEw?DG?PtOG_EOAgO?cB_?kIG,27,92,7,9.9971206817,2.9971206817,1.4281600974,Solved
ZHO\I__e?FwcaWSA?Y?PBhAC?FlOA?B_LCA@CA@gCk_c?kC`W?DO?IabO?Gg,27,93,7,9.9955959894,2.9955959894,1.4279422842,Solved
ZHO\MAgCADch_@E_wa?BBEAc??hAaIGCcIO@cA@GfCGOAggPK_CI?CF??dSW,27,93,7,9.9948883971,2.9948883971,1.4278411996,Solved
ZHO\M_ge?EOcS??t_@s@CSAUg?GF@GHSGc@oOC?xI`_@@oBOFC_E_G?oC@Cg,27,92,7,9.994861688,2.994861688,1.427837384,Solved
ZHO\I_ge?FwchOi??QOAJs?CBC??SWH_YO_aOACWOCW_GkHOGX?HCCIaO?Qo,27,92,7,9.9948365488,2.9948365488,1.4278337927,Solved
ZHoWE_ICdGs?@H`_WOOAiE?KBKI`AHH@_?SBg_aGUS@@AWgOJA@GWWG?_ARW,27,93,7,9.9948054051,2.9948054051,1.4278293436,Solved
Z@OLMagEADchE@?_cHKo@?_cDoN?CGh?EGDD?HSBG?_?QSJCAAm?SQQWaD??,27,92,7,9.9943378457,2.9943378457,1.4277625494,Solved
ZHOXM_@hIcC??se?gcgPW?F?c`K?@k?WJCc?C?c[C@OgAIHIA_i?oAdBS?W?,27,91,7,9.9942298638,2.9942298638,1.4277471234,Solved
ZHoWC_JSdHsO@Pg_?EW?HPoCCPO@CWoXDB?DOAsC_@DdIAOs_c?I?BA_c_Eg,27,94,7,9.9936722989,2.9936722989,1.4276674713,Solved
Z?O[MagOadOBHOIoQAWHII@?DoGOSb?@GoOA?HoGE?qbOoGO?MHs?AcCb?@W,27,92,7,9.9935697159,2.9935697159,1.4276528166,Solved
ZHO\MAgCADch_@E_wa?BBCAc??hAaIGCcJO@cA@GfCGOAggPK_CI?CF??DSW,27,92,7,9.9933178078,2.9933178078,1.4276168297,Solved
ZHO\MAgCADch_@E_wa?BBCAc??hAaIGCcJO@cA@GfCGOAggPK_CI?CF??dSW,27,93,7,9.9932700592,2.9932700592,1.4276100085,Solved
Z@OWKagW_dPBGp@G`JM_AH?G@oY@COS?K`GQP@@K_CQgGhGxA?OAC?JaOCQG,27,92,7,9.993073531,2.993073531,1.427581933,Solved
ZHODM_gEAC_LsG@IS@?IdO`CBPdOAO?KNCo?E_SWw@OSAGHB@`@DGIO?H?SW,27,93,7,9.9929669704,2.9929669704,1.4275667101,Solved
ZHoX?_JGKc@JhGccWg??JIOEO_OC`Q?MCF?DS?cgHQOgOp_AEGHgO?QgbA?G,27,93,7,9.9925042237,2.9925042237,1.4275006034,Solved
ZHOWK_JHKC@IhGsCTO@GQ?ONACG`@gooPD?B?`oIAoCgOqGCIAD?BqGD??`W,27,93,7,9.9920463434,2.9920463434,1.4274351919,Solved
ZHoGK_JScHsOPP@SCCWs@GQ@?HOoH\H?IQAG?DEUg@?_X?QI?@J?CeOgCGCg,27,93,7,9.9919446628,2.9919446628,1.4274206661,Solved
ZHOWK_JScHsOPPs_CCOOZaCG`HI@GKG@CiA@CAAgOcIgg?A?HQP_CGhCWA@W,27,93,7,9.9914249166,2.9914249166,1.4273464167,Solved
ZHO\K_gC?@choDAsI@DO`C?c?@gCOSO_NCHG?WgiIOgWe?O?wIOC?oa`O_ag,27,92,7,9.9909838343,2.9909838343,1.4272834049,Solved
Z@O[M_gWaC[_IO?XR??CFpGCDW_oQOdKGHOP@IGG?cCc@LDcEo??GDAkO?QG,27,92,7,9.9905913089,2.9905913089,1.4272273298,Solved
ZGoWM_JOdHoOASs??ehCEcKC@@D?DI`GcgSCOBB?GEBc_p_C_?l?QKAfO?_G,27,94,7,9.9901958433,2.9901958433,1.4271708348,Solved
Z@OWMaGGad[_IQ?\KS?GFEDGAB?Gd?B?[g?Pe?@a@__aO_T`?BIoCD@C@GIW,27,92,7,9.9901900069,2.9901900069,1.427170001,Solved
ZHOKKagEADchoDC__KH?`aATCO_gS_S@?OcLHSOPU?KW?CFD?aP_@PoGKA?W,27,93,7,9.989969068,2.989969068,1.4271384383,Solved
ZHOXA_JgMcT??tE?_h_@B`oEQ?aHCG?YEh?PACBTHA?_@OD?CW`PC@PA?aAO,27,90,7,9.9896994858,2.9896994858,1.4270999265,Solved
ZHOXM?gaAC_LsGiA?gY_I?KKcEGaOGCEOJ?SpG?_S@CQ@@DGDGp@[CQAA_J?,27,92,7,9.9896913675,2.9896913675,1.4270987668,Solved
Z@OLMaGeA@cha@Ok_gN?@CAcWCPIAWChOAIct???@Ceic?KIAGD?s@AcC@EG,27,94,7,9.9894127441,2.9894127441,1.4270589634,Solved
Z?O[MagOAdOBHOIoQAWHII@?DoGOSb?@IoOA?HoGE?qbOoGO?MHs?AcCb?@W,27,92,7,9.9888215303,2.9888215303,1.4269745043,Solved
ZHOXA_JgMcT??tE?_h_@B`oEQ?aHCG?YEh?PACBTHA?_@PD?CW`PC@PA?aAO,27,91,7,9.9887847272,2.9887847272,1.4269692467,Solved
Z?O[MagOadOBHOIoQAWHII@?DoGOSb?@IoOA?HoGE?qbOoGO?MHs?AcCb?@W,27,93,7,9.988722733,2.988722733,1.4269603904,Solved
ZHoX?_JGKc@J`GccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHg??QgbA?G,27,92,7,9.9885029542,2.9885029542,1.4269289935,Solved
ZHO\I_ge?FwchOiA?QOAJs?CBC??SWH_YO_aOACWOCW_GkHOGX?HCCIaO?Qo,27,93,7,9.9884701399,2.9884701399,1.4269243057,Solved
Z@O\M__e?FGCoGABC_WcEAWLAo_cKPO?NC`@@BCPA_DkB@??PKP@?pBR@??W,27,92,7,9.9883411433,2.9883411433,1.4269058776,Solved
Z@O\M_ge?FwcsG?D@?YC`CBI??POCWF@G?AP`AOgsAH?kAPOCATGBHGc_Hc?,27,92,7,9.9881055331,2.9881055331,1.426872219,Solved
ZHO\M_ge?EOcS??t_@s@CCAUg?GF@GHSGc@oOC?xI`_@@oBOFC_E_GOoC@Cg,27,92,7,9.9877746085,2.9877746085,1.4268249441,Solved
ZHO\M_gEAC_LsGi??Y??NhACGCiH__EeI?GEoD??@?R__{@@IWCC_@`DGACG,27,91,7,9.9877269895,2.9877269895,1.4268181414,Solved
ZHOXM_?C?Fwc?teASaA@Feg?gaEG_GC@C?K\IW?P?SSGC?H@COLacC@?Gc`W,27,92,7,9.9876842541,2.9876842541,1.4268120363,Solved
ZHOWE_JSdHsO@HH_WO?AiEAK?RI?C_QWMO`A@?LKsC?sc?oIo?cO@AJ?A[?W,27,93,7,9.9875855243,2.9875855243,1.426797932,Solved
Z@OWMaGGad[_IQ?\KS?GFEDGAB?Gd?B?[gGPe?@a@__aO_T`?BIoCD@C@GIW,27,93,7,9.9874400576,2.9874400576,1.4267771511,Solved
ZHOX?_J@Cc@JhHscTAAM@Po@?w??GkU?GOQI?QwdH?CIA?J?@ZAGACGoC@Og,27,92,7,9.9874336241,2.9874336241,1.426776232,Solved
Z@O[M_gWaC[_IO?XR??CFpGCDW_oQOdKGHOP@I?H?RP?AoRcEo?W_?c?CA_w,27,92,7,9.9871272562,2.9871272562,1.4267324652,Solved
ZHOWM_JOdHsOASs??egCEeCCGKSCD@AA\O_EOBA_SA?cGE@CK@Dh?_A__oK_,27,92,7,9.9870629316,2.9870629316,1.4267232759,Solved
ZHO\MagCAD?hoDAoS?g`E@CGOGe?GpA?wIOBHCP_A@``Q_`EAaAp??P_CWcG,27,92,7,9.9866434982,2.9866434982,1.4266633569,Solved
ZGOXMAGeEGGUAoo_?iG?PGS@OaXA?_OISZ?Ok?cP?PJO_pS@KOeCiI_EDW??,27,93,7,9.9863550733,2.9863550733,1.4266221533,Solved
Z@O[M_gWaC[_IO?XR??CFpGCDW_oQOdKGHOP@I?H?RP?AoRcEo?W_Gc?CA_w,27,93,7,9.9863204208,2.9863204208,1.426617203,Solved
ZHoX?_JGKc@J`GccWg??JIOEO_OC`Y?MCF?DS?cgHQOgOp_AEGHgO?QgbA?G,27,93,7,9.9862443471,2.9862443471,1.4266063353,Solved
ZHOWK_JScHsOPPs_CCOOZaCG`HI@GKG@CiA@CAAgOcIggAA?HQP_CGhCWA@W,27,94,7,9.9862018138,2.9862018138,1.4266002591,Solved
ZHO\M_ge?FOcS??t`@sHC?AQgAGF?MG?S?@tG?M_?[AbO?DPK?KGOI@gAaOG,27,91,7,9.9861512147,2.9861512147,1.4265930307,Solved
ZHO\M_ge?FOcS??t`@sHCCAQgAGF?MG?S?@tG?M_?[AbO?DPK?KGOI@gAaOG,27,92,7,9.9861168013,2.9861168013,1.4265881145,Solved
Z@O\I_geAC_ls?x??Y@OLCIWAFE?GOQOMC_`?SDic?`?DGBHC_PI?H`OG@@W,27,93,7,9.9858442255,2.9858442255,1.4265491751,Solved
ZHOLKAgC?DchoDA_r@@IaCWQcOG@BIcGC?AxaD?GuCCG?FB?APP@[?Gi`?Q?,27,92,7,9.985830557,2.985830557,1.4265472224,Solved
ZGoWI_HOdHsOATs?CeGCU_OL?KLG??@aKwOGE@KcE?B_WGsK?aPPHCAaSOo?,27,94,7,9.9857857228,2.9857857228,1.4265408175,Solved
ZHOXM?gaAC_LsGiA?gY_I?KKcEGaOGCEOJ?SpG?gS@CQ@@DGDGp@[CQAA_J?,27,93,7,9.9856296359,2.9856296359,1.4265185194,Solved
Z@?[M_gWaC[_IO?XR??CFpGCDW_oQOdKGHOP`I?H?RP?AoRcEo?W_Gc?CA_w,27,93,7,9.9851170021,2.9851170021,1.426445286,Solved
Z@O\I_geAC_lsGw??Y@OLCIWAFE?GOQOMC_`?SDic?`?DGBHC_PI?H`OG@@W,27,93,7,9.9844236972,2.9844236972,1.4263462425,Solved
ZHO\K_gC?@choDAsI@DO`C?c?@gCOSOgNCHG?WgiIOgWe?O?wIOC?oa`O_ag,27,93,7,9.9843663256,2.9843663256,1.4263380465,Solved
ZHO\MagCAD_hoDAoS?g`E@CGOGe?GpA?wIOBHCP_A@``Q_`EAaAp??P_CWcG,27,93,7,9.9842612731,2.9842612731,1.426323039,Solved
ZHO\I__e?FwcaWSA?Y?PBhAC?FlOA?B_LCAPCA@gCk_c?kC`W?DO?IabO?Gg,27,94,7,9.9840785923,2.9840785923,1.4262969418,Solved
Z@O[MaGWad?BHPe@GSTGG@SWi?G`c`HAA?Y?O?@xUG?_@@POGTHAOKWQ?c__,27,92,7,9.9840694929,2.9840694929,1.4262956418,Solved
ZHoWE_ISdGs?@H`_W?OAiE?KBKI`AHH@_?SBg_aGUS@@AWgOJA@GWWG?_ARW,27,93,7,9.983720609,2.983720609,1.4262458013,Solved
Z@O[M_gWaC[_IO?XR??CFpGCDW_oQOdKGHOP@IGG?cCc@LDcEo??HDAkO?QG,27,93,7,9.9829991352,2.9829991352,1.4261427336,Solved
ZHOTMagCAD_hoDAoS?g`E@KGOGe?GpA?wIOBHCP_A@``Q_`EAaAp??P_CWcG,27,93,7,9.9827462374,2.9827462374,1.4261066053,Solved
Z@OWC_J@Ec@JhHsCT?A_dXO?_wEG?GS?tF?C?HYGAFICQ?R?`Y_e??HcF?GG,27,93,7,9.9826958536,2.9826958536,1.4260994077,Solved
ZHOKKagEADchoDC__KHC`aATCO_gS_S@?OcLHSOPU?CW?CFD?aP_@PoGKA?W,27,93,7,9.9825222399,2.9825222399,1.4260746057,Solved
ZHO\MAgCADch_@E_wa?BBEAc??hAaIGCcJO@cA@GfCGOAggPK_CI?CF??DSW,27,93,7,9.9820886482,2.9820886482,1.426012664,Solved
ZHOXI_ge?FgcsG?D@@WFAh?Md@AG??SKOOGFiOO_B_E?OcFc`G_OAQA_AQ_g,27,92,7,9.9819376796,2.9819376796,1.4259910971,Solved
ZHO\MAgCADch_@E_wa?BBEAc??hAaIGCcJO@cA@GfCGOAggPK_CI?CF??dSW,27,94,7,9.9816625194,2.9816625194,1.4259517885,Solved
ZHOXG_gc?F_chOsA?SXQIODID_ICKCoOS?Oue_AG?SG_aAP?WOXoPG@@Q_@O,27,92,7,9.9814284217,2.9814284217,1.425918346,Solved
ZHoWE_ISdGs?@H`_WOOAiE?KBKI`AHH@_?SBg_aGUS@@AWgOJA@GWWG?_ARW,27,94,7,9.9811823511,2.9811823511,1.425883193,Solved
Z@O[IagWA`?@GPe@?PXUGC?LAcHIGSOsMCIGp?K?@aD_mH?aTG?G?@LiOO@G,27,93,7,9.9811071525,2.9811071525,1.4258724504,Solved
ZHO\MagC?@cho@?sI@AH_g?KCb_sOgF@AGSCCAqWOcQCHADA?w@o@Oa?a@GW,27,93,7,9.9810994987,2.9810994987,1.425871357,Solved
ZHODM_gEAC_LsG@IS@?IdO`CBPdOAO?KNCo?E_SWo@OSAGHB@`@DGIO?H?TW,27,93,7,9.9810502847,2.9810502847,1.4258643264,Solved
ZHODM_gEAC_LsG@IS@?IdO`CBPdOAO?KNCo?E_SWw@OSAGHB@`@DGIO?H?TW,27,94,7,9.9810379409,2.9810379409,1.425862563,Solved
ZHO\K_gC?@choDAsI@DO`C?c?`gCOSO_NCHG?WgiIOgWe?O?wIOC?oa`O_ag,27,93,7,9.9810056504,2.9810056504,1.4258579501,Solved
