g6,n,edges,alpha,theta,gap,ratio,status
Z@O\MagCADc`e@O__`KoHO_CCHN?_G@DO?d??oCwQi??GTSPK?Dc?@YdI?c?,27,91,7,10.0605686591,3.0605686591,1.4372240942,Solved
Z@O\MagCADc`e@O_c`KoHO_CCHN?_G@DO?d??oCwQi??GTSPK?Dc?@YdI?c?,27,92,7,10.049476748,3.049476748,1.4356395354,Solved
Z@O\MagCADc`e@O__`KoHO_CCHN?_G@dO?d??oCwQi??GTSPK?Dc?@YdI?c?,27,92,7,10.0475785904,3.0475785904,1.4353683701,Solved
Z@O\MagCADc`e@O__`KoHO_CCHN?_G@DO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,92,7,10.0465858704,3.0465858704,1.4352265529,Solved
ZHoWG_JS_HsOPOASYO@?F`KC?Lgc?M?QCd?`OHCgOcDSCWOARC@C?AUsX??G,27,92,7,10.0420227144,3.0420227144,1.4345746735,Solved
ZHO\I_gcAD_hc@?kcHKoH?{bC_`OgCJ??GI?C_@`?gHG?QJa?IE@OOhg?JK?,27,92,7,10.0412413934,3.0412413934,1.4344630562,Solved
ZHOWG_JS_HsOPPASYO@?F`KC?Lgc?M?QCd?`OHCgOcDSCWOARC@C?AUsX??G,27,92,7,10.0409790593,3.0409790593,1.4344255799,Solved
Z@O\MagCADc`E@O_c`KoHO_CCHN?_G@DO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,92,7,10.0408218641,3.0408218641,1.4344031234,Solved
ZHOXK_J?MC@JhHsCD?AI_CAaIOGHR?_GMgO@?OQGcD__WLCO@@bGICSgaCI?,27,92,7,10.0407857032,3.0407857032,1.4343979576,Solved
Z@O\MagCADc`e@O__`KoHO_CCHN?_G@dO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,93,7,10.0380245976,3.0380245976,1.4340035139,Solved
ZHO\M_geAC_ls?@IT@?Ck?O\Ao?@OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,90,7,10.0350546417,3.0350546417,1.4335792345,Solved
Z@O\MagCADc`e@O_c`KoHO_CCHN?_G@DO?d??oCwQiO?GTSPK?Dc?@YdI?c?,27,93,7,10.0350266866,3.0350266866,1.4335752409,Solved
ZHO\M_geAC_ls?@IT@?Ck?O\Ao?`OPQA??EFo??_?KY_GMEE_AKHC?b??EgW,27,91,7,10.0349280062,3.0349280062,1.4335611437,Solved
