g6,edges,alpha,theta,gap,ratio,status
G???F{,7,7,6.9999999985,-0.0000000015,0.9999999998,Solved
G??CFw,7,6,6.0000000005,0.0000000005,1.0000000001,Solved
G??CF{,8,6,6.0000000000,0.0000000000,1.0000000000,Solved
G??E@{,7,6,5.9999999985,-0.0000000015,0.9999999998,Solved
G??EDw,7,6,6.0000000009,0.0000000009,1.0000000001,Solved
G??ED{,8,6,6.0000000000,0.0000000000,1.0000000000,Solved
G??EFw,8,6,6.0000000001,0.0000000001,1.0000000000,Solved
G??EF{,9,6,6.0000000005,0.0000000005,1.0000000001,Solved
G??F?{,7,6,6.0000000005,0.0000000005,1.0000000001,Solved
G??FCw,7,6,5.9999999998,-0.0000000002,1.0000000000,Solved
G??FC{,8,6,6.0000000001,0.0000000001,1.0000000000,Solved
G??FEw,8,6,5.9999999979,-0.0000000021,0.9999999997,Solved
G??FE{,9,6,6.0000000000,-0.0000000000,1.0000000000,Solved
G??FFw,9,6,6.0000000013,0.0000000013,1.0000000002,Solved
G??FF{,10,6,6.0000000001,0.0000000001,1.0000000000,Solved
G??FeW,8,6,5.9999999996,-0.0000000004,0.9999999999,Solved
G??Fe[,9,6,6.0000000000,0.0000000000,1.0000000000,Solved
G??FfW,9,6,6.0000000006,0.0000000006,1.0000000001,Solved
G??Ff[,10,6,6.0000000001,0.0000000001,1.0000000000,Solved
G??Ffw,10,6,6.0000000000,0.0000000000,1.0000000000,Solved
G??Ff{,11,6,6.0000000005,0.0000000005,1.0000000001,Solved
G??Fvg,10,6,5.9999999997,-0.0000000003,0.9999999999,Solved
G??Fvk,11,6,5.9999999970,-0.0000000030,0.9999999995,Solved
G??Fvw,11,6,5.9999999994,-0.0000000006,0.9999999999,Solved
G??Fv{,12,6,5.9999999998,-0.0000000002,1.0000000000,Solved
G??F~w,12,6,5.9999999976,-0.0000000024,0.9999999996,Solved
G??F~{,13,6,5.9999999981,-0.0000000019,0.9999999997,Solved
G?AAFo,7,5,5.0000000015,0.0000000015,1.0000000003,Solved
G?AAFw,8,5,5.0000000003,0.0000000003,1.0000000001,Solved
G?AAF{,9,5,5.0000000011,0.0000000011,1.0000000002,Solved
G?ABCs,7,5,4.9999999990,-0.0000000010,0.9999999998,Solved
G?ABC{,8,5,5.0000000010,0.0000000010,1.0000000002,Solved
G?ABEo,7,5,5.0000000012,0.0000000012,1.0000000002,Solved
G?ABEs,8,5,5.0000000005,0.0000000005,1.0000000001,Solved
G?ABEw,8,5,5.0000000016,0.0000000016,1.0000000003,Solved
G?ABE{,9,5,5.0000000008,0.0000000008,1.0000000002,Solved
G?ABFo,8,5,4.9999999993,-0.0000000007,0.9999999999,Solved
G?ABFs,9,5,4.9999999997,-0.0000000003,0.9999999999,Solved
G?ABFw,9,5,5.0000000005,0.0000000005,1.0000000001,Solved
