g6,n,edges,alpha,theta,gap,ratio,status
TGoWK_JOdHsOPO?_iC`QbKGOCSI_QKC@CWQ@,21,58,6,8.1223059757,2.1223059757,1.3537176626,Solved
THOWG?JSdHsOPPs?CCIIHACib??CQoQg?OAF,21,57,6,8.1222738414,2.1222738414,1.3537123069,Solved
THoGG?JOdHsOADs_wg?`GgSCZ??ig@@D@?GT,21,57,6,8.1220689522,2.1220689522,1.3536781587,Solved
THOWK_ISdHsOATS??CHCEaCNC?aIGO`?kJH@,21,58,6,8.1218552342,2.1218552342,1.353642539,Solved
THoGC_ISdHcOPPH_GH?oF@DGU?d??wQiJO`?,21,58,6,8.121789484,2.121789484,1.3536315807,Solved
THoWC_BSDHcOPOo_CCWQX`DG`@M`??CCkGUC,21,57,6,8.1217246012,2.1217246012,1.3536207669,Solved
THOGG?JOcHsOADs_wg?`HgSCZ??ig@@D@?GT,21,56,6,8.1216645588,2.1216645588,1.3536107598,Solved
THoOC_JSdGcOPPATGX@@Ec?Ke@MK?_ODG?cJ,21,58,6,8.1215228762,2.1215228762,1.353587146,Solved
THOXK_J?AC@JhHsCD?AI_CAmgWAI`CCGC?`p,21,57,6,8.1214859106,2.1214859106,1.3535809851,Solved
THOXK_J?Mc?JhHsCTAAI_C?kADLO_?E?S?gp,21,58,6,8.1213054392,2.1213054392,1.3535509065,Solved
T@OWC_J@Ec@JhHsCT?A_dXO?_wCS?qM???Dh,21,57,6,8.1212430881,2.1212430881,1.3535405147,Solved
THOXK_J?AC@JhHscT?AI_CAmgWAG`CCGC?hp,21,59,6,8.1208593888,2.1208593888,1.3534765648,Solved
THO\I_ge?FWchOO?aCGQ@?Fc_LOJ_E?PCY@H,21,59,6,8.1207758334,2.1207758334,1.3534626389,Solved
THOXK_J?Mc?JhHsCTAAI_C?gADLO_AE?S?gp,21,58,6,8.1207439874,2.1207439874,1.3534573312,Solved
THOWK_ISdHsOATS??CHCEaCNCAaIG?`?kJH@,21,58,6,8.1206419992,2.1206419992,1.3534403332,Solved
THOXK_J?EC@JhHscT?AI_CAk_w?GBKS?POo@,21,58,6,8.1206389249,2.1206389249,1.3534398208,Solved
THOXK_J?Mc?JhHsCTAAI_?AkADLO?A`@GB?J,21,58,6,8.1204421561,2.1204421561,1.353407026,Solved
THoWM_JOd@oO?@HSgcOsC_?[GSGIOlC@COcH,21,58,6,8.12037654,2.12037654,1.35339609,Solved
THoGK_JSdHsOADc??ChCEOQGdOa@AMG@_Y?I,21,57,6,8.1203050736,2.1203050736,1.3533841789,Solved
THOXK_J?AC@JhHsCD?AI_CAmgWAG`CCGS?`t,21,58,6,8.1203025529,2.1203025529,1.3533837588,Solved
THoWK_JODGsOPPATQO@?F_KD?@GOTGE_cOcD,21,57,6,8.1202820082,2.1202820082,1.3533803347,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAI`?CGC?`p,21,58,6,8.1201724773,2.1201724773,1.3533620795,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?gKOEJI?GADo,21,57,6,8.1200871679,2.1200871679,1.3533478613,Solved
THoWC_HSdHsOPPADQO@?FPGCf??@DIAR?Q?J,21,57,6,8.1198163298,2.1198163298,1.3533027216,Solved
THOXK_J?Mc?JhHsCT?AI_CGGADLO_??T`B?J,21,57,6,8.1198002394,2.1198002394,1.3533000399,Solved
THOOM_@HMC@JhGsCT??`P?@wJOPDG?pORC?R,21,58,6,8.1197922816,2.1197922816,1.3532987136,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAI`?CGC?hp,21,59,6,8.1196313645,2.1196313645,1.3532718941,Solved
TGoWK_JOdHsOPP__iC`QBKGOCSI_QKC@CWQ@,21,59,6,8.1196039041,2.1196039041,1.3532673174,Solved
T@OWC_J@Ec@BhGscTOA_dXO?_OCS?yM?G?dg,21,57,6,8.1195747135,2.1195747135,1.3532624523,Solved
THOGK_JSdHsOADc??ChCEOQGdOa@EMG@_Y?I,21,57,6,8.1195327803,2.1195327803,1.3532554634,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAG`?CGS?hp,21,59,6,8.1195241697,2.1195241697,1.3532540283,Solved
T@OWC_J@Ec@BhGscTOA_dXO?_WCS?yM?G?dg,21,58,6,8.1194627002,2.1194627002,1.3532437834,Solved
THoWC_JSdHsOADc??ChCEOQGdO_@EMG@_Y?I,21,57,6,8.1193461788,2.1193461788,1.3532243631,Solved
T@?WK_JhMcT?SdXOY??QoG_K?kGCBbI?IGAB,21,58,6,8.1192926002,2.1192926002,1.3532154334,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?kKOEJI?GADo,21,58,6,8.119219712,2.119219712,1.3532032853,Solved
THOXK_J?IC@JhHscT?AI_C?mgWAI`?CGS?go,21,58,6,8.1191810925,2.1191810925,1.3531968487,Solved
THOXK_J?Kc?JhHsCTAAI_C?gADLO_IE?S?gp,21,58,6,8.1190847602,2.1190847602,1.3531807934,Solved
THOXK_J?IC@JhHsCT?AI_C?mgWAI`?CGS?ho,21,58,6,8.1190517548,2.1190517548,1.3531752925,Solved
THO\M?geAC_hsGI??YGBQ_@PCOWs?p?GMCg`,21,58,6,8.1189933355,2.1189933355,1.3531655559,Solved
THOWK_JSdHsOADc??ChCEOQGdOa@AMG@_Y?I,21,57,6,8.1189629896,2.1189629896,1.3531604983,Solved
THOXK_J?IC@JhHscT?AI_?AmgOAI`?`@_ACF,21,58,6,8.1188894818,2.1188894818,1.353148247,Solved
THOWE_AGKcT?pG?Ewa?sA?t_f@?`HGJI?_GJ,21,57,6,8.1188057656,2.1188057656,1.3531342943,Solved
THOXK_J?IC@JhHsCT?AI_C?mgWAI`?CGS?hp,21,59,6,8.1187158023,2.1187158023,1.3531193004,Solved
THOWK_JOcHsOPPATWOH?EaCDOcGoD@I@QA?U,21,58,6,8.1186735267,2.1186735267,1.3531122545,Solved
THOGG?JOcHsOATs_wg?`HgSCZ??ig@@D@?GT,21,57,6,8.1186206858,2.1186206858,1.3531034476,Solved
THOXK_J?Mc?JhHsCTAAI_C?kADLO_GE?S?gp,21,59,6,8.1184732488,2.1184732488,1.3530788748,Solved
THOXK_J?IC@JhHscT?AI_C?mgWAI`?CGS?gp,21,59,6,8.1184722656,2.1184722656,1.3530787109,Solved
THOWC_JHEC@JhHsCTOAI@?_qg?G@QicGG?Oj,21,58,6,8.1182690345,2.1182690345,1.3530448391,Solved
THOXMagE?DchoDE_Wa?BBPAEg?G@J?_SgBOI,21,59,6,8.118251339,2.118251339,1.3530418898,Solved
THOXC_HhMcT??t?JA?YIAc_EE?_@WhA@D?PL,21,58,6,8.1181600936,2.1181600936,1.3530266823,Solved
THOWK_ISdHsOATs??ChCEaCNC?aIGO`?KJ@@,21,58,6,8.1181577821,2.1181577821,1.353026297,Solved
T@OWK_JhMcT?SdXOYC?Q_G_K?lCOCPC@`D?B,21,58,6,8.1181434889,2.1181434889,1.3530239148,Solved
THOXK_J?IC@JhHscT?AI_CAmgWAI`?CGC?_p,21,58,6,8.118130239,2.118130239,1.3530217065,Solved
THOWC_JHEC@JhHsCTOAI@?_qg?G@OicGG@Oj,21,58,6,8.1180821407,2.1180821407,1.3530136901,Solved
T@?WC_JhMcT?SdXOY??QoG_KCkGCBiM?AGAB,21,58,6,8.1180062209,2.1180062209,1.3530010368,Solved
THOXK_J?AC@JhHscT?AI_CAmgWAI`CCGC?_p,21,58,6,8.1179853582,2.1179853582,1.3529975597,Solved
THOXK_J?AC@JhHsCT?AI_CAmgWAI`CCGC?`p,21,58,6,8.1179426106,2.1179426106,1.3529904351,Solved
TH?XA_JhMcT??tC?_`a@A`oFE???b\AB?WAT,21,58,6,8.1179227658,2.1179227658,1.3529871276,Solved
TGoWK_HSdHsOPP_?b@`OaPGXOd?E@K?_Sq_@,21,58,6,8.1178967887,2.1178967887,1.3529827981,Solved
THOXK_J?IC@JhHscT?AI_CAmgWAI`?CGC?gp,21,59,6,8.1178859334,2.1178859334,1.3529809889,Solved
THoWC_JSdGcOPPATGX@@Ec?Ke@MG?_ODG?cJ,21,58,6,8.117804872,2.117804872,1.3529674787,Solved
THOXK_J?AC@JhHscT?AI_CAmgWAI`CCGS?_p,21,59,6,8.1176923334,2.1176923334,1.3529487222,Solved
THoWC_HSdHsOPPADQ?@?FPGCf??@FIAR?Q?J,21,57,6,8.1176234585,2.1176234585,1.3529372431,Solved
THOLI__e?FwcaW_?BO`IbDGOAUGQAM?@CSI@,21,58,6,8.1175028498,2.1175028498,1.3529171416,Solved
THoWC_JSdGcOPPATGX@@Ec?Ke@MG?_@GCWAd,21,58,6,8.117439564,2.117439564,1.352906594,Solved
THoGG?JOdHsOADs_wg?`GgSCZ??ig@@DD?GT,21,58,6,8.1173276616,2.1173276616,1.3528879436,Solved
T@OWC_J@Ec@JhHsCT?A_dXO?_wCS?yM???Dh,21,58,6,8.1172152564,2.1172152564,1.3528692094,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAI`?CGS?`p,21,59,6,8.11717001,2.11717001,1.3528616683,Solved
T@O\M_geAC_hsGI??YGBQ_@PCOWs?p?GMCg`,21,58,6,8.1171586431,2.1171586431,1.3528597738,Solved
T@OWK_JhMcT?SdXOYC?Q_G_K?lCOCIIG?A?r,21,58,6,8.117101546,2.117101546,1.3528502577,Solved
TH?WE_J@MC?BhHocTA?M@CHSJCD?_goID?Ak,21,58,6,8.1170623586,2.1170623586,1.3528437264,Solved
THOXK_J?Kc?JhHsCTAAI_CGK?DLO_G?ThB?B,21,58,6,8.1169300367,2.1169300367,1.3528216728,Solved
THOXK_J?Kc?JhHsCTAAI_C?kADL?_IE?S?hp,21,59,6,8.1169091317,2.1169091317,1.3528181886,Solved
THoWK_JOCHsOPPATC?YcQ__Gd?A`GSC`KGQK,21,58,6,8.1168495125,2.1168495125,1.3528082521,Solved
THOXK_J?Kc?JhHsCTAAI_CGK?DLO_G?ThB?J,21,59,6,8.1167474965,2.1167474965,1.3527912494,Solved
T@oWE_JSd@oO@HH_WOOAiE?M?RGMOQGWG_?r,21,58,6,8.1166401287,2.1166401287,1.3527733548,Solved
THOXK_J?IC@JhHscT?AI_CAmgWAI`?CGS?go,21,59,6,8.1166318697,2.1166318697,1.3527719783,Solved
THOXK_J?AC@JhHsCD?AI_CAmgWAI`CCGS?`p,21,58,6,8.1165354162,2.1165354162,1.3527559027,Solved
T@OLAageAC_hp?x?@WG@d@oCgIG`PB?gSODS,21,58,6,8.1164971558,2.1164971558,1.352749526,Solved
T?oWK_@CDHsOOPs_DAWHiOs?OchU_C?Ckq_@,21,58,6,8.1164528722,2.1164528722,1.3527421454,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?k?CBjI?IGBG,21,57,6,8.116385854,2.116385854,1.3527309757,Solved
THOXK_J?AC@JhHscD?AI_CAmgWAI`CCGSOgo,21,59,6,8.1163566228,2.1163566228,1.3527261038,Solved
THOXK_J?AC@JhHsCD?AI_CAmgWAI`CCGC?hp,21,58,6,8.1163423609,2.1163423609,1.3527237268,Solved
T@OKAageAC_hp?x?@WG@d@oCgIG`PB?gSQDS,21,58,6,8.1163150267,2.1163150267,1.3527191711,Solved
THOXK_J?AC@JhHscT?AI_CAmgWAI`CCGC?gp,21,59,6,8.1163033265,2.1163033265,1.3527172211,Solved
THOHI_J@Gc@JOch@sA?oD?IWd?MCGs@OiWAC,21,58,6,8.1161565971,2.1161565971,1.3526927662,Solved
THOHM_J@Gc@JOCh@sA?_D?IWd?MCGs@OiWAC,21,57,6,8.1161058738,2.1161058738,1.3526843123,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?kGCBjI?IGBG,21,58,6,8.1160225111,2.1160225111,1.3526704185,Solved
THOXC?J?Mc@JhGcCTAAI_AAsO_mC_IIB?ADS,21,58,6,8.115958074,2.115958074,1.352659679,Solved
THOXK_J?Mc?JhHoCTAAI_?AkADLO?a`@GB@J,21,59,6,8.1159175352,2.1159175352,1.3526529225,Solved
THoWM_BSDHc?ACs_ccS?hEGC@LKC`HEC@CCB,21,58,6,8.1159067628,2.1159067628,1.3526511271,Solved
T@?WK_JhMcT?SdPOY??QoG_K?k?CBjI?IGBG,21,57,6,8.1158551641,2.1158551641,1.3526425274,Solved
THOWK_ISdHsOATS??ChCEaCNCAaIG?`?KJ@@,21,57,6,8.1158474146,2.1158474146,1.3526412358,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAG`CCGC?`p,21,58,6,8.1157920302,2.1157920302,1.352632005,Solved
THOXC_J@Cc@Jh@scTAAM@?M?YAA?oG@JEc?H,21,58,6,8.1157839822,2.1157839822,1.3526306637,Solved
THOWK_ISdHsOATS??ChCEaCNC?aIGO`?Kj?@,21,57,6,8.115710085,2.115710085,1.3526183475,Solved
TH?WE_J@Mc?Bh@ocTA?M@CHSJCD?_goAD?Al,21,58,6,8.1156199089,2.1156199089,1.3526033182,Solved
THO\MagE?DchoDE_Ga?BBPAEg?G@BG_SgBOI,21,59,6,8.1155289527,2.1155289527,1.3525881588,Solved
T@?WK_JhMcT?SdPOY??QoG_K?kGCBjI?IGBG,21,58,6,8.1155096098,2.1155096098,1.352584935,Solved
THO\M_geAC_hsGI??YGBQ_@PCOWs?o?KKCg`,21,58,6,8.1154356759,2.1154356759,1.3525726126,Solved
THOWC_JHEC@JhHsCTOAI@?_qg?G@QicGG@Oj,21,59,6,8.1152367755,2.1152367755,1.3525394626,Solved
THOXK_J?Mc?JhHsCTAAI_?AkADLO?a`@GB?J,21,59,6,8.115100573,2.115100573,1.3525167622,Solved
T@OWM?BGEC@AhHScTO?`P@SDQCKH_GAJCgGH,21,56,6,8.1150250026,2.1150250026,1.3525041671,Solved
THoGG?JOdHsOATs_wg?`GgSCZ??ig@@D@?GT,21,58,6,8.1150097714,2.1150097714,1.3525016286,Solved
THOXK_J?Mc@JhHsCTAAI_C?gADLO_?E?S?gp,21,58,6,8.1149419141,2.1149419141,1.352490319,Solved
THOPC_J@Cc@Jh@scTAAM@?M?YAAAoG@JEc?H,21,58,6,8.1149266823,2.1149266823,1.3524877804,Solved
THoWC_JCdHsOPPh_?AY`HOq?g?_I_K_CG?cJ,21,57,6,8.1148157166,2.1148157166,1.3524692861,Solved
