g6,n,edges,alpha,theta,gap,ratio,status
MIP@?KQAXHEAB`EQ?,14,26,5,6.1817366254,1.1817366254,1.2363473251,Solved
MqGOOH@_gQ?oGFCJ?,14,24,5,6.0723727785,1.0723727785,1.2144745557,Solved
M@d_`CDAcCGH_LOM?,14,25,5,6.0717022217,1.0717022217,1.2143404443,Solved
M?CkA?RGsPGbcOW__,14,25,5,6.0709667936,1.0709667936,1.2141933587,Solved
MB_cAAD?pCB@PDAM?,14,24,5,6.0647826564,1.0647826564,1.2129565313,Solved
M_GXAEACXA?bSIa`?,14,25,5,6.0638706105,1.0638706105,1.2127741221,Solved
MR??GUKRCIHPGWCc_,14,26,5,6.0635785425,1.0635785425,1.2127157085,Solved
M?QAH_QI?_cdaQo[?,14,25,5,6.0626884767,1.0626884767,1.2125376953,Solved
MAH@CaG?gIAPBDwE?,14,24,5,6.0617677103,1.0617677103,1.2123535421,Solved
M?QB@_QB?_cdaQo[?,14,25,5,6.0606890058,1.0606890058,1.2121378012,Solved
M??Y@ECIibPOcOW@_,14,25,5,6.0587873384,1.0587873384,1.2117574677,Solved
M?`QOCoH?_dH_Yo[?,14,25,5,6.0583086353,1.0583086353,1.2116617271,Solved
M_GWAC`@GQiSgacc?,14,25,5,6.0582295776,1.0582295776,1.2116459155,Solved
Mo?OP`GCGQcpPc`w?,14,26,5,6.0566253866,1.0566253866,1.2113250773,Solved
MoGOP`?CGL@JPc`w?,14,26,5,6.0565907365,1.0565907365,1.2113181473,Solved
ML?GODDQSIAP`cIH_,14,27,5,6.0565808345,1.0565808345,1.2113161669,Solved
Mo?@IHOI?RAR`KEo_,14,26,5,6.0565808341,1.0565808341,1.2113161668,Solved
MqGOP@?@gMADAT`w?,14,26,5,6.0565808332,1.0565808332,1.2113161666,Solved
Mh?_OoG_IKac?t`w?,14,26,5,6.0565808309,1.0565808309,1.2113161662,Solved
MoGOP@O?Gq_yPc`w?,14,26,5,6.0565808307,1.0565808307,1.2113161661,Solved
MW?OYYQPCCBBEEGX_,14,28,5,6.0565808306,1.0565808306,1.2113161661,Solved
MW?aC?ZC_QhadAFo?,14,27,5,6.0565808305,1.0565808305,1.2113161661,Solved
MB??WgbaHGoPR@qO?,14,26,5,6.0565808303,1.0565808303,1.2113161661,Solved
MB?GISaaHGx?Cb`W_,14,27,5,6.0565808291,1.0565808291,1.2113161658,Solved
Mk??iOCCGScL`SIg_,14,26,5,6.0565808290,1.0565808290,1.2113161658,Solved
M_C_?AaSYQOpDoIo?,14,25,5,6.0542511423,1.0542511423,1.2108502285,Solved
M@?CAELR_kDHd?Y?_,14,26,5,6.0532712457,1.0532712457,1.2106542491,Solved
MAIA?CK?gqcacPwW?,14,25,5,6.0469340833,1.0469340833,1.2093868167,Solved
MA_h?_`DGSgS_Rpo?,14,26,5,6.0455469439,1.0455469439,1.2091093888,Solved
M?D_a?bGSMPQQCcG_,14,25,5,6.0454402485,1.0454402485,1.2090880497,Solved
MK??@KSFaWCTagqO?,14,26,5,6.0453114644,1.0453114644,1.2090622929,Solved
MK??Y_gE?I_egpoi?,14,26,5,6.0452946358,1.0452946358,1.2090589272,Solved
M_CghSoKCPGb_WOc_,14,27,5,6.0441621945,1.0441621945,1.2088324389,Solved
M?_H`?cCYPQHPcpo?,14,26,5,6.0408951129,1.0408951129,1.2081790226,Solved
M?_X`?cCYPOHOdpo?,14,26,5,6.0395130858,1.0395130858,1.2079026172,Solved
MCO`O?p?gWiH`Spo?,14,26,5,6.0394220588,1.0394220588,1.2078844118,Solved
M@@ASOWOKWs_CtHw?,14,27,5,6.0377187054,1.0377187054,1.2075437411,Solved
M`?@?aIaOkckR_RO?,14,26,5,6.0370252981,1.0370252981,1.2074050596,Solved
M?DCHCHOkgDBLGoP_,14,27,5,6.0370252870,1.0370252870,1.2074050574,Solved
M_W_C_FOok@BKHf_?,14,27,5,6.0370252856,1.0370252856,1.2074050571,Solved
M_CgGgqOqCT@AYkC_,14,28,5,6.0370252851,1.0370252851,1.2074050570,Solved
M@??YEArDOI_DYIX?,14,27,5,6.0370252847,1.0370252847,1.2074050569,Solved
