g6,edges,alpha,theta,gap,ratio,status
F??Fw,6,6,5.9999999983,-0.0000000017,0.9999999997,Solved
F?AFo,6,5,5.0000000004,0.0000000004,1.0000000001,Solved
F?AFw,7,5,4.9999999993,-0.0000000007,0.9999999999,Solved
F?B@w,6,5,4.9999999999,-0.0000000001,1.0000000000,Solved
F?BDo,6,5,4.9999999990,-0.0000000010,0.9999999998,Solved
F?BDw,7,5,4.9999999986,-0.0000000014,0.9999999997,Solved
F?BFo,7,5,4.9999999999,-0.0000000001,1.0000000000,Solved
F?BFw,8,5,5.0000000000,0.0000000000,1.0000000000,Solved
F?Bco,6,5,5.0000000001,0.0000000001,1.0000000000,Solved
F?Bcw,7,5,4.9999999999,-0.0000000001,1.0000000000,Solved
F?Beo,7,5,5.0000000001,0.0000000001,1.0000000000,Solved
F?Bew,8,5,5.0000000001,0.0000000001,1.0000000000,Solved
F?Bfo,8,5,5.0000000001,0.0000000001,1.0000000000,Solved
F?Bfw,9,5,5.0000000000,-0.0000000000,1.0000000000,Solved
F?BvO,8,5,5.0000000015,0.0000000015,1.0000000003,Solved
F?BvW,9,5,4.9999999966,-0.0000000034,0.9999999993,Solved
F?Bvo,9,5,4.9999999999,-0.0000000001,1.0000000000,Solved
F?Bvw,10,5,4.9999999999,-0.0000000001,1.0000000000,Solved
F?B~o,10,5,4.9999999971,-0.0000000029,0.9999999994,Solved
F?B~w,11,5,4.9999999978,-0.0000000022,0.9999999996,Solved
F?`F_,6,4,4.0000000004,0.0000000004,1.0000000001,Solved
F?`Fo,7,4,4.0000000000,-0.0000000000,1.0000000000,Solved
F?`Fw,8,4,4.0000000003,0.0000000003,1.0000000001,Solved
F?`cg,6,4,4.0000000019,0.0000000019,1.0000000005,Solved
F?`cw,7,4,4.0000000003,0.0000000003,1.0000000001,Solved
F?`e_,6,4,4.0000000008,0.0000000008,1.0000000002,Solved
F?`eg,7,4,4.0000000000,-0.0000000000,1.0000000000,Solved
F?`eo,7,4,4.0000000008,0.0000000008,1.0000000002,Solved
F?`ew,8,4,4.0000000000,-0.0000000000,1.0000000000,Solved
F?`f_,7,4,4.0000000000,-0.0000000000,1.0000000000,Solved
F?`fg,8,4,3.9999999999,-0.0000000001,1.0000000000,Solved
F?`fo,8,4,4.0000000019,0.0000000019,1.0000000005,Solved
F?`fw,9,4,4.0000000021,0.0000000021,1.0000000005,Solved
F?`uO,7,4,4.0000000012,0.0000000012,1.0000000003,Solved
F?`uW,8,4,4.0000000003,0.0000000003,1.0000000001,Solved
F?`v?,7,4,4.0000000002,0.0000000002,1.0000000000,Solved
F?`vG,8,4,4.0000000008,0.0000000008,1.0000000002,Solved
F?`vO,8,4,4.0000000003,0.0000000003,1.0000000001,Solved
F?`vW,9,4,4.0000000006,0.0000000006,1.0000000002,Solved
F?`v_,8,4,4.0000000012,0.0000000012,1.0000000003,Solved
F?`vg,9,4,4.0000000016,0.0000000016,1.0000000004,Solved
