g6,n,edges,alpha,theta,gap,ratio,status
NoCOWGACGQIKGePIDI?,15,28,5,6.2509636163,1.2509636163,1.2501927233,Solved
N_CgCEAGGaiOW_AT?dW,15,28,5,6.2347725348,1.2347725348,1.2469545070,Solved
N_?GhGaEGqDOL?_TGDO,15,28,5,6.2321682980,1.2321682980,1.2464336596,Solved
N_GWCEACHAiOW_AT?dW,15,28,5,6.2320643868,1.2320643868,1.2464128774,Solved
NoOG_PO@GEaGGdHBO{?,15,28,5,6.2307708625,1.2307708625,1.2461541725,Solved
N?d_`AAOP@ABoo@X@RG,15,28,5,6.2305149561,1.2305149561,1.2461029912,Solved
No??G_HE_wGiGiIoIcG,15,29,5,6.2303686836,1.2303686836,1.2460737367,Solved
No?a?CDCgWaHIHUORo?,15,29,5,6.2297888603,1.2297888603,1.2459577721,Solved
N@`@Og?OkBI@gC@h`Ko,15,29,5,6.2296291229,1.2296291229,1.2459258246,Solved
N_C_OKoPCOSOSO?^?VO,15,28,5,6.2289844288,1.2289844288,1.2457968858,Solved
N?U_`A?CX@GXo_@E`[G,15,28,5,6.2285062857,1.2285062857,1.2457012571,Solved
NAKCKI?PHHGOGXARAQW,15,29,5,6.2265222182,1.2265222182,1.2453044436,Solved
NC_?H@?T@SEcQoA{Al?,15,29,5,6.2252426572,1.2252426572,1.2450485314,Solved
NGEA@@GKCCoKB`DQ?}?,15,28,5,6.2250947425,1.2250947425,1.2450189485,Solved
No?A_KMD@OaHGHASn_?,15,29,5,6.2250500693,1.2250500693,1.2450100139,Solved
No??GOPE_wGiGiJGIWG,15,29,5,6.2250225335,1.2250225335,1.2450045067,Solved
N@oCHGS`?_gKAbGKgXG,15,29,5,6.2245280428,1.2245280428,1.2449056086,Solved
No?A_KMH?ocHCHASn_?,15,29,5,6.2243935306,1.2243935306,1.2448787061,Solved
N?E@A?dDr?P@OhBoQ@W,15,29,5,6.2233230588,1.2233230588,1.2446646118,Solved
NK_??CCCgYiKJ_KWHoG,15,29,5,6.2219391321,1.2219391321,1.2443878264,Solved
NB?GGQGOsICTq?CoceG,15,29,5,6.2215852274,1.2215852274,1.2443170455,Solved
N@@KQEDIPCI?c?AJ_bo,15,29,5,6.2211571230,1.2211571230,1.2442314246,Solved
Nq??AOBDPKBDAcHGfo?,15,29,5,6.2198092790,1.2198092790,1.2439618558,Solved
NK??GoWHQDggGga`P_O,15,28,5,6.2196514580,1.2196514580,1.2439302916,Solved
N@Q?XI?O[ABC?fCiK_W,15,29,5,6.2193973558,1.2193973558,1.2438794712,Solved
N@?YCORIAGoPoCAHcwG,15,29,5,6.2190703546,1.2190703546,1.2438140709,Solved
N@@KQ?WCsQOcW@?McwG,15,29,5,6.2183795485,1.2183795485,1.2436759097,Solved
NK??GoWHIEggGga`P_O,15,28,5,6.2180785691,1.2180785691,1.2436157138,Solved
NGCS?cea@OW??Z@VGqO,15,29,5,6.2180436682,1.2180436682,1.2436087336,Solved
NB??OYG_qKCeq?GQasG,15,29,5,6.2178495865,1.2178495865,1.2435699173,Solved
N?KSHD@_I_w?@TAgc`g,15,29,5,6.2176068693,1.2176068693,1.2435213739,Solved
NOS??dAHcIW_CLAackG,15,29,5,6.2175151736,1.2175151736,1.2435030347,Solved
N?M?aHAHM?QG?uAHcpG,15,29,5,6.2171126924,1.2171126924,1.2434225385,Solved
N@?YS?Q`IAdGo@AIcwG,15,29,5,6.2169661934,1.2169661934,1.2433932387,Solved
NB?GGQBGsIHOe?GBgeG,15,29,5,6.2162230465,1.2162230465,1.2432446093,Solved
NC_?H@?T@S@]DYLGHWG,15,30,5,6.2159900171,1.2159900171,1.2431980034,Solved
