g6,n,edges,alpha,theta,gap,ratio,status
U??G?E?OQDSBo_DAdEHJCEX_eo?s_fAADUC_eQ@?,22,63,6,8.2460131741,2.2460131741,1.3743355290,Solved
U@d_`?_A?_cQCP@K_wA@d_BYBHQPXAU?QCi@o{??,22,63,6,8.2458267269,2.2458267269,1.3743044545,Solved
U@U_???CH@GQ_R_aGIHTDDXOMG_YaAdCE`cCou??,22,63,6,8.2454902661,2.2454902661,1.3742483777,Solved
U@??IA@PCOHcacIKBE@ISDOoaKgewECB`Qg?jO?G,22,64,6,8.2444290021,2.2444290021,1.3740715003,Solved
U?D_??DGGUgACcAgO`}AEKOOhEE@OXdGaMCGss??,22,63,6,8.2438587110,2.2438587110,1.3739764518,Solved
U@?ZCOG@?_C??U@bAML@EQFDGEcCoIJGEQe?wM??,22,62,6,8.2433581452,2.2433581452,1.3738930242,Solved
U??G?COGKDEHK_gWGcqQS`SaHOaSiAgQIUOOYgA?,22,63,6,8.2426165855,2.2426165855,1.3737694309,Solved
U?YO?cOO@AaA@bAP?cHc`oiP`CeBCcSX?ep?aK`?,22,63,6,8.2425797073,2.2425797073,1.3737632846,Solved
U?HCGq??OC@Ac@ChCUQAU@Z?KyB`WF?aQcOOUAGG,22,62,6,8.2424086182,2.2424086182,1.3737347697,Solved
U?U@?KO?OC?HDEIHgLCO`OhcKwD_HN@o?sCOocOG,22,62,6,8.2423447623,2.2423447623,1.3737241271,Solved
U`?GGT_gC_I?aGPAcOocc`G?`DYOPoabOD{?An??,22,62,6,8.2422860330,2.2422860330,1.3737143388,Solved
U@YOGGOOAAGSAG_PO@_edCaoHogTq@GfA_]?ww??,22,63,6,8.2422058222,2.2422058222,1.3737009704,Solved
U?GSZ__@GD?IOG_Cc`gcKAQQCEJ?om@@pWd?eE_?,22,62,6,8.2418542202,2.2418542202,1.3736423700,Solved
UA?HCK@?Q@AbIE_a@QAG_EGUAeOhFD_P`gp?w@I?,22,62,6,8.2418534758,2.2418534758,1.3736422460,Solved
U@?G??DAPECUOOD_bSCGtaB`OwEAJDSCHV?GwKO?,22,63,6,8.2414981683,2.2414981683,1.3735830281,Solved
U_CgAA?G?G@J@W@{@QQccSIIOHceoBDGIaEGIYC?,22,63,6,8.2414032337,2.2414032337,1.3735672056,Solved
U?@H_q??_O@E`CK@a`@BD@]PAiDAHMCWbGP_[M??,22,62,6,8.2411400647,2.2411400647,1.3735233441,Solved
U?Ko_GGGgH@WCOGAs[A_xcSPaIIHICHK@J@@aE__,22,64,6,8.2409451963,2.2409451963,1.3734908660,Solved
U?So__CCGS_hAgGCgO@BPa@YDHe?kdAdBAd?WwA?,22,63,6,8.2408222267,2.2408222267,1.3734703711,Solved
U?OOXa??OC@E_cK@ccOoPOkT@iDGGmAXAKX?[M??,22,62,6,8.2403117551,2.2403117551,1.3733852925,Solved
U?C@MG@@?`CIQBAhI?b?q`AOg_kHDcSp@ooGcc`?,22,62,6,8.2401623737,2.2401623737,1.3733603956,Solved
U?YO?`?CH@?pAe@O`AhdAcaJBWB?aUAK_f__aX?_,22,63,6,8.2401262322,2.2401262322,1.3733543720,Solved
U???GQ?HGhHACxPWGX@SQh@IPOSobAt?QbK?Z?`?,22,64,6,8.2401136739,2.2401136739,1.3733522790,Solved
U???OI?QGaD@FGDhCYPKoWiASSMGP@r?FH@Oop_?,22,64,6,8.2394235098,2.2394235098,1.3732372516,Solved
U?D_??_CY@ASAPGe`sCGsIoF?DhaPECcELK?sw??,22,63,6,8.2392918797,2.2392918797,1.3732153133,Solved
UQ???GAQ@CCMFB_ogcKBo`c?XGiROPha?y?or`??,22,64,6,8.2389261438,2.2389261438,1.3731543573,Solved
U?U_CCOGP??oAi@C`HkcQWgHPHC_kRBG`Ew?aL@?,22,63,6,8.2383629098,2.2383629098,1.3730604850,Solved
U_CgAD?_@A@TAI@?_mCcRg_haQA_iSaIGUw?I[O?,22,63,6,8.2379297757,2.2379297757,1.3729882960,Solved
U@Ch?cOG?H@AQed`SHaL`aU@OKB@GQBaADaCa_@o,22,65,6,8.2379019075,2.2379019075,1.3729836513,Solved
U?C_?OI@O`cH_OK_aoaHCWKiISU@iEAR@MI?koC?,22,63,6,8.2369584323,2.2369584323,1.3728264054,Solved
U???GWI_?ch@HLO[CYDOQd@XkOCeGLBO@S_oU__O,22,64,6,8.2364038646,2.2364038646,1.3727339774,Solved
U@??C@BPCOHgacISBI?cwGbGci?hEUCBHVG?jGC?,22,64,6,8.2361857975,2.2361857975,1.3726976329,Solved
U?Ow??H@__aSOS_@cDGuAc_ghKMAhDDS@FH?wKC?,22,63,6,8.2359819108,2.2359819108,1.3726636518,Solved
U?U_CCOGOaC@@a@E@KicIWiAOQjBCCSIDEs?aKc?,22,63,6,8.2359658712,2.2359658712,1.3726609785,Solved
U@??GP?`AOoTCPIKcY?x@HY?YoECCuWD@dCCcqO?,22,64,6,8.2359466358,2.2359466358,1.3726577726,Solved
U?So?GIC_`AGAUGLG@HCL`KEJ?cKLEEQ@_KKw[??,22,63,6,8.2353366696,2.2353366696,1.3725561116,Solved
U@???CDOKAGg`cIBcp?swESJA`IkOApDAgcAjS??,22,64,6,8.2352935120,2.2352935120,1.3725489187,Solved
UK???C`DKHPCEAG_gRAAiP`_dEcQaOyB?yGOrg??,22,64,6,8.2352726930,2.2352726930,1.3725454488,Solved
U?YO?`?GG_?qAeAJ?gXd@ccRBWB?PUAK_fg?aX?_,22,63,6,8.2349578410,2.2349578410,1.3724929735,Solved
U???OH?CcHCMHgEQb_`X_WEJGQ@eOMKIBB?oeWA?,22,64,6,8.2337189664,2.2337189664,1.3722864944,Solved
U?YO?cOO@Aa?@bAT?cHc`oiP`CeBCcSX?es?aK`?,22,63,6,8.2336794400,2.2336794400,1.3722799067,Solved
U@G_X?P@?OaOWJQLOhceQgg@@SIgOSX?HQO`aS__,22,65,6,8.2336132096,2.2336132096,1.3722688683,Solved
UKaE?CA@_c?hASCO@`HHSIDOoe`r_AHU@GTOSWI?,22,64,6,8.2323746014,2.2323746014,1.3720624336,Solved
U??W?C_C?R`U_WPCop@OdSPI`DAd?mJ_Ai@G[a_?,22,63,6,8.2321807471,2.2321807471,1.3720301245,Solved
U@GX@?GCGI?OUB`TSDcOwPwDQhBGGAS`ABQAcW?o,22,65,6,8.2320988595,2.2320988595,1.3720164766,Solved
U??W?KHG?SgECG`ChIPSKcQDa`JAQCcHEcM?sk??,22,63,6,8.2319880328,2.2319880328,1.3719980055,Solved
U_CgAD?_@A@@Ai@@?mccRSCqPBBCgLDGOUw?I[O?,22,63,6,8.2307578850,2.2307578850,1.3717929808,Solved
U_CgAA?G?G@B@XAc_}CccSAXQwCaQBDGEbCGIYC?,22,63,6,8.2301832564,2.2301832564,1.3716972094,Solved
U@??AA@QAXOqb?HKAe?esGaghC?qIUCBHQaCjo??,22,64,6,8.2293070819,2.2293070819,1.3715511803,Solved
U@???SE_ACpDDAHTBE@PcJ_B@AmSEAb_PUCOhQG?,22,64,6,8.2287962631,2.2287962631,1.3714660438,Solved
U`?IC?OG?_C@QE`HdWGmCQXAEWKPgaHp?ZS?Hy??,22,64,6,8.2282849709,2.2282849709,1.3713808285,Solved
U@???D?_SCOsPcDIBDPOiHY?moEI@aqW@YOGiOo?,22,64,6,8.2280609184,2.2280609184,1.3713434864,Solved
U?D_??ECY@C@O__DaxGYKIWaPeAUAECgQoGQie??,22,63,6,8.2272727220,2.2272727220,1.3712121203,Solved
U`?C@?ROsACOCEOHOa_qBP_cggkYK@[E?[X?RJ??,22,64,6,8.2272587666,2.2272587666,1.3712097944,Solved
UK?G???@GPAQGRgaIIKTDPXOUa@RG@eoBEGAqS@?,22,63,6,8.2271519699,2.2271519699,1.3711919950,Solved
U@Q????@GSAJOcgIqD@QDah?TiALG_ua@d?gws??,22,63,6,8.2270167336,2.2270167336,1.3711694556,Solved
U??W?KHGOSGBCG_EcslAKQ_UIQC`GRGSDpGCsk??,22,63,6,8.2266115434,2.2266115434,1.3711019239,Solved
U?C_??PAPDOBOHDc@oPeGSQIHJDCcQ]GBCoOwGW?,22,63,6,8.2258007703,2.2258007703,1.3709667950,Solved
U?Cg?_EA_I`DG@OKQPYcOcK`FABEGT?IiHBOw[??,22,63,6,8.2257643554,2.2257643554,1.3709607259,Solved
U??GOCDCaGcE_REPHE@gDgaZA`PpCDQO@UC@pS?_,22,64,6,8.2257491462,2.2257491462,1.3709581910,Solved
U@?G??H@OcCS_DOIdWQQWgcV?wciIDIO@Ua?Uc?O,22,63,6,8.2250780897,2.2250780897,1.3708463483,Solved
U_CkA?aCWP?b@GAC_wGUCSHM_WqcSBCIAPI@gPO_,22,63,6,8.2250433630,2.2250433630,1.3708405605,Solved
U@?hOCTG?Ab?USgJqpAAhOk@EGBOOC@gMDCIe?F?,22,65,6,8.2249050839,2.2249050839,1.3708175140,Solved
U`?IC?OG?_C@QH`EdWGmCQUAEcKPoaHh?ZS?Hy??,22,64,6,8.2247957504,2.2247957504,1.3707992917,Solved
U`?C?_bOsAAOGEOHPAISCDIKdCsYK?{E?kX?RJ??,22,64,6,8.2246862481,2.2246862481,1.3707810414,Solved
UG_O?@?GC@_h@[AabE_\_KOTPPDDGMCKOzG?poG?,22,63,6,8.2245564669,2.2245564669,1.3707594112,Solved
UK???AC_QChCCRG`AaIF@b?shg`Tc?yQ?uS?ro??,22,64,6,8.2242551092,2.2242551092,1.3707091849,Solved
U`???CCA@DAJPcQWAU@B_R`DLGdGJCoSaUP?iW_?,22,64,6,8.2239397465,2.2239397465,1.3706566244,Solved
U@@GO_GGX??|@eCG`HCGBoDYOacQQBC?lQWOww??,22,63,6,8.2238537691,2.2238537691,1.3706422949,Solved
U_Cg?D?_?O?`A[@kSPQaJS`a`HJAoCdGCTw?Il??,22,63,6,8.2238001336,2.2238001336,1.3706333556,Solved
UsaC?C_C?I`M@kWBbGIH`AaDP_HK`HgGPIg@]O_?,22,66,6,8.2237081286,2.2237081286,1.3706180214,Solved
UB???GAE_rBcI?PEOW{HcO[AEIIECD?IUk_AYoC?,22,64,6,8.2233639566,2.2233639566,1.3705606594,Solved
U@Ch?GGGGa?OYP`JQIcOwSwDEgaGWASaAQQAgW?o,22,65,6,8.2228126412,2.2228126412,1.3704687735,Solved
U`?C@@BCsAGACIG`PC_iBQ_ccWkYKAWe?[h?Jb??,22,64,6,8.2220142271,2.2220142271,1.3703357045,Solved
UDHG??OAwP@S_q@P?pCAH_EOcaYaHQcQ`_R_ww??,22,63,6,8.2219027291,2.2219027291,1.3703171215,Solved
U???GOcEKBGRPACoag`SDoWEcPEPBAsOG{CGgs_?,22,64,6,8.2216743703,2.2216743703,1.3702790617,Solved
U_Cg?D?_?O?`A[@kSPQaJS`a`HJCoCbGCTw?Il??,22,63,6,8.2215846881,2.2215846881,1.3702641147,Solved
U_CkA?aCWP?bAG@C_wOUASHM_WqcQBCKAPH@gP__,22,63,6,8.2212141702,2.2212141702,1.3702023617,Solved
U@?G?C?AICacHgHYS@aT@PSHHECcA[acaXg?wd??,22,63,6,8.2206513704,2.2206513704,1.3701085617,Solved
U??W?K`APCAAAg_MGdaaSaR@Q@L?dJGMAiCOsk??,22,63,6,8.2204345171,2.2204345171,1.3700724195,Solved
U?GO??ECOIGKOMEaEPcR@PcE_FKOwBe?ENA?wKO?,22,63,6,8.2200491744,2.2200491744,1.3700081957,Solved
