g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?`DE`gl@YJODg,26,4,5.1817366256,1.1817366256,1.2954341564,5.19428781,Solved
L?AAD?oFAgDOAw,19,5,5.8544795024,0.8544795024,1.1708959005,5.86730804,Solved
L?AAD?oeAg@WFO,19,5,5.8374077482,0.8374077482,1.1674815496,5.85275599,Solved
L?AAD?oFAgDOBg,19,5,5.8370411807,0.8370411807,1.1674082361,5.85389701,Solved
L?AAD?oFAgDOBw,20,5,5.8324053885,0.8324053885,1.1664810777,5.85112145,Solved
L?AAD?oFAgPOBg,19,5,5.8270071851,0.8270071851,1.1654014370,5.84639720,Solved
L?AADAoFAgDOBg,20,5,5.8241721589,0.8241721589,1.1648344318,5.84182052,Solved
L?AAD?oeAg@SFO,19,5,5.8220535131,0.8220535131,1.1644107026,5.83780692,Solved
L?AAD?sXCSBODo,20,5,5.8205835433,0.8205835433,1.1641167087,5.83921421,Solved
L?AAD?oFAgPOBw,20,5,5.8181325306,0.8181325306,1.1636265061,5.83410070,Solved
L?AAD?WLBGPOBo,19,5,5.8165971814,0.8165971814,1.1633194363,5.82799584,Solved
L?AAD?oFAgTOAw,20,5,5.8131559259,0.8131559259,1.1626311852,5.82360131,Solved
L?AAD?oeAg@[FO,20,5,5.8126793232,0.8126793232,1.1625358646,5.82816041,Solved
L?AAD?sX?sUOAs,21,5,5.8123318423,0.8123318423,1.1624663685,5.83891345,Solved
L?AAD?WLBGPOFo,20,5,5.8093477832,0.8093477832,1.1618695566,5.82590593,Solved
L?AA@AWT@SF_sQ,21,5,5.8057381058,0.8057381058,1.1611476212,5.83317160,Solved
L?AAD@oIagBgAw,21,5,5.8041196600,0.8041196600,1.1608239320,5.83616945,Solved
L?AAD?sXCoBODo,20,5,5.8032633635,0.8032633635,1.1606526727,5.82585234,Solved
L?AAD?sXCcBWFO,21,5,5.8019380295,0.8019380295,1.1603876059,5.82019697,Solved
L?AAD@oIagF_Bg,21,5,5.8012662568,0.8012662568,1.1602532514,5.83251571,Solved
L?AAD?oFAgTOAY,20,5,5.8001642250,0.8001642250,1.1600328450,5.82029496,Solved
L?AAD@oIaW@s]?,21,5,5.8000731819,0.8000731819,1.1600146364,5.82421282,Solved
L?AAD?oFEoHgL_,21,5,5.7988570980,0.7988570980,1.1597714196,5.81378869,Solved
L?AAD?wX?wQODo,20,5,5.7981389936,0.7981389936,1.1596277987,5.81022711,Solved
L?AAD@oI_wIgBg,21,5,5.7958724673,0.7958724673,1.1591744935,5.81603032,Solved
L?AAD?sX?sUOFO,21,5,5.7950950110,0.7950950110,1.1590190022,5.82001238,Solved
L?AAD?wLEOJGHa,21,5,5.7933506342,0.7933506342,1.1586701268,5.81348072,Solved
L?AAD?oFAgTOAy,21,5,5.7928859097,0.7928859097,1.1585771819,5.81002773,Solved
L?AAD?sXCo@WFO,20,5,5.7927549031,0.7927549031,1.1585509806,5.80791583,Solved
L?AAD?wLEOIgHa,21,5,5.7923420075,0.7923420075,1.1584684015,5.80498152,Solved
L?AAD@oI_w@sSS,21,5,5.7922820736,0.7922820736,1.1584564147,5.81181178,Solved
L?AAD@oIaW@[]?,21,5,5.7905220149,0.7905220149,1.1581044030,5.81482098,Solved
L?AAD@oIagF_Bw,22,5,5.7902632340,0.7902632340,1.1580526468,5.81344142,Solved
L?AEB?WU@HEoCq,21,5,5.7890294888,0.7890294888,1.1578058978,5.81809232,Solved
L?AAD?sXCSAYM_,21,5,5.7886753233,0.7886753233,1.1577350647,5.80877186,Solved
L?AADb_M?s@oRO,21,5,5.7883768586,0.7883768586,1.1576753717,5.80777433,Solved
L?AAD?sX?sTODo,21,5,5.7883001044,0.7883001044,1.1576600209,5.81526431,Solved
L?AAD?oFBoAwRW,22,5,5.7877707495,0.7877707495,1.1575541499,5.80717331,Solved
L?AAD?oFAgTOBw,21,5,5.7857107118,0.7857107118,1.1571421424,5.79616608,Solved
L?AA@aHM@WY?Bo,20,5,5.7846658997,0.7846658997,1.1569331799,5.80411050,Solved
L?AAD?sX?sTOCs,21,5,5.7843103382,0.7843103382,1.1568620676,5.81126923,Solved
L?ABAaIeB_D_Bo,21,5,5.7841427312,0.7841427312,1.1568285462,5.80117841,Solved
L?AAD@oIao@oSS,20,5,5.7840795689,0.7840795689,1.1568159138,5.81913992,Solved
L?AAD@OIAWQOAo,17,5,5.7840292528,0.7840292528,1.1568058506,5.80070686,Solved
L?AAD?oeAg@SQO,18,5,5.7838115622,0.7838115622,1.1567623124,5.82778067,Solved
L?AEB?We@gBoHK,21,5,5.7835273849,0.7835273849,1.1567054770,5.82019121,Solved
L?AADAoFAgDOAo,19,5,5.7834082826,0.7834082826,1.1566816565,5.84028519,Solved
L?AAD@OI@cH_Bg,18,5,5.7832649476,0.7832649476,1.1566529895,5.81744284,Solved
