g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AA@agwAg@WM_Dc?,24,5,6.0723727785,1.0723727785,1.2144745557,6.09133581,Solved
M?AADAoX?s@YRO]??,25,5,6.0717022217,1.0717022217,1.2143404443,6.11254563,Solved
M?AAD?sX?s\?Doac?,25,5,6.0709667936,1.0709667936,1.2141933587,6.10510009,Solved
M?AA@agwAgBOaoDc?,24,5,6.0647826564,1.0647826564,1.2129565313,6.08220029,Solved
M?AADBOF@SV?TOAw?,25,5,6.0638706105,1.0638706105,1.2127741221,6.10489215,Solved
M?AAD@oTDSFOFOAw?,26,5,6.0635785425,1.0635785425,1.2127157085,6.11996463,Solved
M?AA@AWT@SYGN?as?,25,5,6.0626884767,1.0626884767,1.2125376953,6.09512289,Solved
M?AA@BOT@o@WeOJg?,24,5,6.0617677103,1.0617677103,1.2123535421,6.07598264,Solved
M?AA@AWT@SPWN?sQ?,25,5,6.0606890058,1.0606890058,1.2121378012,6.09244918,Solved
M?AA@aHw?sK`Dgm??,25,5,6.0587873384,1.0587873384,1.2117574677,6.07616389,Solved
M?AA@BOT@SRGN?as?,25,5,6.0583086353,1.0583086353,1.2116617271,6.07629321,Solved
M?AAD@oIagROFOAw?,25,5,6.0582295776,1.0582295776,1.2116459155,6.07364381,Solved
M?AADBOF@SV?BoTQ?,26,5,6.0566253866,1.0566253866,1.2113250773,6.11134286,Solved
M?AADBOF@SV?TOBw?,26,5,6.0565907365,1.0565907365,1.2113181473,6.11930755,Solved
M?AADBOIdo@sV?VO?,27,5,6.0565808345,1.0565808345,1.2113161669,6.08766550,Solved
M?AA@agw?sAq\?ao_,26,5,6.0565808341,1.0565808341,1.2113161668,6.09356175,Solved
M?AADAoX?s@YRO^??,26,5,6.0565808332,1.0565808332,1.2113161666,6.09256084,Solved
M?AADAoX?s@YN?RW?,26,5,6.0565808309,1.0565808309,1.2113161662,6.09367692,Solved
M?AA@BOJ?uQW]?Bw?,26,5,6.0565808307,1.0565808307,1.2113161661,6.07773556,Solved
M?AEB?cuBoBWF_eW?,28,5,6.0565808306,1.0565808306,1.2113161661,6.06613634,Solved
M?AADBOIdo@sTOVO?,27,5,6.0565808304,1.0565808304,1.2113161661,6.08638648,Solved
M?AAD@oTCsTOFOAw?,26,5,6.0565808303,1.0565808303,1.2113161661,6.08204682,Solved
M?AADBOIdo@sUOVO?,27,5,6.0565808291,1.0565808291,1.2113161658,6.08331707,Solved
M?AAD?sX?sPQy?Do_,26,5,6.0565808290,1.0565808290,1.2113161658,6.09138018,Solved
M?AADBOX?sF_Bocc?,25,5,6.0542511423,1.0542511423,1.2108502285,6.06428341,Solved
M?AAD@WH`w]?BoQS?,26,5,6.0532712457,1.0532712457,1.2106542491,6.08821694,Solved
M?AA@AWT@S@YN?sQ?,25,5,6.0469340833,1.0469340833,1.2093868167,6.06058513,Solved
M?AAD@oX?sF_ccBw?,26,5,6.0455469439,1.0455469439,1.2091093888,6.08464072,Solved
M?AAD?sX?sUOUOAs?,25,5,6.0454402485,1.0454402485,1.2090880497,6.06217952,Solved
M?AAD@WH`s]?BoQS?,26,5,6.0453114644,1.0453114644,1.2090622929,6.07636267,Solved
M?AA@AWT@SF_assQ?,26,5,6.0452946358,1.0452946358,1.2090589272,6.07091338,Solved
M?AAF@cEf_F_Bocg?,27,5,6.0441621945,1.0441621945,1.2088324389,6.09951246,Solved
M?AAD?cUDcM_QWeg?,26,5,6.0408951129,1.0408951129,1.2081790226,6.05734594,Solved
M?AAD?sX?sUOAsVO?,26,5,6.0395130858,1.0395130858,1.2079026172,6.07412526,Solved
M?AA@BOTDoBgAwic?,26,5,6.0394220588,1.0394220588,1.2078844118,6.05171543,Solved
M?AADBOF@SV?BwTQ?,27,5,6.0377187054,1.0377187054,1.2075437411,6.09710492,Solved
M?AEB?WHHw]?BoeO?,26,5,6.0370252981,1.0370252981,1.2074050596,6.05674061,Solved
M?AA@agTDCxG]?L`?,27,5,6.0370252870,1.0370252870,1.2074050574,6.07049067,Solved
M?AADBOIdo@sV?TS?,27,5,6.0370252856,1.0370252856,1.2074050571,6.08978976,Solved
M?AEB?cuBgBoaWFo?,28,5,6.0370252851,1.0370252851,1.2074050570,6.06531297,Solved
M?AA@BOJ?uN?Bwcs?,27,5,6.0370252847,1.0370252847,1.2074050569,6.05253346,Solved
M?AAD@WHe_hgN?k`?,27,5,6.0370252842,1.0370252842,1.2074050568,6.07381771,Solved
M?AAD@WHe_hgJ_m_?,27,5,6.0370252833,1.0370252833,1.2074050567,6.06373462,Solved
M?AEB?cuBoBWN_eW?,29,5,6.0370252829,1.0370252829,1.2074050566,6.04704290,Solved
M?AAD@WHe_hgk_N_?,27,5,6.0370252825,1.0370252825,1.2074050565,6.06170331,Solved
M?AEB?cm@kBWaW}??,28,5,6.0370252821,1.0370252821,1.2074050564,6.06769869,Solved
M?AEB?cuBg@waWFo?,28,5,6.0370252819,1.0370252819,1.2074050564,6.06249138,Solved
M?AEB?WHHw]?BoeS?,27,5,6.0370252816,1.0370252816,1.2074050563,6.06813427,Solved
M?AAD?oU?kTOqGTO?,24,5,6.0258584217,1.0258584217,1.2051716843,6.05203759,Solved
M?AAD?s[?s@[ROk_?,25,5,6.0256148167,1.0256148167,1.2051229633,6.05067389,Solved
M?AAD?oq?UI_FOi`?,24,5,6.0254608654,1.0254608654,1.2050921731,6.04405875,Solved
M?AEB?W[@wCseOBo?,26,5,6.0253175972,1.0253175972,1.2050635194,6.04987610,Solved
M?AA@AWT@c@WFO{@?,24,5,6.0252784731,1.0252784731,1.2050556946,6.04858982,Solved
M?AA@AWT@SBg{?Bo_,25,5,6.0252769877,1.0252769877,1.2050553975,6.05195780,Solved
M?AA@BOJDcFOUORQ?,26,5,6.0252756402,1.0252756402,1.2050551280,6.05761400,Solved
M?AAD?Ws@S@qZ?TQ?,25,5,6.0235338805,1.0235338805,1.2047067761,6.06028833,Solved
M?AAD?oU?kIgi_qI?,25,5,6.0222131860,1.0222131860,1.2044426372,6.05129294,Solved
M?AA@AWT@[F_sOas?,26,5,6.0222087113,1.0222087113,1.2044417423,6.05343895,Solved
M?AA@AWU@gPWROk__,25,5,6.0214450118,1.0214450118,1.2042890024,6.04729957,Solved
M?AA@AWTDS]?FOBp?,26,5,6.0213986502,1.0213986502,1.2042797300,6.05901074,Solved
M?AA@AWUBgUOROaq?,26,5,6.0178387607,1.0178387607,1.2035677521,6.04974795,Solved
M?AA@AWT@SQWN?sQ?,25,5,6.0137434040,1.0137434040,1.2027486808,6.07679320,Solved
M?AA@AOq@g@WF_RG?,22,5,6.0133699611,1.0133699611,1.2026739922,6.02820172,Solved
M?AAD?Ws@S@q\?TQ?,25,5,6.0132356981,1.0132356981,1.2026471396,6.07230225,Solved
M?AAD?Ws@S@qTQ^??,26,5,6.0131914873,1.0131914873,1.2026382975,6.08027184,Solved
M?AAD?oU?kIgqGm_?,25,5,6.0131388907,1.0131388907,1.2026277781,6.03727166,Solved
M?AAD?w[?kTOAsT@_,26,5,6.0127499371,1.0127499371,1.2025499874,6.07490163,Solved
M?AA@aHw?sV?\GDk?,27,5,6.0123986932,1.0123986932,1.2024797386,6.07708904,Solved
M?AA@BORDOAWFOKc?,23,5,6.0121291108,1.0121291108,1.2024258222,6.02616339,Solved
M?AA@AWT@Sbg{?Bo_,26,5,6.0118695601,1.0118695601,1.2023739120,6.03445637,Solved
M?AA@AWs@gDOAoDP?,22,5,6.0117903459,1.0117903459,1.2023580692,6.02448996,Solved
M?AA@BOR?sF?Bwcs?,25,5,6.0115603023,1.0115603023,1.2023120605,6.03078937,Solved
M?AAD?oFAgPDm_Bw?,26,5,6.0115192253,1.0115192253,1.2023038451,6.04261558,Solved
M?AADAoY?wHcCsL_?,25,5,6.0108863469,1.0108863469,1.2021772694,6.08856836,Solved
M?AA@BORDOAWFOkc?,24,5,6.0107145093,1.0107145093,1.2021429019,6.02976856,Solved
M?AA@BOmDS@[FOTQ?,27,5,6.0105920118,1.0105920118,1.2021184024,6.03049753,Solved
M?AADBOF@SV?DoTQ?,26,5,6.0101426964,1.0101426964,1.2020285393,6.08424201,Solved
M?AAD?oX?s\?Doag?,24,5,6.0100872173,1.0100872173,1.2020174435,6.03149770,Solved
M?AAD?w[?UtOF_TB?,27,5,6.0097977303,1.0097977303,1.2019595461,6.08168420,Solved
M?AADAoY?wHcCsN_?,26,5,6.0095456382,1.0095456382,1.2019091276,6.07376136,Solved
M?AAD?oU?kIgqIm_?,26,5,6.0095444545,1.0095444545,1.2019088909,6.03832957,Solved
M?AAD?oX?s\?Doak?,25,5,6.0094370794,1.0094370794,1.2018874159,6.03493286,Solved
M?AAD@oT?s\?Doak?,26,5,6.0093506200,1.0093506200,1.2018701240,6.08841049,Solved
M?AEB?W[@wCsBoeP?,27,5,6.0091899410,1.0091899410,1.2018379882,6.06765042,Solved
M?AA@BOi@c@gF_aQ?,23,5,6.0091700798,1.0091700798,1.2018340160,6.03609354,Solved
M?AA@AOYAg@WFOIa?,22,5,6.0091700772,1.0091700772,1.2018340154,6.02266921,Solved
M?AAD?oqAa@oFOaa?,23,5,6.0091700758,1.0091700758,1.2018340152,6.04381893,Solved
M?AAD?oX?sF_RGAk?,24,5,6.0091700754,1.0091700754,1.2018340151,6.05847470,Solved
M?AA@BOL?UBoy?QS?,24,5,6.0091700733,1.0091700733,1.2018340147,6.02625219,Solved
M?AAD?cS?s\?Doac?,23,5,6.0089582078,1.0089582078,1.2017916416,6.03535610,Solved
M?AAD@OX?sPEDou??,24,5,6.0089499696,1.0089499696,1.2017899939,6.04168776,Solved
M?AADBOY@WBOBocc?,24,5,6.0089487776,1.0089487776,1.2017897555,6.05716495,Solved
M?AA@BOT@TF_aoco?,25,5,6.0089475912,1.0089475912,1.2017895182,6.03509048,Solved
M?AA@AWT@wYGasJ`?,27,5,6.0088549953,1.0088549953,1.2017709991,6.03780689,Solved
M?AAD@OJ@cZ?ROHg?,24,5,6.0087231705,1.0087231705,1.2017446341,6.06474524,Solved
M?AAD?s[?sAwy?ac?,25,5,6.0087206814,1.0087206814,1.2017441363,6.06867262,Solved
M?AAD?w[CSI`BsN_?,27,5,6.0087129604,1.0087129604,1.2017425921,6.07674282,Solved
M?AA@BOR@oQWEoBg?,24,5,6.0086305517,1.0086305517,1.2017261103,6.04369368,Solved
M?AA@AOYAg@WFOia?,23,5,6.0086156769,1.0086156769,1.2017231354,6.03521576,Solved
M?AA@BOi@c@gF_qQ?,24,5,6.0085999596,1.0085999596,1.2017199919,6.04947566,Solved
M?AA@AOY?kPWN?qQ?,24,5,6.0085847911,1.0085847911,1.2017169582,6.03833244,Solved
M?AA@BOL?UBoy?qS?,25,5,6.0085782160,1.0085782160,1.2017156432,6.03314436,Solved
M?AA@BOL?UBo]?QS?,24,5,6.0085381452,1.0085381452,1.2017076290,6.07045634,Solved
M?AAD?oTDoPSBoF_?,25,5,6.0085251708,1.0085251708,1.2017050342,6.05636996,Solved
M?AA@AOY?kHHN?eo?,24,5,6.0084618478,1.0084618478,1.2016923696,6.05040834,Solved
M?AA@BOT@S@[m?VO?,25,5,6.0084430086,1.0084430086,1.2016886017,6.04859790,Solved
M?AA@BOi?k@WM_TD?,24,5,6.0083096960,1.0083096960,1.2016619392,6.04166006,Solved
M?AAD?oqAa@oFOia?,24,5,6.0082916445,1.0082916445,1.2016583289,6.05038662,Solved
M?AAD?oX?sF_QWA{?,25,5,6.0082854577,1.0082854577,1.2016570915,6.06677477,Solved
M?AA@BOJ?uPW]?Bw?,26,5,6.0082818047,1.0082818047,1.2016563609,6.04008021,Solved
M?AA@AWT@SXGN?as?,25,5,6.0082818037,1.0082818037,1.2016563607,6.06813180,Solved
M?AA@AW[?eH_FOk`?,24,5,6.0082818021,1.0082818021,1.2016563604,6.06969084,Solved
M?AA@BOR@cRGN?cs?,25,5,6.0082818018,1.0082818018,1.2016563604,6.03076916,Solved
M?AA@BOR@oQWEoBw?,25,5,6.0082462216,1.0082462216,1.2016492443,6.02342722,Solved
M?AA@agwAg@WM_FC?,24,5,6.0082347172,1.0082347172,1.2016469434,6.05701474,Solved
M?AA@BOL?UDSeO^??,25,5,6.0082331645,1.0082331645,1.2016466329,6.04922260,Solved
M?AAD@OX?sTCN?Ct?,25,5,6.0082263532,1.0082263532,1.2016452706,6.05199321,Solved
M?AA@agwAg@WM_Fc?,25,5,6.0082217425,1.0082217425,1.2016443485,6.05194515,Solved
M?AAD?oq?sM_Doah?,25,5,6.0082217384,1.0082217384,1.2016443477,6.03224548,Solved
M?AA@BOTCsF_Igeo?,26,5,6.0082217368,1.0082217368,1.2016443474,6.04055832,Solved
M?AAD@oT?s@[J_ic?,26,5,6.0082217364,1.0082217364,1.2016443473,6.03854011,Solved
M?AA@BOi?e@ke_JI?,25,5,6.0082217363,1.0082217363,1.2016443473,6.04679167,Solved
M?AEB?WHHwN?eOFo?,27,5,6.0082217362,1.0082217362,1.2016443472,6.01953638,Solved
M?AA@aHX?kBQy?m??,25,5,6.0082217353,1.0082217353,1.2016443471,6.04158538,Solved
M?AADBOY@WBOBoce?,25,5,6.0082217348,1.0082217348,1.2016443470,6.05837020,Solved
M?AADBOJ?sL_Bocd?,26,5,6.0082217347,1.0082217347,1.2016443469,6.02699774,Solved
M?AA@BOT@TF_aoeo?,26,5,6.0082217347,1.0082217347,1.2016443469,6.03730923,Solved
M?AADBOX?sL_Bocd?,26,5,6.0082217346,1.0082217346,1.2016443469,6.04194043,Solved
M?AA@BOi?eD`Boe_?,24,5,6.0077730292,1.0077730292,1.2015546058,6.05299324,Solved
M?AADAoX?sBIRO]??,25,5,6.0077624721,1.0077624721,1.2015524944,6.05812665,Solved
M?AA@AW[?{EoqOAs?,25,5,6.0077492594,1.0077492594,1.2015498519,6.07057592,Solved
M?AAD@Oi@cHHDc^??,25,5,6.0076247261,1.0076247261,1.2015249452,6.05906006,Solved
M?AAD?oU@kIgqGi_?,25,5,6.0076201700,1.0076201700,1.2015240340,6.03281151,Solved
M?AADBOY@SAhV?Bw?,26,5,6.0075992604,1.0075992604,1.2015198521,6.06346031,Solved
M?AADb_R?sAsZ?cc?,26,5,6.0075256373,1.0075256373,1.2015051275,6.07491241,Solved
M?AAD?oX?sF_AkRW?,25,5,6.0075216540,1.0075216540,1.2015043308,6.07539050,Solved
M?AAD@oI_wV?TOAw?,25,5,6.0075199178,1.0075199178,1.2015039836,6.08605781,Solved
M?AADBOIagv?BoDo?,26,5,6.0074242750,1.0074242750,1.2014848550,6.04379975,Solved
M?AA@AOY?kBWN?qQ?,24,5,6.0073850720,1.0073850720,1.2014770144,6.05199366,Solved
M?AAD?oX?sF_RGA{?,25,5,6.0073525881,1.0073525881,1.2014705176,6.06740744,Solved
M?AA@AW[?UJ_k_RO_,25,5,6.0073392353,1.0073392353,1.2014678471,6.07840300,Solved
M?AA@BOL?UBom?qS?,25,5,6.0072901386,1.0072901386,1.2014580277,6.05672912,Solved
M?AA@AOY?kF_qQeo?,25,5,6.0072805728,1.0072805728,1.2014561146,6.05072931,Solved
M?AAD?sYCSAYM_XB?,26,5,6.0072800786,1.0072800786,1.2014560157,6.06629014,Solved
M?AADBOMDS@sTOFO?,26,5,6.0072795170,1.0072795170,1.2014559034,6.08348375,Solved
M?AAD?cS?s\?Doak?,24,5,6.0072775214,1.0072775214,1.2014555043,6.03549158,Solved
M?AAD@OX?sPEDo}??,25,5,6.0072775174,1.0072775174,1.2014555035,6.04637399,Solved
M?AAD@OX?s\?Doak?,25,5,6.0072747692,1.0072747692,1.2014549538,6.04706422,Solved
M?AA@BOJCUQW]?Bw?,26,5,6.0072144785,1.0072144785,1.2014428957,6.03684085,Solved
M?AAD?oT@sBoBWak?,26,5,6.0072094831,1.0072094831,1.2014418966,6.07166426,Solved
M?AA@BOL?UBo]?qS?,25,5,6.0071497971,1.0071497971,1.2014299594,6.08119693,Solved
M?AADBOM?[TOFOTP?,26,5,6.0070605719,1.0070605719,1.2014121144,6.09049728,Solved
M?AAD?wFF_TOTOBq?,27,5,6.0070303860,1.0070303860,1.2014060772,6.08496188,Solved
M?AA@BOBdoTOFOTP?,26,5,6.0070118667,1.0070118667,1.2014023733,6.09098524,Solved
M?AA@AWFB_PWJ_sO_,25,5,6.0070034561,1.0070034561,1.2014006912,6.05036762,Solved
M?AAD@OX?sL_ccBw?,25,5,6.0069956183,1.0069956183,1.2013991237,6.03717817,Solved
M?AADBOIawM_BgTS?,27,5,6.0069878012,1.0069878012,1.2013975602,6.04224481,Solved
M?AA@aHY?kKcm?e`?,26,5,6.0069877976,1.0069877976,1.2013975595,6.04989963,Solved
M?AA@BOJ?{@w]?cs?,26,5,6.0069877974,1.0069877974,1.2013975595,6.05406742,Solved
M?AA@aHXCsV?Dgy?_,27,5,6.0069877969,1.0069877969,1.2013975594,6.02956939,Solved
M?AA@BOJCeN?Bweo?,27,5,6.0069877963,1.0069877963,1.2013975593,6.04030805,Solved
M?AEB?cuDoBoEoeW?,28,5,6.0069877959,1.0069877959,1.2013975592,6.02273179,Solved
M?AA@ags?kFOAsTG_,26,5,6.0069877957,1.0069877957,1.2013975591,6.06193344,Solved
M?AADBOIawJGBg}??,27,5,6.0069877956,1.0069877956,1.2013975591,6.04855065,Solved
M?AA@BOJCsQW]?Bw?,26,5,6.0069877956,1.0069877956,1.2013975591,6.04652964,Solved
M?AADBOM?]Bgi_TO_,27,5,6.0069877953,1.0069877953,1.2013975591,6.05179030,Solved
M?AA@BOL?UBo}?qS?,26,5,6.0069877947,1.0069877947,1.2013975589,6.05090563,Solved
M?AA@BOT@SV?VOBw?,26,5,6.0069877947,1.0069877947,1.2013975589,6.04167700,Solved
M?AA@AW[?]BoqOL__,26,5,6.0069877941,1.0069877941,1.2013975588,6.03211107,Solved
M?AA@aHR@KY@\?Bp?,26,5,6.0069877940,1.0069877940,1.2013975588,6.03522907,Solved
M?AA@aHMBGAse_y@?,26,5,6.0069877940,1.0069877940,1.2013975588,6.06004344,Solved
M?AADAoX?sN?ROEs?,26,5,6.0069532645,1.0069532645,1.2013906529,6.07555582,Solved
M?AAD@oTDSFOFOA{?,27,5,6.0069502397,1.0069502397,1.2013900479,6.07708413,Solved
M?AA@aHY?sKcDcm??,25,5,6.0068657917,1.0068657917,1.2013731583,6.05867864,Solved
M?AAD?oX?sF_A{RW?,26,5,6.0068548128,1.0068548128,1.2013709626,6.07495867,Solved
M?AAD@OJ@cM_agBY?,25,5,6.0068218154,1.0068218154,1.2013643631,6.04814873,Solved
M?AAD@OX?sQQBW^??,25,5,6.0067834116,1.0067834116,1.2013566823,6.04573946,Solved
M?AADBOIagv?BoFo?,27,5,6.0067829086,1.0067829086,1.2013565817,6.04556862,Solved
M?AAD?sX?s\?Doak?,26,5,6.0067829085,1.0067829085,1.2013565817,6.05851636,Solved
M?AAD?cUDcM_QWah?,26,5,6.0067829079,1.0067829079,1.2013565816,6.05028571,Solved
M?AAD@WHe_hgk_Ja?,27,5,6.0067829071,1.0067829071,1.2013565814,6.04847591,Solved
M?AADAoYAXDoCsN_?,27,5,6.0067829071,1.0067829071,1.2013565814,6.03261093,Solved
M?AA@AW[?{EoqOBs?,26,5,6.0067829070,1.0067829070,1.2013565814,6.03156903,Solved
M?AAD@OJBgTCAwDp?,26,5,6.0067829069,1.0067829069,1.2013565814,6.05957295,Solved
M?AA@aHYBHAqe_m??,26,5,6.0067829064,1.0067829064,1.2013565813,6.04159686,Solved
M?AAD@WKeOigi_La?,27,5,6.0067829059,1.0067829059,1.2013565812,6.04552282,Solved
M?AAD?oUEPTOTOLa?,26,5,6.0067829059,1.0067829059,1.2013565812,6.04043469,Solved
M?AAD@WKaQ}?BoLa?,27,5,6.0067829058,1.0067829058,1.2013565812,6.05117313,Solved
M?AAD?s[?sAwy?ak?,26,5,6.0067829052,1.0067829052,1.2013565810,6.05974187,Solved
M?AAD@WL`k]?BoQU?,28,5,6.0067829051,1.0067829051,1.2013565810,6.02320284,Solved
M?AAD@oT?s@kacN_?,26,5,6.0067829050,1.0067829050,1.2013565810,6.05586021,Solved
M?AAD@oX?sHgk_A{?,26,5,6.0067829047,1.0067829047,1.2013565809,6.06867903,Solved
M?AA@AWUBgHgaqk`?,27,5,6.0066029517,1.0066029517,1.2013205903,6.03906051,Solved
M?AAD@oX?sF_ccBW_,26,5,6.0064847022,1.0064847022,1.2012969404,6.07824268,Solved
M?AADBOMAiJ_BgIi?,27,5,6.0064508627,1.0064508627,1.2012901725,6.09062346,Solved
M?AA@AOQ@gPWF_Bw?,23,5,6.0061813993,1.0061813993,1.2012362799,6.02000036,Solved
M?AA@BOTDoBgi_Bw?,26,5,6.0061104469,1.0061104469,1.2012220894,6.04522773,Solved
M?AADAoX?s@Y^?RW?,27,5,6.0060660479,1.0060660479,1.2012132096,6.05868773,Solved
M?AAD@WHe_hgJ_k`?,27,5,6.0060341969,1.0060341969,1.2012068394,6.05628353,Solved
M?AA@AOY@SB_TODs?,23,5,6.0058568575,1.0058568575,1.2011713715,6.02123506,Solved
M?AAD?oT?kN?aIRW?,25,5,6.0058201654,1.0058201654,1.2011640331,6.05365013,Solved
M?AA@AW[AwUOROas?,26,5,6.0058194477,1.0058194477,1.2011638895,6.05080466,Solved
M?AA@BORBoQWEoBw?,26,5,6.0058172052,1.0058172052,1.2011634410,6.04457797,Solved
M?AA@BOm?yIgi_Bw?,27,5,6.0057821196,1.0057821196,1.2011564239,6.03693863,Solved
M?AA@BOT@TF_k_BW_,26,5,6.0057669379,1.0057669379,1.2011533876,6.05705281,Solved
M?AA@AW[AwHgaok`?,26,5,6.0057555389,1.0057555389,1.2011511078,6.06170941,Solved
M?AA@BOmDSBgBoTQ?,27,5,6.0056905529,1.0056905529,1.2011381106,6.04327996,Solved
M?AADBOJ@LZ?ROk__,27,5,6.0056778135,1.0056778135,1.2011355627,6.05357287,Solved
M?AAD@oIagV?FOBg?,25,5,6.0056119711,1.0056119711,1.2011223942,6.07569895,Solved
M?AAD@Oi@sM_DoAx?,26,5,6.0056099173,1.0056099173,1.2011219835,6.06196974,Solved
M?AAD@oIagV?FOBw?,26,5,6.0056060783,1.0056060783,1.2011212157,6.07586072,Solved
M?AADBOIdo@[UOVO?,27,5,6.0056060730,1.0056060730,1.2011212146,6.05794901,Solved
M?AAD@oI_wV?TOBw?,26,5,6.0056060721,1.0056060721,1.2011212144,6.08406151,Solved
M?AADBOIdo@[ROVO?,27,5,6.0056060707,1.0056060707,1.2011212141,6.05169530,Solved
M?AADBOIfOJ_BgVO?,27,5,6.0056060707,1.0056060707,1.2011212141,6.05642153,Solved
M?AADBOIdo@[V?VO?,27,5,6.0056060702,1.0056060702,1.2011212140,6.05248168,Solved
M?AADAoU?]JGHcM_?,26,5,6.0056060698,1.0056060698,1.2011212140,6.06815064,Solved
M?AEB?WHHwN?eSFo?,28,5,6.0056060692,1.0056060692,1.2011212138,6.03328264,Solved
M?AA@agw?wIcM_At?,26,5,6.0056060687,1.0056060687,1.2011212137,6.05790075,Solved
M?AEB?WHHwN?DoeS?,27,5,6.0056060685,1.0056060685,1.2011212137,6.05460484,Solved
M?AAD?sXCc@YRQFo?,27,5,6.0056037160,1.0056037160,1.2011207432,6.06315523,Solved
M?AAD`gD_{UOROwC?,27,5,6.0055867742,1.0055867742,1.2011173548,6.05069844,Solved
M?AEB?cuBoEoEWEw?,28,5,6.0055867724,1.0055867724,1.2011173545,6.04709649,Solved
M?AEB?cuBoAweWFo?,29,5,6.0055867708,1.0055867708,1.2011173542,6.02934108,Solved
M?AA@agTDCxGV?L`?,27,5,6.0055867702,1.0055867702,1.2011173540,6.04660835,Solved
M?AADb_BaY\?M_Cj?,28,5,6.0055867694,1.0055867694,1.2011173539,6.04471721,Solved
M?AAD?wTF_TOFOBq?,27,5,6.0055867672,1.0055867672,1.2011173534,6.08128502,Solved
M?AAD?wT?y@w{?ic?,27,5,6.0055867669,1.0055867669,1.2011173534,6.06925404,Solved
M?AADBOIdoAwTSFo?,28,5,6.0055867663,1.0055867663,1.2011173533,6.04218321,Solved
M?AA@BW{EQBoL_Bs?,28,5,6.0055867656,1.0055867656,1.2011173531,6.01646043,Solved
M?AA@AWVBgUOaoRP?,27,5,6.0055867655,1.0055867655,1.2011173531,6.03324689,Solved
M?AAD@omDSBgBoTQ?,28,5,6.0055867654,1.0055867654,1.2011173531,6.04928202,Solved
M?AAD@oT@sBoBwak?,28,5,6.0055867654,1.0055867654,1.2011173531,6.05649528,Solved
M?ABAaGEdoJ_PKgT?,27,5,6.0055867651,1.0055867651,1.2011173530,6.05875439,Solved
M?AA@b_T@sTOA{Fg?,28,5,6.0055867648,1.0055867648,1.2011173530,6.03078781,Solved
M?AADBOIdoHgVOBw?,28,5,6.0055867647,1.0055867647,1.2011173529,6.04826800,Solved
M?AAF@SI_]J_gg{A?,28,5,6.0055867646,1.0055867646,1.2011173529,6.05112283,Solved
M?AAD?wFQi]?i_Bp?,28,5,6.0055867646,1.0055867646,1.2011173529,6.05185005,Solved
M?AEB?cuBoBWN_Ew?,29,5,6.0055867639,1.0055867639,1.2011173528,6.03401167,Solved
M?AA@AWFF_EoqOBq?,26,5,6.0055867638,1.0055867638,1.2011173528,6.04709935,Solved
M?AEB?cuBoBwFoeW?,30,5,6.0055867638,1.0055867638,1.2011173528,6.01498521,Solved
M?AA@aHYDoRODgXH?,27,5,6.0055867638,1.0055867638,1.2011173528,6.05505675,Solved
M?AADBOIdoBgBwVO?,28,5,6.0055867637,1.0055867637,1.2011173527,6.05460511,Solved
M?AEB?cuBoEoAwEw?,28,5,6.0055867636,1.0055867636,1.2011173527,6.04221029,Solved
M?AAD@oTDoTOFOBw?,27,5,6.0055867635,1.0055867635,1.2011173527,6.06696588,Solved
M?AA@aoX?k\?aUec?,27,5,6.0055867635,1.0055867635,1.2011173527,6.03672785,Solved
M?AAF@cE_mM_m?aJ?,28,5,6.0055867635,1.0055867635,1.2011173527,6.05014690,Solved
M?AAD@oBdSV?FOTQ?,27,5,6.0055867630,1.0055867630,1.2011173526,6.06749668,Solved
M?AEB?cuBoBgFoeW?,29,5,6.0055867626,1.0055867626,1.2011173525,6.02510069,Solved
M?AEB?cuBoBoeWFo?,29,5,6.0055867626,1.0055867626,1.2011173525,6.03106641,Solved
M?AAD@OI@cB_CsBI_,23,5,6.0038658658,1.0038658658,1.2007731732,6.01815220,Solved
M?AAD?oDAOTOEoA{?,23,5,6.0033766615,1.0033766615,1.2006753323,6.01959274,Solved
M?AA@AOFAgDOaoBw?,23,5,6.0027862614,1.0027862614,1.2005572523,6.01733012,Solved
M?AA@BORDOAWBge_?,23,5,6.0025732081,1.0025732081,1.2005146416,6.02641491,Solved
M?AA@?WsAW@qk_co?,23,5,6.0022239639,1.0022239639,1.2004447928,6.01971800,Solved
M?AAD@OI@cB_DcAY_,23,5,6.0001627343,1.0001627343,1.2000325469,6.01599554,Solved
M?AAD?w[AgPOEoBc?,24,5,6.0000000087,1.0000000087,1.2000000017,6.06057930,Solved
M?AAD?w[AgPOEoBs?,25,5,6.0000000060,1.0000000060,1.2000000012,6.08017994,Solved
M?AAD?w[AgPOFoBs?,26,5,6.0000000050,1.0000000050,1.2000000010,6.09023870,Solved
M?AAD?Ws@c@oROHk?,24,5,6.0000000041,1.0000000041,1.2000000008,6.06724148,Solved
M?AAD?Ws@c@oROHg?,23,5,6.0000000032,1.0000000032,1.2000000006,6.05507043,Solved
M?AAD?w[AgPOEoBS?,24,5,6.0000000014,1.0000000014,1.2000000003,6.08110369,Solved
M?AA@BOi@c@oQODS?,22,5,6.0000000001,1.0000000001,1.2000000000,6.03441157,Solved
M?AAD?WHM_DOTON??,23,5,5.9990715162,0.9990715162,1.1998143032,6.02467443,Solved
