g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AAD@oMbgBoBwai?,29,5,5.9407283507,0.9407283507,1.1881456701,6.01834613,Solved
M?AAD?w[?kTOAsVO?,26,5,5.9407080845,0.9407080845,1.1881416169,6.00460993,Solved
M?AAD?wXCcBoROEs?,26,5,5.9406908516,0.9406908516,1.1881381703,6.02866248,Solved
M?AAD@oX?[BGk_ac?,24,5,5.9406879664,0.9406879664,1.1881375933,6.01148409,Solved
M?AA@BOi?[JGN?Ds?,25,5,5.9406671599,0.9406671599,1.1881334320,6.01763908,Solved
M?AAD?wT@S}?UOAt?,27,5,5.9406620801,0.9406620801,1.1881324160,6.01735900,Solved
M?AA@aHw?s@q\?u??,25,5,5.9406575119,0.9406575119,1.1881315024,6.02542421,Solved
M?AAD@OLBoDoBWig?,26,5,5.9406567273,0.9406567273,1.1881313455,6.01900455,Solved
M?AAD?WLFOTODqTP?,27,5,5.9406405347,0.9406405347,1.1881281069,6.02434577,Solved
M?AAD?Ws@cHgZ?Hk?,25,5,5.9406401503,0.9406401503,1.1881280301,6.00000267,Solved
M?AAD?w[CSM_EoBs?,26,5,5.9406370797,0.9406370797,1.1881274159,6.03794447,Solved
M?AADBOJ?sZ?HgVO?,26,5,5.9406243462,0.9406243462,1.1881248692,6.01984258,Solved
M?AADBOF@cTOROBw?,26,5,5.9406133019,0.9406133019,1.1881226604,6.03558530,Solved
M?AA@BOi?[JGDsN_?,26,5,5.9406123394,0.9406123394,1.1881224679,6.00304803,Solved
M?AAD@OM@K@[UOk_?,24,5,5.9406111648,0.9406111648,1.1881222330,6.00310098,Solved
M?AA@BOi?{IgJ_Cs?,25,5,5.9406102147,0.9406102147,1.1881220429,6.00016723,Solved
M?AA@BORCsTOTOJg?,26,5,5.9406092495,0.9406092495,1.1881218499,6.01342305,Solved
M?AA@AWT@Sn?cosQ?,26,5,5.9405565752,0.9405565752,1.1881113150,6.00326038,Solved
M?AAD?WHN_ROL_Bq?,26,5,5.9405556358,0.9405556358,1.1881111272,6.01778402,Solved
M?AAD@oIagRODoBw?,26,5,5.9405367939,0.9405367939,1.1881073588,6.00902136,Solved
