g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?AADbGI_kZ?Lg,23,5,5.6695166779,0.6695166779,1.1339033356,5.82407688,Solved
L?AADbGHfOFOLg,24,5,5.6695126540,0.6695126540,1.1339025308,5.83674307,Solved
L?AA@b_m?]Boe_,23,5,5.6694702114,0.6694702114,1.1338940423,5.80798018,Solved
L?AA@b_mCsBoBw,24,5,5.6694647034,0.6694647034,1.1338929407,5.81211845,Solved
L?AB?qQR@JN?}?,24,5,5.6694507158,0.6694507158,1.1338901432,5.80360747,Solved
L?AB?qQq@WJ_H[,23,5,5.6694507149,0.6694507149,1.1338901430,5.81761633,Solved
L?AA@b_DfON_Fg,24,5,5.6694416586,0.6694416586,1.1338883317,5.80497789,Solved
L?AA@ag[?YQPZ@,22,5,5.6694156448,0.6694156448,1.1338831290,5.80296701,Solved
L?AADAoFBoJGAw,22,5,5.6694057972,0.6694057972,1.1338811594,5.81112716,Solved
L?AAD?w[?uJ_As,22,5,5.6692197295,0.6692197295,1.1338439459,5.80483775,Solved
L?AEB?W\F_@wJ_,23,5,5.6692082489,0.6692082489,1.1338416498,5.83430875,Solved
L?AB?qQPPXV?]?,23,5,5.6691657450,0.6691657450,1.1338331490,5.83171276,Solved
L?AAD@oBoyF_}?,24,5,5.6691633754,0.6691633754,1.1338326751,5.81444898,Solved
L?AE@b_DfON_Fg,25,5,5.6691560484,0.6691560484,1.1338312097,5.82002237,Solved
L?AB?qQqBWN?H[,24,5,5.6691210146,0.6691210146,1.1338242029,5.83459739,Solved
L?AA@r_D_\\?Z?,23,5,5.6690817701,0.6690817701,1.1338163540,5.82456534,Solved
L?AB?qQPRoV?ZG,24,5,5.6690377898,0.6690377898,1.1338075580,5.84053426,Solved
L?AB?qQ]EoCkZG,25,5,5.6690205481,0.6690205481,1.1338041096,5.84695329,Solved
L?AAD@OJ@cJ_ag,20,5,5.6688694962,0.6688694962,1.1337738992,5.80285199,Solved
L?AEF@oFBoDoBw,25,5,5.6688555231,0.6688555231,1.1337711046,5.85079462,Solved
L?AEBAou@w@wF_,24,5,5.6688430818,0.6688430818,1.1337686164,5.83995409,Solved
L?AAD?oq?[Aw^?,21,5,5.6688180577,0.6688180577,1.1337636115,5.80493101,Solved
L?AEBAo]@wBoBw,25,5,5.6688147503,0.6688147503,1.1337629501,5.85123841,Solved
L?AADAoFFO@wN_,23,5,5.6688028868,0.6688028868,1.1337605774,5.81325663,Solved
L?AEBBo]@wBoBw,26,5,5.6687841199,0.6687841199,1.1337568240,5.86034294,Solved
L?AADBOY@g@oFO,20,5,5.6686353158,0.6686353158,1.1337270632,5.81539229,Solved
L?AAD?sY?eBo{?,21,5,5.6685960076,0.6685960076,1.1337192015,5.81451823,Solved
L?AA@agX?sPW]?,21,5,5.6685512696,0.6685512696,1.1337102539,5.82807783,Solved
L?AADb_R?]N?FG,23,5,5.6685300564,0.6685300564,1.1337060113,5.80149868,Solved
