g6,edges,alpha,theta,gap,ratio,status
L??G`DDa`gH@k@,20,5,5.7105266776,0.7105266776,1.1421053355,Solved
L??G`DDeSTM`Xc,25,5,5.5993139105,0.5993139105,1.1198627821,Solved
L??G`DDeUKFDXc,25,5,5.5850675990,0.5850675990,1.1170135198,Solved
L??G`DG`[SM`[E,23,5,5.6530674427,0.6530674427,1.1306134885,Solved
L??G`DGabgOk[D,22,5,5.6596107804,0.6596107804,1.1319221561,Solved
L??G`DHLAKOF]@,22,5,5.6167406769,0.6167406769,1.1233481354,Solved
L??G`DHP`oE__N,21,5,5.6392526586,0.6392526586,1.1278505317,Solved
L??G`DgTCJPQ[B,23,5,5.6721838132,0.6721838132,1.1344367626,Solved
L??G`E?QXhGs]?,21,5,5.6167406717,0.6167406717,1.1233481343,Solved
L??G`E?QXhGs}?,22,5,5.5040680147,0.5040680147,1.1008136029,Solved
L??G`E?paREc]G,22,5,5.5401724689,0.5401724689,1.1080344938,Solved
L??G`EApQPE`]G,22,5,5.5406537887,0.5406537887,1.1081307577,Solved
L??G`ECoaREa]G,22,5,5.6293907409,0.6293907409,1.1258781482,Solved
L??G`ECqaBE`]G,22,5,5.5883508188,0.5883508188,1.1176701638,Solved
L??G`EDaAKn?[K,22,5,5.6150974354,0.6150974354,1.1230194871,Solved
L??G`EG`QhLO[K,22,5,5.6781143606,0.6781143606,1.1356228721,Solved
L??G`EIOUGEaME,21,5,5.6427311963,0.6427311963,1.1285462393,Solved
L??G`EIPPgF?oB,20,5,5.6985678212,0.6985678212,1.1397135642,Solved
L??G`EIXKiJGw_,23,5,5.4914769263,0.4914769263,1.0982953853,Solved
L??G`EIXKiYGY_,23,5,5.5957358402,0.5957358402,1.1191471680,Solved
L??G`EIXKqIgw_,23,5,5.6241212504,0.6241212504,1.1248242501,Solved
L??G`EI[KiWgY_,23,5,5.5795553752,0.5795553752,1.1159110750,Solved
L??G`EI[KiXGX_,23,5,5.4665614933,0.4665614933,1.0933122987,Solved
L??G`EI[KqWgX_,23,5,5.5127765938,0.5127765938,1.1025553188,Solved
L??G`EXQ`gwgx_,24,5,5.4772556675,0.4772556675,1.0954511335,Solved
L??G`F?QaIEeMI,22,5,5.6203611345,0.6203611345,1.1240722269,Solved
L??G`FAMIiWgi_,23,5,5.6210333331,0.6210333331,1.1242066666,Solved
L??G`GiOsEIdmC,23,5,5.5659861007,0.5659861007,1.1131972201,Solved
L??G`GiOsKILmC,23,5,5.5676767638,0.5676767638,1.1135353528,Solved
L??G`GiOsUIckC,22,5,5.6141158209,0.6141158209,1.1228231642,Solved
L??G`GiOsgiKi`,23,5,5.6694072658,0.6694072658,1.1338814532,Solved
L??G`GiPcaiKi_,22,5,5.6733900420,0.6733900420,1.1346780084,Solved
L??G`GiPcaiKi`,23,5,5.6664228786,0.6664228786,1.1332845757,Solved
