g6,n,edges,alpha,theta,gap,ratio,status
P@oGQA?`ACcdCtDYC]Ah?goC,17,40,5,6.6066638364,1.6066638364,1.3213327673,Solved
PGD?OkeO_WAEGQobP_s`cgU?,17,40,5,6.5955656578,1.5955656578,1.3191131316,Solved
PG?OSAKccKGiGwJSI[@oWUA_,17,41,5,6.5927390754,1.5927390754,1.3185478151,Solved
P??GaOo`XMGsIcT?pSLaGuA?,17,41,5,6.5804909907,1.5804909907,1.3160981981,Solved
Ps`A?_KChFCiBoQSKCOoXL_O,17,42,5,6.5717021989,1.5717021989,1.3143404398,Solved
P?C?I_h`SDEQQcLAh`dU?tG?,17,41,5,6.5625247693,1.5625247693,1.3125049539,Solved
Ps`A?WIDGeCdGsQEKK?oLL_O,17,42,5,6.5412291795,1.5412291795,1.3082458359,Solved
