g6,edges,alpha,theta,gap,ratio,theta_ub,status
K?`DA`gd?{Dg,20,4,4.9300214700,0.9300214700,1.2325053675,4.94258553,Solved
K?`DE`gLAsAs,21,4,4.9116601332,0.9116601332,1.2279150333,4.92290627,Solved
K?`DE`glAsDg,22,4,4.9036008240,0.9036008240,1.2259002060,4.91404908,Solved
K?`DB_kSg{U_,22,4,4.9022347905,0.9022347905,1.2255586976,4.92033871,Solved
K?`DA`gl?{Dg,21,4,4.8996304958,0.8996304958,1.2249076240,4.91151488,Solved
K?`DE`gN?{Qc,22,4,4.8976961690,0.8976961690,1.2244240423,4.92150252,Solved
K?`DBRoN?{Qg,23,4,4.8955381383,0.8955381383,1.2238845346,4.94059868,Solved
K?`FAo]]DgSg,24,4,4.8928559823,0.8928559823,1.2232139956,4.96918206,Solved
K?`DA`wl?{Dg,22,4,4.8760085991,0.8760085991,1.2190021498,4.88746095,Solved
K?`DE`gl?{Dg,22,4,4.8709417927,0.8709417927,1.2177354482,4.88169940,Solved
K?`DBRoN?mJO,23,4,4.8429540753,0.8429540753,1.2107385188,4.85608447,Solved
K?`FE`wl?{Dg,24,4,4.8000000016,0.8000000016,1.2000000004,4.80972648,Solved
K?AEF@oM?w@o,18,5,5.5980762124,0.5980762124,1.1196152425,5.70423436,Solved
K?AADAoMAwHg,18,5,5.4721359624,0.4721359624,1.0944271925,5.71646617,Solved
K?AADAoFBoHg,18,5,5.4721359567,0.4721359567,1.0944271913,5.70875753,Solved
K?AADAoM?wHg,17,5,5.4721359553,0.4721359553,1.0944271911,5.70937987,Solved
