g6,edges,alpha,theta,gap,ratio,status
E?Bw,5,5,4.9999999980,-0.0000000020,0.9999999996,Solved
E?bo,5,4,4.0000000000,-0.0000000000,1.0000000000,Solved
E?bw,6,4,3.9999999977,-0.0000000023,0.9999999994,Solved
E?ow,5,4,4.0000000002,0.0000000002,1.0000000001,Solved
E?qo,5,4,4.0000000001,0.0000000001,1.0000000000,Solved
E?qw,6,4,3.9999999996,-0.0000000004,0.9999999999,Solved
E?ro,6,4,3.9999999998,-0.0000000002,1.0000000000,Solved
E?rw,7,4,4.0000000003,0.0000000003,1.0000000001,Solved
E?zO,6,4,4.0000000004,0.0000000004,1.0000000001,Solved
E?zW,7,4,3.9999999973,-0.0000000027,0.9999999993,Solved
E?zo,7,4,4.0000000012,0.0000000012,1.0000000003,Solved
E?zw,8,4,4.0000000000,-0.0000000000,1.0000000000,Solved
E?~o,8,4,3.9999999966,-0.0000000034,0.9999999992,Solved
E?~w,9,4,3.9999999973,-0.0000000027,0.9999999993,Solved
ECR_,5,3,3.0000000003,0.0000000003,1.0000000001,Solved
ECRo,6,3,3.0000000000,0.0000000000,1.0000000000,Solved
ECRw,7,3,3.0000000000,-0.0000000000,1.0000000000,Solved
ECYW,6,3,2.9999999999,-0.0000000001,1.0000000000,Solved
ECZ?,5,3,3.0000000017,0.0000000017,1.0000000006,Solved
ECZG,6,3,3.0000000004,0.0000000004,1.0000000001,Solved
ECZO,6,3,3.0000000004,0.0000000004,1.0000000001,Solved
ECZW,7,3,2.9999999995,-0.0000000005,0.9999999998,Solved
ECZ_,6,3,3.0000000004,0.0000000004,1.0000000001,Solved
ECZg,7,3,3.0000000011,0.0000000011,1.0000000004,Solved
ECZo,7,3,3.0000000001,0.0000000001,1.0000000000,Solved
ECZw,8,3,3.0000000012,0.0000000012,1.0000000004,Solved
ECfo,7,3,3.0000000002,0.0000000002,1.0000000001,Solved
ECfw,8,3,3.0000000002,0.0000000002,1.0000000001,Solved
ECpo,6,3,3.0000000006,0.0000000006,1.0000000002,Solved
ECqg,6,3,3.0000000002,0.0000000002,1.0000000001,Solved
