g6,alpha,theta_ub
J?`DD`gD`w?,4,4.73484388
J?`DD`gD`s?,4,4.73711829
J?`DD`gUcd?,4,4.73466464
J?`DD`gU_l?,4,4.71828338
J?`DD`gUed?,4,4.71802225
J?`DD`WN?{?,4,4.70938963
J?`DD_wS_{?,4,4.70856292
J?`DD_wS`Q_,4,4.72822101
J?`DD_wSbQ_,4,4.72454039
J?`DD_wS`Y_,4,4.71920171
J?`DD_wU`Y?,4,4.71440875
