g6,alpha,theta_ub
L?AA@AOTFOTOZG,5,5.79725145
L?AA@AOTFOTOJg,5,5.78825389
L?AA@AOTFOTODq,5,5.74081507
L?AA@AOTFOFOeO,5,5.75924302
L?AA@AOTFOFOJg,5,5.74067384
L?AA@AOTFOFOaS,5,5.74152898
L?AA@AOTFOEoDo,5,5.77594354
L?AA@AOTFOEoZG,5,5.78725996
L?AA@AOTFOEoic,5,5.80472459
L?AA@AOTFODoZG,5,5.74093221
L?AA@AOTFODoic,5,5.79118466
L?AA@AOTFOZGDq,5,5.74255128
L?AA@AOTFOBge_,5,5.77063947
L?AA@AOTFOBgeo,5,5.74306658
L?AA@AOTFOBgDo,5,5.77222659
L?AA@AOTFOBgZG,5,5.81085270
L?AA@AOTFOBgaS,5,5.78728414
L?AA@AOTFOJgDq,5,5.74790296
L?AA@AOTFOPWm_,5,5.74917805
L?AA@AOTFOPWuO,5,5.74932007
L?AA@AOTFOAwe_,5,5.81262863
L?AA@AOTFOAweO,5,5.79086124
L?AA@AOTFOAwuO,5,5.75331074
L?AA@AOTFOAwVO,5,5.75848085
L?AA@AOTFOAweo,5,5.74497936
L?AA@AOTFOAwZG,5,5.77100446
L?AA@AOTFODcuO,5,5.77887293
L?AA@AOTFODcVO,5,5.81768317
L?AA@AOTFODcRW,5,5.76467639
L?AA@AOTFODcic,5,5.81783270
L?AA@AOTFODcA[,5,5.80719239
L?AA@AOTFOLcJg,5,5.74572635
L?AA@AOTFOLcDq,5,5.76958953
L?AA@AOTFODSm_,5,5.74110467
L?AA@AOTFODSZG,5,5.81528909
L?AA@AOTFODSaS,5,5.75236301
L?AA@AOTFOHKuO,5,5.77052312
L?AA@AOTFOHKDb,5,5.74728247
L?AA@AOTFO@kJG,5,5.76575105
L?AA@AOTFO@kZG,5,5.75648319
L?AA@AOTFO@kaS,5,5.76357939
L?AA@AOTFOTQZG,5,5.79399162
L?AA@AOTFOTQJg,5,5.75665166
L?AA@AOTFODUZG,5,5.81304779
L?AA@AOTEoTOeo,5,5.76219983
L?AA@AOTEoTOZG,5,5.78816591
L?AA@AOTEoTOJg,5,5.78162000
L?AA@AOTEoTOas,5,5.77586146
L?AA@AOTEoFOeo,5,5.75519133
L?AA@AOTEoFOZG,5,5.74649777
L?AA@AOTEoFOJg,5,5.77678809
L?AA@AOTEoFOas,5,5.75303029
L?AA@AOTEoFOIk,5,5.75698991
L?AA@AOTEoVOIk,5,5.74490914
L?AA@AOTEoEoZG,5,5.77874327
L?AA@AOTEoEoRW,5,5.75410519
L?AA@AOTEoEoic,5,5.82463505
L?AA@AOTEoDoZG,5,5.74105507
L?AA@AOTEoDoac,5,5.80387948
L?AA@AOTEoDoic,5,5.81346341
L?AA@AOTEoBoJg,5,5.74603480
L?AA@AOTEoBoic,5,5.77733138
L?AA@AOTEoFoJg,5,5.74090790
L?AA@AOTEoLCm_,5,5.74820160
L?AA@AOTEoLCic,5,5.81937629
L?AA@AOTEoLCIk,5,5.80581039
L?AA@AOTEoLCDp,5,5.79319273
L?AA@AOTEoHcm_,5,5.74287892
L?AA@AOTEoHcic,5,5.76454599
L?AA@AOTEoDcm_,5,5.77037061
L?AA@AOTEoDcL_,5,5.77044436
L?AA@AOTEoDcN_,5,5.74255814
L?AA@AOTEoDcDo,5,5.74905223
L?AA@AOTEoDcBW,5,5.79663602
L?AA@AOTEoDcRW,5,5.77278590
L?AA@AOTEoDcic,5,5.81625404
L?AA@AOTEoDcA[,5,5.78480812
L?AA@AOTEoDSe_,5,5.76630779
L?AA@AOTEoDSm_,5,5.76269386
L?AA@AOTEoDSN_,5,5.75233919
L?AA@AOTEoDSZG,5,5.78270340
L?AA@AOTEo@sN_,5,5.74896682
L?AA@AOTEo@sZG,5,5.75397691
L?AA@AOTEo@sic,5,5.75923421
L?AA@AOTEoTQN_,5,5.76549508
L?AA@AOTEoTQZG,5,5.78386224
L?AA@AOTEoTQJg,5,5.75560283
L?AA@AOTEoTQas,5,5.76026824
L?AA@AOTEoDUZG,5,5.77109321
L?AA@AOTDoEoZG,5,5.76572519
L?AA@AOTDoEoJg,5,5.80403362
L?AA@AOTDoEoas,5,5.74438707
L?AA@AOTDoEoIk,5,5.81910119
L?AA@AOTDoDoZG,5,5.76963834
L?AA@AOTDoFoJg,5,5.80143610
L?AA@AOTDoFoIk,5,5.79799603
L?AA@AOTDoXGeo,5,5.74755732
L?AA@AOTDoXGRW,5,5.77207397
L?AA@AOTDoXGas,5,5.76303788
L?AA@AOTDoXGL`,5,5.78498039
L?AA@AOTDoRGZG,5,5.74782074
L?AA@AOTDoJGeo,5,5.78746219
L?AA@AOTDoJGZG,5,5.80365222
L?AA@AOTDoJGas,5,5.78073899
L?AA@AOTDoZGeo,5,5.75566991
L?AA@AOTDoBgeo,5,5.78866632
L?AA@AOTDoBgFo,5,5.77135396
L?AA@AOTDoBgZG,5,5.80526883
L?AA@AOTDoBgas,5,5.75429373
L?AA@AOTDoJgZG,5,5.79365854
L?AA@AOTDoPWuO,5,5.78304311
L?AA@AOTDoPWVO,5,5.76036670
L?AA@AOTDoPWIk,5,5.74513538
L?AA@AOTDoBWuO,5,5.77031948
L?AA@AOTDoBWVO,5,5.75889188
L?AA@AOTDoBWFo,5,5.75415250
L?AA@AOTDoAwVO,5,5.76390670
L?AA@AOTDoAweo,5,5.76919133
L?AA@AOTDoAwFo,5,5.76271376
L?AA@AOTDoAwYH,5,5.77744798
L?AA@AOTDo@wDo,5,5.74570867
L?AA@AOTDo@wFo,5,5.74290603
L?AA@AOTDoDcL_,5,5.79686333
L?AA@AOTDoDcN_,5,5.80140363
L?AA@AOTDoDcuO,5,5.76080202
L?AA@AOTDoDcVO,5,5.80626590
L?AA@AOTDoDcaS,5,5.75348368
L?AA@AOTDoDSN_,5,5.82716183
L?AA@AOTDoDSZG,5,5.82655312
L?AA@AOTDoDSaS,5,5.77529364
L?AA@AOTDoDSas,5,5.75144924
L?AA@AOTDoDsZG,5,5.75384730
L?AA@AOTDo@keO,5,5.76408150
L?AA@AOTDo@kuO,5,5.74388003
L?AA@AOTDo@kaS,5,5.75099654
L?AA@AOTDoDUZG,5,5.80742923
L?AA@AOTBoTOeO,5,5.80133990
L?AA@AOTBoTOuO,5,5.75809967
L?AA@AOTBoTOVO,5,5.75438155
L?AA@AOTBoTOeo,5,5.74072188
L?AA@AOTBoTOJg,5,5.81861530
L?AA@AOTBoTOaS,5,5.77907603
L?AA@AOTBoTOas,5,5.76349164
L?AA@AOTBoFOuO,5,5.74646969
L?AA@AOTBoFOVO,5,5.74846568
L?AA@AOTBoFOeo,5,5.74736918
L?AA@AOTBoFOas,5,5.75168980
L?AA@AOTBoFOIk,5,5.82115427
