g6,alpha,theta_ub
L?AA@?WuBgEoeo,5,5.74650288
L?AA@?WuBgEoaq,5,5.76178417
L?AA@?WuBgIgaq,5,5.76259912
L?AA@?WuBgIgab,5,5.77381738
L?AA@?WuBgHgaq,5,5.74528041
L?AA@?WuBgPWm_,5,5.74050494
L?AA@?WuBgPWN_,5,5.74501524
L?AA@?WuBgAweo,5,5.74003302
L?AA@?WuBgAwaq,5,5.74320777
L?AA@?Wu@wUOVO,5,5.74271281
L?AA@?Wu@wUORP,5,5.77829894
L?AA@?Wu?{M_eo,5,5.78280443
L?AA@?Wu?{M_ap,5,5.79274263
L?AA@?Wu?{N_eo,5,5.77249278
L?AAD@Oi@gBOUO,5,5.78358348
L?AAD@Oi@gBORO,5,5.78599695
L?AAD@Oi@gBOFO,5,5.79500366
L?AAD@Oi@gBOVO,5,5.79422108
L?AAD@Oi@gBOEo,5,5.75412534
L?AAD@Oi@gBODo,5,5.82488591
L?AAD@Oi@gBOBo,5,5.79813789
L?AAD@Oi@gBOFo,5,5.76723955
L?AAD@Oi@gBOBW,5,5.74860501
L?AAD@Oi@gBOAw,5,5.78436788
L?AAD@Oi@gBOBw,5,5.77146154
L?AAD@Oi@gBODc,5,5.80396811
L?AAD@Oi@gBOCs,5,5.75952408
L?AAD@Oi@gBODs,5,5.77914700
L?AAD@Oi@gBOAq,5,5.75867366
L?AAD@Oi@gBOAY,5,5.74718556
L?AAD@Oi@gBOAy,5,5.75692756
L?AAD@Oi@gBOHH,5,5.76777713
L?AAD@Oi@gROVO,5,5.75825029
L?AAD@Oi@gVOVO,5,5.75109116
L?AAD@Oi@gVODs,5,5.74125490
L?AAD@Oi@gAoUO,5,5.78985391
L?AAD@Oi@gAoFO,5,5.77817916
L?AAD@Oi@gAoVO,5,5.76439462
L?AAD@Oi@gAoEo,5,5.77935044
L?AAD@Oi@gAoFo,5,5.78275767
L?AAD@Oi@gAoAw,5,5.80019917
L?AAD@Oi@gAoBw,5,5.77356058
L?AAD@Oi@gEoBw,5,5.74181355
L?AAD@Oi@gEoAZ,5,5.74073381
L?AAD@Oi@g@oEO,5,5.77756286
L?AAD@Oi@g@oUO,5,5.75909901
L?AAD@Oi@g@oFO,5,5.81466523
L?AAD@Oi@g@oVO,5,5.77361068
L?AAD@Oi@g@oEo,5,5.77643332
L?AAD@Oi@g@oFo,5,5.79789616
L?AAD@Oi@g@oDc,5,5.81213014
L?AAD@Oi@g@oCs,5,5.77659212
L?AAD@Oi@g@oDs,5,5.79843942
L?AAD@Oi@gBoFO,5,5.76065860
