g6,alpha,theta_ub
L?AA@BOmBgEoqP,5,5.74864972
L?AA@BOmBWFOJg,5,5.82204658
L?AA@BOmBWBoJg,5,5.76638348
L?AA@BOm@wFOBw,5,5.75130269
L?AA@BOm@wEouO,5,5.76138444
L?AA@BOm@wEoqP,5,5.76638086
L?AA@BOm@wDouO,5,5.77406608
L?AA@BOm@wDoBw,5,5.77911461
L?AA@BOm@w@wN_,5,5.76674672
L?AA@BOm@w@wFo,5,5.75229670
L?AA@BOm@w@wJG,5,5.74395219
L?AA@BOmDcL_Jg,5,5.81247628
L?AA@BOmDcJ_VO,5,5.74174237
L?AA@BOmDcJ_Jg,5,5.78262543
L?AA@BOmDcJ_RQ,5,5.77781854
L?AA@BOmDcEoqP,5,5.76747416
L?AA@BOmDcBoBw,5,5.74211863
L?AA@BOmDcJGVO,5,5.75828024
L?AA@BOmDcJGRQ,5,5.79375911
L?AA@BOmDcIguO,5,5.74664595
L?AA@BOmDcIgVO,5,5.74505617
L?AA@BOmDcHguO,5,5.74812089
L?AA@BOmDcHgVO,5,5.75881268
L?AA@BOmDc@[uO,5,5.78061727
L?AA@BOmDSM_Jg,5,5.84588080
L?AA@BOmDSM_ap,5,5.76871955
L?AA@BOmDSM_Ax,5,5.75214407
L?AA@BOmDSL_Jg,5,5.84236656
L?AA@BOmDSJ_VO,5,5.74469328
L?AA@BOmDSJ_Jg,5,5.82150813
L?AA@BOmDSF_TQ,5,5.74903899
L?AA@BOmDSDouO,5,5.76537120
L?AA@BOmDSDoBw,5,5.75547883
L?AA@BOmDSDoTQ,5,5.74926147
L?AA@BOmDSJGVO,5,5.76255323
L?AA@BOmDSJGJg,5,5.75198112
L?AA@BOmDSIg\?,5,5.75078535
L?AA@BOmDSIguO,5,5.78542194
L?AA@BOmDSIgVO,5,5.76064374
L?AA@BOmDSHguO,5,5.74507036
L?AA@BOmDSHgVO,5,5.74221431
L?AA@BOmDSBgTQ,5,5.74385319
L?AA@BOmDSBWBw,5,5.74024795
L?AA@BOmDS@wJg,5,5.74497472
L?AA@BOmDS@[uO,5,5.83035916
L?AA@BOmDS@[Jg,5,5.76554728
L?AA@BOmDS@[TB,5,5.75528894
L?AA@BOm@sM_Jg,5,5.82617956
L?AA@BOm@sM_ap,5,5.74203011
L?AA@BOm@sEouO,5,5.78148690
L?AA@BOm@sEoqP,5,5.79353135
L?AA@BOm@sDouO,5,5.79846360
L?AA@BOm@sDoeo,5,5.75852578
L?AA@BOm@sDoFo,5,5.75497714
L?AA@BOm@sDoBw,5,5.80318879
L?AA@BOm@s@wN_,5,5.78374286
L?AA@BOm@s@wFo,5,5.77712496
L?AA@BOm@s@wJg,5,5.76631753
L?AA@BOm@sDsuO,5,5.75226377
L?AA@BOm@s@{N_,5,5.74887207
L?AA@BOm@[EouO,5,5.74155630
L?AA@BOm@[ZGN_,5,5.74284510
L?AA@BOm@[@{N_,5,5.74270103
L?AA@BOm?{M_Jg,5,5.79088128
L?AA@BOm?{F_Fo,5,5.75263920
L?AA@BOm?{F_Bw,5,5.78851894
L?AA@BOm?{N_Jg,5,5.74596399
L?AA@BOm?{FOBw,5,5.81194190
L?AA@BOm?{VOBw,5,5.74133732
L?AA@BOm?{DouO,5,5.74695894
L?AA@BOm?{DoDo,5,5.75974226
L?AA@BOm?{DoBw,5,5.75470363
L?AA@BOm?{@wk_,5,5.76318327
L?AA@BOm?{@we_,5,5.80840525
L?AA@BOm?{@wm_,5,5.77425211
L?AA@BOm?{@wL_,5,5.75521247
L?AA@BOm?{@wN_,5,5.77820250
L?AA@BOm?{@{N_,5,5.74558755
L?AA@BOmCqM_ap,5,5.77690679
L?AA@BOmCqFON_,5,5.75166664
L?AA@BOmCqFOJg,5,5.77035582
L?AA@BOmCqDoN_,5,5.75844358
L?AA@BOmCqDc^?,5,5.74783876
L?AA@BOmCqDSBw,5,5.74896561
L?AA@BOmCq@sm_,5,5.74275488
L?AA@BOmAqFOJg,5,5.76071789
L?AA@BOmAqDom_,5,5.75201345
L?AA@BOmAqDoN_,5,5.74912114
L?AA@BOmAiZGia,5,5.76514947
L?AA@BOmAYF_JG,5,5.78665622
L?AA@BOm?yFOBw,5,5.74022169
L?AA@BOm?y@wuO,5,5.74788062
L?AA@BOm?y@wVO,5,5.75237388
L?AA@BOmCeFOJg,5,5.76429684
L?AA@BOmCeDSuO,5,5.75473592
L?AA@BOmCUM_m_,5,5.74311797
L?AA@BOmCUM_eo,5,5.74753144
L?AA@BOmCUFOJg,5,5.75122769
L?AA@BOmCU@weo,5,5.74131627
L?AA@BOmCUDSuO,5,5.80635752
L?AA@BOm?uFOJg,5,5.74826082
L?AA@BOm?uFOBw,5,5.78560823
L?AA@BOm?uDoe_,5,5.74312924
L?AA@BOm?uDoM_,5,5.77976692
L?AA@BOm?uAweo,5,5.74424763
L?AA@BOm?u@we_,5,5.81901928
L?AA@BOm?u@wm_,5,5.77078448
L?AA@BOm?u@weO,5,5.80663594
L?AA@BOm?u@wuO,5,5.75016770
L?AA@BOm?u@wco,5,5.74612517
L?AA@BOm?u@weo,5,5.76973323
L?AA@BOm?]Dom_,5,5.75228732
L?AA@BOm?]DoL_,5,5.74011914
L?AA@BOm?]DoN_,5,5.76237907
L?AA@BOm?]FoN_,5,5.74105997
L?AA@BWN@k^?qQ,5,5.74744476
L?AA@BWN@kXG{?,5,5.75124271
L?AA@BWN@kXGy?,5,5.76412725
L?AA@BWN@kXGm?,5,5.81421498
L?AA@BWN@kXG]?,5,5.83294592
L?AA@BWN@kXG}?,5,5.77691926
L?AAD@OI@gUOBw,5,5.76179573
L?AAD@OI@gUODs,5,5.81585310
L?AAD@OI@gUOBX,5,5.77412482
L?AAD@OI@gUOQR,5,5.76400651
L?AAD@OI@gUOAZ,5,5.75643742
L?AAD@OI@gBODc,5,5.78528858
L?AAD@OI@gBOCs,5,5.79139079
L?AAD@OI@gBODs,5,5.79500075
L?AAD@OI@gBOHH,5,5.74045635
L?AAD@OI@gROBo,5,5.76812560
L?AAD@OI@gROBW,5,5.76680169
L?AAD@OI@gROBw,5,5.74968120
L?AAD@OI@gROAY,5,5.74096566
L?AAD@OI@gROAy,5,5.74502419
L?AAD@OI@gFODs,5,5.79938403
L?AAD@OI@gVOBw,5,5.75979295
L?AAD@OI@gEoAy,5,5.78121950
L?AAD@OI@gEoQR,5,5.75057928
L?AAD@OI@g@oCc,5,5.78901766
L?AAD@OI@g@oDc,5,5.80659965
L?AAD@OI@g@oCs,5,5.82038111
L?AAD@OI@g@oDs,5,5.83136761
L?AAD@OI@gBoDc,5,5.77822787
L?AAD@OI@gBoDs,5,5.79561409
L?AAD@OI@gBoAq,5,5.78344765
L?AAD@OI@gBoAY,5,5.78574315
