g6,alpha,theta_ub
L?AA@BOTDOEOqO,5,5.78638066
L?AA@BOTDOEOeO,5,5.76292958
L?AA@BOTDOEOUO,5,5.76656845
L?AA@BOTDOEOuO,5,5.76782549
L?AA@BOTDOEOVO,5,5.74233137
L?AA@BOTDOEOco,5,5.77151418
L?AA@BOTDOEOJG,5,5.82826969
L?AA@BOTDOEOJg,5,5.83765779
L?AA@BOTDOEOaS,5,5.80482539
L?AA@BOTDOEOas,5,5.74308844
L?AA@BOTDOEOaP,5,5.79206541
L?AA@BOTDOEOqP,5,5.78588771
L?AA@BOTDOUOUO,5,5.74490561
L?AA@BOTDOUORO,5,5.75302054
L?AA@BOTDOUOJg,5,5.81415537
L?AA@BOTDOFOqO,5,5.74448427
L?AA@BOTDOFOUO,5,5.76141869
L?AA@BOTDOFOuO,5,5.74622021
L?AA@BOTDOFOVO,5,5.74243309
L?AA@BOTDOFOJG,5,5.84144248
L?AA@BOTDOFOJg,5,5.83973391
L?AA@BOTDOFOaS,5,5.76117900
L?AA@BOTDOFOas,5,5.74917581
L?AA@BOTDOFOA[,5,5.74386854
L?AA@BOTDOFOA{,5,5.74682485
L?AA@BOTDOFODa,5,5.83143208
L?AA@BOTDOFODq,5,5.74417482
L?AA@BOTDOEoqO,5,5.75609040
L?AA@BOTDOEoJG,5,5.80555370
L?AA@BOTDOEoJg,5,5.82577114
L?AA@BOTDOEoaS,5,5.75958449
L?AA@BOTDOEoCq,5,5.77912307
L?AA@BOTDOEoDq,5,5.78219074
L?AA@BOTDODoA[,5,5.75232805
L?AA@BOTDODoA{,5,5.75229464
L?AA@BOTDODoDa,5,5.80947069
L?AA@BOTDOBoJg,5,5.82974375
L?AA@BOTDOBoDa,5,5.75984293
L?AA@BOTDOBGk_,5,5.76135422
L?AA@BOTDOBGe_,5,5.77947200
L?AA@BOTDOBGm_,5,5.77038402
L?AA@BOTDOBGco,5,5.75438099
L?AA@BOTDOBGao,5,5.79802943
L?AA@BOTDOBGeo,5,5.75340926
L?AA@BOTDOBGBo,5,5.76942778
L?AA@BOTDOBGJG,5,5.84109098
L?AA@BOTDOBGBw,5,5.75515468
L?AA@BOTDOBGas,5,5.79918903
L?AA@BOTDOBGA[,5,5.82902950
L?AA@BOTDOBGA{,5,5.77077307
L?AA@BOTDOBGDa,5,5.75231336
L?AA@BOTDOBGCq,5,5.78159837
L?AA@BOTDOBGDq,5,5.77057762
L?AA@BOTDOJGm_,5,5.75331841
L?AA@BOTDOJGas,5,5.76219515
L?AA@BOTDOJGDq,5,5.75688304
L?AA@BOTDO@gM_,5,5.74675747
L?AA@BOTDO@gm_,5,5.74649544
L?AA@BOTDO@gJG,5,5.81604593
L?AA@BOTDO@gCq,5,5.74503137
L?AA@BOTDO@gDq,5,5.74416318
L?AA@BOTDOHgBw,5,5.74382133
L?AA@BOTDOHgaS,5,5.81359048
L?AA@BOTDOHgA{,5,5.74624277
L?AA@BOTDOHgCq,5,5.74121173
L?AA@BOTDOBgk_,5,5.74833702
L?AA@BOTDOBgm_,5,5.74073443
L?AA@BOTDOBgFo,5,5.74206047
L?AA@BOTDOBgBw,5,5.75592986
L?AA@BOTDOBgaS,5,5.80140220
L?AA@BOTDOBgA[,5,5.78847827
L?AA@BOTDOBgCq,5,5.74809844
L?AA@BOTDOBgDq,5,5.75808873
L?AA@BOTDOAWk_,5,5.82853014
L?AA@BOTDOAWe_,5,5.81585812
L?AA@BOTDOAWm_,5,5.77192202
L?AA@BOTDOAWL_,5,5.77211549
L?AA@BOTDOAWqO,5,5.76736329
L?AA@BOTDOAWeO,5,5.79340423
L?AA@BOTDOAWUO,5,5.78364654
L?AA@BOTDOAWuO,5,5.78792831
L?AA@BOTDOAWRO,5,5.75251486
L?AA@BOTDOAWVO,5,5.76206553
L?AA@BOTDOAWeo,5,5.77307963
L?AA@BOTDOAWaS,5,5.79503954
L?AA@BOTDOAWAs,5,5.78723564
L?AA@BOTDOAWas,5,5.78473806
L?AA@BOTDOAWA[,5,5.74458616
L?AA@BOTDOAWA{,5,5.75754124
L?AA@BOTDOAWBH,5,5.77647021
L?AA@BOTDOAWJH,5,5.78039011
L?AA@BOTDO@Wk_,5,5.76421024
L?AA@BOTDO@We_,5,5.79090987
L?AA@BOTDO@WM_,5,5.77263257
L?AA@BOTDO@Wm_,5,5.77217343
L?AA@BOTDO@WJ_,5,5.74558032
L?AA@BOTDO@WF_,5,5.74148386
L?AA@BOTDO@WqO,5,5.77423341
L?AA@BOTDO@WeO,5,5.80248888
L?AA@BOTDO@WUO,5,5.77393923
L?AA@BOTDO@WuO,5,5.76025024
L?AA@BOTDO@WRO,5,5.75967936
L?AA@BOTDO@WFO,5,5.79082420
L?AA@BOTDO@WVO,5,5.75520841
L?AA@BOTDO@WCo,5,5.79426025
L?AA@BOTDO@Wco,5,5.76377165
L?AA@BOTDO@WEo,5,5.76928607
L?AA@BOTDO@Weo,5,5.75237711
L?AA@BOTDO@WDo,5,5.76307443
L?AA@BOTDO@WJG,5,5.77576571
L?AA@BOTDO@WCq,5,5.77183311
L?AA@BOTDO@WDq,5,5.75087632
L?AA@BOTDOAwk_,5,5.81130081
L?AA@BOTDOAwm_,5,5.75809073
L?AA@BOTDOAwqO,5,5.75144478
L?AA@BOTDOAwUO,5,5.77665831
L?AA@BOTDOAwuO,5,5.74185949
L?AA@BOTDOAwRO,5,5.74776402
L?AA@BOTDOAwVO,5,5.76811744
L?AA@BOTDOAwaS,5,5.74109904
L?AA@BOTDO@wRO,5,5.74287843
L?AA@BOTDO@wVO,5,5.74141981
L?AA@BOTDODcm_,5,5.83222498
L?AA@BOTDODcN_,5,5.80535812
L?AA@BOTDODcaS,5,5.80496332
L?AA@BOTDODcAs,5,5.78580325
L?AA@BOTDODsm_,5,5.81573451
L?AA@BOTDODsN_,5,5.81575256
L?AA@BOTDOAXk_,5,5.83063728
L?AA@BOTDOAXuO,5,5.77663153
L?AA@BOTDOAXVO,5,5.74041572
L?AA@BOTDOAXeo,5,5.75212733
L?AA@BOTDOAXas,5,5.77309444
L?AA@BOTDOAXA[,5,5.74548594
L?AA@BOTDOAXA{,5,5.74496943
L?AA@BOTDOAXJH,5,5.78797729
L?AA@BOTDOAxm_,5,5.74009332
L?AA@BOTFOTOJg,5,5.80749688
L?AA@BOTFOTOas,5,5.74003174
L?AA@BOTFOTOA{,5,5.74107843
L?AA@BOTFOFOJg,5,5.76267814
L?AA@BOTFOFOIk,5,5.76206967
L?AA@BOTFOEoco,5,5.74794331
L?AA@BOTFOEoJG,5,5.76004422
L?AA@BOTFOEoJg,5,5.76308636
L?AA@BOTFOEoic,5,5.80692004
L?AA@BOTFOEoIk,5,5.76861072
L?AA@BOTFODoic,5,5.81603331
L?AA@BOTFOBoDo,5,5.74275890
L?AA@BOTFOBoJg,5,5.76006379
L?AA@BOTFOBoic,5,5.76339349
L?AA@BOTFORGic,5,5.74926534
L?AA@BOTFORGas,5,5.77079778
L?AA@BOTFORGDq,5,5.74995632
L?AA@BOTFOBgDo,5,5.76886541
L?AA@BOTFOBgDq,5,5.74404879
L?AA@BOTFOQWuO,5,5.74088844
L?AA@BOTFOPWic,5,5.75878610
L?AA@BOTFOAwk_,5,5.80095693
L?AA@BOTFOAwL_,5,5.77756623
L?AA@BOTFODsN_,5,5.75202325
L?AA@BOTFOTQN_,5,5.75334263
L?AA@BOTFOTQJg,5,5.77623556
L?AA@BOTCoDOco,5,5.76500329
L?AA@BOTCoDOeo,5,5.76291253
L?AA@BOTCoDOBo,5,5.74507195
L?AA@BOTCoDOas,5,5.80878123
L?AA@BOTCo@oic,5,5.84845807
L?AA@BOTCoDoac,5,5.84219723
L?AA@BOTCoDoic,5,5.85198612
L?AA@BOTCoFoJg,5,5.81150029
L?AA@BOTCoFoic,5,5.81185697
L?AA@BOTCoFoIk,5,5.78878094
L?AA@BOTCoTQas,5,5.77859945
L?AA@BOTEoTOJg,5,5.78441959
L?AA@BOTEoTOas,5,5.74578530
L?AA@BOTEoVOIk,5,5.75664678
L?AA@BOTEoDoic,5,5.79756794
L?AA@BOTEoFoJg,5,5.76633348
L?AA@BOTEoFoic,5,5.75150739
L?AA@BOTEoTQas,5,5.74371582
L?AA@BOT@oDOUO,5,5.80180552
L?AA@BOT@oDOuO,5,5.80214543
L?AA@BOT@oDOao,5,5.78939872
L?AA@BOT@oDOBW,5,5.82536979
L?AA@BOT@oDOAw,5,5.80491913
L?AA@BOT@oDOBw,5,5.79720651
L?AA@BOT@oDOA[,5,5.78806161
L?AA@BOT@oDOA{,5,5.79920898
L?AA@BOT@oTOqO,5,5.78028040
L?AA@BOT@oTOeO,5,5.78088433
L?AA@BOT@oTOUO,5,5.77235429
L?AA@BOT@oTOuO,5,5.77537600
L?AA@BOT@oTORO,5,5.75872356
L?AA@BOT@oTOVO,5,5.75966175
L?AA@BOT@oTOJg,5,5.88120991
L?AA@BOT@oTOaS,5,5.80199104
L?AA@BOT@oTOas,5,5.77706331
L?AA@BOT@oTOA[,5,5.76579673
L?AA@BOT@oTOA{,5,5.77967373
L?AA@BOT@oXGm_,5,5.74256967
L?AA@BOT@oXGic,5,5.77478300
L?AA@BOT@oXGas,5,5.76537760
L?AA@BOT@oXGL`,5,5.77095742
L?AA@BOT@oZGic,5,5.76323713
L?AA@BOT@o@Wi_,5,5.80122053
L?AA@BOT@o@Wm_,5,5.74422266
L?AA@BOT@o@WqO,5,5.77168373
L?AA@BOT@o@WeO,5,5.79494617
L?AA@BOT@o@WuO,5,5.74004311
L?AA@BOT@o@Weo,5,5.75179311
L?AA@BOT@o@WIg,5,5.76748656
L?AA@BOT@o@WJg,5,5.78979085
L?AA@BOT@oPWe_,5,5.79723011
L?AA@BOT@oPWeO,5,5.79202559
L?AA@BOT@oPWeo,5,5.74352110
L?AA@BOT@oPWic,5,5.76564361
L?AA@BOT@oDsm_,5,5.84985458
L?AA@BOT@oDsic,5,5.84577723
L?AA@BOTDoUOuO,5,5.74427001
L?AA@BOTDoUOJg,5,5.79552861
L?AA@BOTDoTOUO,5,5.78026268
L?AA@BOTDoTOuO,5,5.77233415
L?AA@BOTDoTOVO,5,5.76258847
L?AA@BOTDoTOJg,5,5.85318698
L?AA@BOTDoTOas,5,5.76665062
L?AA@BOTDoTOA{,5,5.77304499
L?AA@BOTDoFOJg,5,5.83937300
L?AA@BOTDoVOJg,5,5.79831651
L?AA@BOTDoEoJg,5,5.80460923
L?AA@BOTDoEoic,5,5.85320313
L?AA@BOTDoEoIk,5,5.81022749
L?AA@BOTDoDoac,5,5.85423893
L?AA@BOTDoDoic,5,5.85212412
L?AA@BOTDoFoJg,5,5.79669910
L?AA@BOTDoBgBw,5,5.74629128
L?AA@BOTDoPWm_,5,5.74264307
L?AA@BOTDoPWic,5,5.76217836
L?AA@BOTDoTQN_,5,5.81402864
L?AA@BOTDoTQJg,5,5.81444398
L?AA@BOTDoTQas,5,5.74235934
L?AA@BOTDoDUN_,5,5.79791667
L?AA@BOTBoTOJg,5,5.81565062
L?AA@BOTBoVOJg,5,5.76558074
L?AA@BOTBoDsic,5,5.78426885
L?AA@BOTBoDUm_,5,5.76651235
L?AA@BOTFoDsN_,5,5.75256808
L?AA@BOTFoDsic,5,5.75489209
L?AA@BOTFoTQN_,5,5.74737960
L?AA@BOTFoDUm_,5,5.75402157
L?AA@BOTCc^?IM,5,5.76042545
L?AA@BOTCcD_qO,5,5.74012552
L?AA@BOTCcD_eO,5,5.74968536
L?AA@BOTCcD_UO,5,5.76350971
L?AA@BOTCcD_uO,5,5.74479030
L?AA@BOTCcD_RO,5,5.77573388
L?AA@BOTCcD_FO,5,5.76281260
L?AA@BOTCcD_VO,5,5.74791973
L?AA@BOTCcD_iC,5,5.79637492
L?AA@BOTCcD_ac,5,5.81168589
L?AA@BOTCcD_ic,5,5.82589805
L?AA@BOTCcD_QQ,5,5.77886300
L?AA@BOTCcD_RQ,5,5.76458643
L?AA@BOTCcL_Jg,5,5.81081535
L?AA@BOTCcL_ic,5,5.77071096
L?AA@BOTCcL_Ik,5,5.77615366
L?AA@BOTCcL_BY,5,5.74167569
L?AA@BOTCcF_RO,5,5.75263792
L?AA@BOTCcF_Jg,5,5.84830106
L?AA@BOTCcF_ic,5,5.79389574
L?AA@BOTCcF_Ik,5,5.80795242
L?AA@BOTCcF_IM,5,5.74548711
L?AA@BOTCcN_Jg,5,5.78244741
L?AA@BOTCcN_Ik,5,5.74282445
L?AA@BOTCc@oiC,5,5.78727282
L?AA@BOTCc@oic,5,5.79418831
L?AA@BOTCcDoiC,5,5.78779964
L?AA@BOTCcDoac,5,5.78860486
L?AA@BOTCcDoic,5,5.79924341
L?AA@BOTCcFoJg,5,5.82424539
L?AA@BOTCcTQ^?,5,5.74903107
L?AA@BOTCcTQN_,5,5.77079109
L?AA@BOT@c^?Jg,5,5.75725653
L?AA@BOT@cTOuO,5,5.74852799
L?AA@BOT@cTOco,5,5.78485864
L?AA@BOT@cTODo,5,5.80922791
L?AA@BOT@cTOJg,5,5.84772008
L?AA@BOT@cTOas,5,5.75757130
L?AA@BOT@cTOA[,5,5.77155049
