g6,alpha,theta_ub
L?AA@AWT@c\?QQ,5,5.77310161
L?AA@AWT@c\?qQ,5,5.75214696
L?AA@AWT@c\?aU,5,5.75280099
L?AA@AWT@cL_sO,5,5.74964120
L?AA@AWT@cL_aQ,5,5.75837157
L?AA@AWT@cL_QQ,5,5.76108389
L?AA@AWT@cL_qQ,5,5.75453132
L?AA@AWT@cL_aE,5,5.80401807
L?AA@AWT@cDoco,5,5.74842039
L?AA@AWT@cDoAs,5,5.75425985
L?AA@AWT@cDoas,5,5.75981784
L?AA@AWT@cDoqA,5,5.76578591
L?AA@AWT@cDoRA,5,5.74873580
L?AA@AWT@cDoaE,5,5.75141494
L?AA@AWT@cHG{?,5,5.78441817
L?AA@AWT@cHGy?,5,5.77065199
L?AA@AWT@cHG]?,5,5.81870314
L?AA@AWT@cHG}?,5,5.79141790
L?AA@AWT@cHGJ?,5,5.78037690
L?AA@AWT@cHGZ?,5,5.76297128
L?AA@AWT@cHGN?,5,5.81599648
L?AA@AWT@cHG^?,5,5.79384619
L?AA@AWT@cHGJ_,5,5.74641354
L?AA@AWT@cHGF_,5,5.79128415
L?AA@AWT@cHGN_,5,5.77353645
L?AA@AWT@cHGco,5,5.78815032
L?AA@AWT@cHGao,5,5.80104841
L?AA@AWT@cHGEo,5,5.78155195
L?AA@AWT@cHGeo,5,5.78768043
L?AA@AWT@cHGAs,5,5.76025729
L?AA@AWT@cHGas,5,5.78948840
L?AA@AWT@cXG{?,5,5.78262688
L?AA@AWT@cXG]?,5,5.81338758
L?AA@AWT@cXG}?,5,5.78041202
L?AA@AWT@cXG^?,5,5.78594845
L?AA@AWT@cXGN_,5,5.75876883
L?AA@AWT@cXGco,5,5.75019675
L?AA@AWT@cXGeo,5,5.74933140
L?AA@AWT@cXGas,5,5.76285451
L?AA@AWT@cHg{?,5,5.75560990
L?AA@AWT@cHg]?,5,5.79446434
L?AA@AWT@cHg}?,5,5.76663136
L?AA@AWT@cHgN?,5,5.79039221
L?AA@AWT@cHg^?,5,5.76316942
