g6,alpha,theta_ub
L?AA@BOuBWTOJg,5,5.82147351
L?AA@BOuBWFOJg,5,5.80041255
L?AAD@O\DcAwy?,5,5.80123653
L?AAD@O\DcAw^?,5,5.80216416
L?AAD@O\@LEoaF,5,5.80168239
L?AADBO]@[F_Bw,5,5.81232504
L?AADBO]?{F_Bw,5,5.82176677
L?AADBO]?{DoBg,5,5.80081835
L?AADBO]?uFOAw,5,5.80641584
L?AADBO]?]F_N_,5,5.81177061
L?AADBO]?]F_FO,5,5.83503653
L?AADBO]?]F_Fo,5,5.80999318
L?AAD?oqAgFODc,5,5.80944987
L?AAD?oqAgEoRO,5,5.80216136
L?AAD?oqAgEoia,5,5.80230198
L?AAD?oqAgBgDo,5,5.80357971
L?AAD?oq@gJGRW,5,5.80870391
L?AAD?oq@gBgBW,5,5.83294735
L?AAD?oq@gBgRW,5,5.83446980
L?AAD?oq@gJgRW,5,5.82214047
L?AAD?oq?wEoTO,5,5.80206041
L?AAD?oq?wEoVO,5,5.80626333
L?AAD?oq?wBoRO,5,5.80827441
L?AAD?oq?wJGHc,5,5.81925556
L?AAD?oq?wJGDs,5,5.80596431
L?AAD?oq?wIgi_,5,5.80234250
L?AAD?oq?wIgDc,5,5.80667737
L?AAD?oq?wHgLc,5,5.82400953
L?AAD?oq?wHgCs,5,5.82142850
L?AAD?oq?wHgDs,5,5.82093667
L?AAD?oq?wAwi_,5,5.81003990
L?AAD?oq?wAwm_,5,5.80218511
L?AAD?oq?wAwUO,5,5.81179896
L?AAD?oq?wAwRO,5,5.82164165
L?AAD?oq?wAwVO,5,5.80471524
L?AAD?oq?wHcLC,5,5.84685190
L?AAD?oq?wHcCs,5,5.81555150
L?AAD?oq?wHcDs,5,5.80172157
L?AAD?oq?w@kLC,5,5.84440930
L?AAD?oq?wEaRW,5,5.83934537
L?AAD?oq?wAqVO,5,5.81616491
L?AAD?oq?wAqRW,5,5.82092082
L?AAD?oq@wHgHc,5,5.80194461
L?AAD?oq@wHcLC,5,5.82381679
L?AAD?oq@w@kLC,5,5.80213245
L?AAD?oqDSBoDs,5,5.80228722
L?AAD?oqDSHgBw,5,5.81565051
L?AAD?oqDS@wRW,5,5.82121196
L?AAD?oqDSHcBw,5,5.82695523
L?AAD?oqDSHcHc,5,5.80951291
L?AAD?oqDS@sRW,5,5.84567552
L?AAD?oqDS@kHc,5,5.82538974
L?AAD?oqDS@[RW,5,5.84559625
L?AAD?oqDS@[Cs,5,5.83857341
