g6,alpha,theta_ub
L?AA@BOyCqDSeo,5,5.80213212
L?AA@BOyAiDcVO,5,5.80758295
L?AA@AWU@g@WF_,5,5.81634223
L?AA@AWU@gPWM_,5,5.81637950
L?AA@AWU@gPWF_,5,5.80788236
L?AA@AWU@gPPN_,5,5.83207826
L?AA@AWUBgIgab,5,5.80406935
L?AADBOTRgCsJg,5,5.81094281
L?AADBOTRgCsIk,5,5.80917293
L?AAD?oTFOEoac,5,5.80486553
L?AAD?oTFOHKDb,5,5.82001369
L?AAD?oTEo@kaK,5,5.85316393
L?AAD?oTDoDoDo,5,5.80700517
L?AAD?oTDoAwN_,5,5.80318567
L?AAD?oTDo@kaK,5,5.81604107
L?AAD?oTBoAwm_,5,5.81177509
L?AAD?oTBoXCRW,5,5.87610031
L?AAD?oTBWXCRW,5,5.84990217
L?AAD?oTDSHgN_,5,5.80215328
L?AAD?oTDSBgN_,5,5.80713845
L?AAD?oTDSBgBo,5,5.80323431
L?AAD?oTDSAwN?,5,5.82065479
L?AAD?oTDSAwAs,5,5.81100033
L?AAD?oT@sAw}?,5,5.80861105
L?AAD?oT@s@kN?,5,5.81891473
L?AAD?oT?k\?VO,5,5.80049500
L?AAD?oT?k\?ic,5,5.83039290
L?AAD?oT?k\?QQ,5,5.83875739
L?AAD?oT?k\?QY,5,5.80967115
L?AAD?oT?kZ?ic,5,5.80999289
L?AAD?oT?kV?aM,5,5.80142887
L?AAD?oT?kN?RW,5,5.80258581
L?AAD?oT?kN?ic,5,5.82080081
L?AAD?oT?kN?QY,5,5.80426645
L?AAD?oT?k^?ic,5,5.81766695
L?AAD?oT?kTA^?,5,5.80917965
L?AAD?oT?kTAA{,5,5.81025051
L?AAD?oT?kPQ}?,5,5.80205232
L?AAD?oT?kPQFo,5,5.81239729
L?AAD?oT?kPQBw,5,5.80947166
L?AAD?oT?kPQyA,5,5.80166258
L?AAD?oT?kDQ}?,5,5.81615501
L?AAD?oT?kDQBw,5,5.80170146
L?AAD?oT?kDQA{,5,5.84350762
L?AAD?oT?kTQyA,5,5.80700743
L?AAD?oT@kHKBo,5,5.81439408
L?AAD?oT?{TOVO,5,5.81031216
L?AAD?oTEPV?VO,5,5.83429061
L?AAD?oTEPV?RW,5,5.83670173
L?AAD?oTEPF_RW,5,5.83948870
L?AADAo]@sJGQW,5,5.80389048
L?AADAo]AYJ_m_,5,5.82405310
L?AADAo]?]J_RO,5,5.83351099
L?AADAo]?]J_VO,5,5.80070856
L?AAD?wTOmJ_yA,5,5.82279609
L?AAD@wVF_@wFo,5,5.81504215
L?AAF@SI_]TCZ?,5,5.82290368
L?AA@bGB`L\?Z?,5,5.81679098
L?AA@ag[?wPOBs,5,5.80379423
L?AA@ag[?wXGBS,5,5.80199105
L?AA@ag[CcHGAs,5,5.84798481
L?AA@ag[CcHGas,5,5.83434619
L?AA@ag[Cc@gZA,5,5.80311263
L?AA@ag[DcXGas,5,5.82744175
L?AA@ag[?kXGN?,5,5.81121300
L?AA@ag[?k@YM_,5,5.82363330
L?AA@ag[?kPHN?,5,5.80630895
L?AA@ag[?kPHk_,5,5.80631417
L?AA@ag[EQROas,5,5.80397362
L?AA@ag[?YJ_aS,5,5.82352602
L?AA@ag[?YJ_ga,5,5.81153532
L?AA@ag[?YQPZ@,5,5.80296701
L?AA@ag[CQj_RO,5,5.81013652
L?AA@aHiB_J_BQ,5,5.81890577
L?AA@aHiB_BODg,5,5.82391127
L?AA@aHiB_BOCk,5,5.84319449
L?AA@aHiB_AoN?,5,5.81189930
L?AA@aHiB_Ao^?,5,5.80026255
L?AA@aHiB_AoM_,5,5.81776316
L?AA@aHiB_@oN?,5,5.81162126
L?AA@aHiAoM_Dk,5,5.81153330
L?AA@aHiAoAo\?,5,5.82959005
L?AA@aHiAoAoN?,5,5.81272967
L?AA@aHiAoIaGi,5,5.81466054
L?AA@aHi@oI_L_,5,5.81590421
L?AA@aHi@oI_Hg,5,5.81947742
L?AA@aHi@oI_Dg,5,5.83216743
L?AA@aHi@oI_Lg,5,5.80605988
L?AA@aHi@oI_Dc,5,5.80075068
L?AA@aHi@oI_Ck,5,5.81866268
L?AA@aHi@oI_Dk,5,5.80314827
L?AA@aHiDoJ_TK,5,5.80061503
L?AA@aHiBGBON?,5,5.80579781
L?AA@aHiBGBOL_,5,5.81131127
L?AA@aHiBGAoU?,5,5.80239964
L?AA@aHiAgN?Kg,5,5.80605658
L?AA@aHiAgN?Dg,5,5.83272374
L?AA@aHiAgN?Ck,5,5.81554402
L?AA@aHiAgN?Dk,5,5.82573432
L?AA@aHiAgN?Gi,5,5.80245816
L?AA@aHiAgL_Ck,5,5.81638462
L?AA@aHiAgL_Dk,5,5.80122547
L?AA@aHiAgFON?,5,5.81803949
L?AA@aHiAgFODg,5,5.81083019
L?AA@aHiAgFOLg,5,5.80802163
L?AA@aHiAgEok_,5,5.80911531
L?AA@aHi@gH_k_,5,5.80678704
L?AA@aHi@gH_k@,5,5.81791865
L?AA@aHiBgN?Ck,5,5.82121423
L?AA@aHiBgN?Dk,5,5.82181307
L?AA@aHiBgL_Dk,5,5.80132634
L?AA@aHiAW]?TK,5,5.81900792
L?AA@aHiAWM_Ck,5,5.80335488
L?AA@aHiAWM_kA,5,5.82800212
L?AA@aHiAWKcBo,5,5.80932489
L?AA@aHiAWKckA,5,5.86155241
L?AA@aHiAWIa{?,5,5.80268887
L?AA@aHi@WI_M_,5,5.80337502
L?AA@aHi@WI_sA,5,5.80676086
L?AA@aHi?wM?BP,5,5.80964624
L?AA@aHiAYN?\G,5,5.80871840
L?AA@aHiAgn?RO,5,5.80216887
L?AADb_Y?wAoRO,5,5.80020883
L?AADb_Y?w@wN_,5,5.81813242
L?AADb_J?sN?Bo,5,5.84009888
L?AADb_J?sN?Bg,5,5.86873374
