g6,alpha,theta_ub
L?AAD@Oi@gBODo,5,5.82488591
L?AAD@Oi@gBODc,5,5.80396811
L?AAD@Oi@gAoAw,5,5.80019917
L?AAD@Oi@g@oFO,5,5.81466523
L?AAD@Oi@g@oDc,5,5.81213014
L?AAD@Oi@gBoDo,5,5.81642728
L?AAD@Oi@gJGAY,5,5.84084225
L?AAD@Oi@gBgAY,5,5.82677654
L?AAD@Oi@gAWk_,5,5.80226851
L?AAD@Oi@gAWM_,5,5.80757396
L?AAD@Oi@gAWHH,5,5.81888769
L?AAD@Oi@g@WJ_,5,5.81145589
L?AAD@Oi@gAwk_,5,5.82595553
L?AAD@Oi@gAwM_,5,5.83139484
L?AAD@Oi@gAwN_,5,5.80617366
L?AAD@Oi@gDcAY,5,5.80892855
L?AAD@Oi@g@kJG,5,5.81161427
L?AAD@Oi@g@LVO,5,5.82691143
L?AAD@OiBgCsDs,5,5.81796808
L?AAD@Oi@WBOFO,5,5.80720369
L?AAD@Oi@WBODo,5,5.81927648
L?AAD@Oi@WAoFO,5,5.80514908
L?AAD@Oi@WAoFo,5,5.80028113
L?AAD@Oi@WBoFO,5,5.81273345
L?AAD@Oi@WBGBo,5,5.81330204
L?AAD@Oi@WBGBW,5,5.84185864
L?AAD@Oi@WHgBw,5,5.83449523
L?AAD@Oi@WBgM_,5,5.80596583
L?AAD@Oi@WBgBo,5,5.82287882
L?AAD@Oi@WBgBW,5,5.82564357
L?AAD@OiBW@kUO,5,5.81230085
L?AAD@OiBW@kVO,5,5.80698096
L?AAD@OiBW@[RO,5,5.83399309
L?AAD@Oi?wFOEo,5,5.80863929
L?AAD@Oi?wFOFo,5,5.82346729
L?AAD@Oi?wFOBw,5,5.80292144
L?AAD@Oi?wFODs,5,5.81416686
L?AAD@Oi?wDoBo,5,5.83780368
L?AAD@Oi?wDoFo,5,5.80779186
L?AAD@Oi?wDoDs,5,5.80662837
L?AAD@Oi?wDcBW,5,5.81957978
L?AAD@OiAwDcBW,5,5.83329196
L?AAD@Oi@wFOVO,5,5.80641716
L?AAD@Oi@wHgk_,5,5.80461350
L?AAD@Oi@wHgJG,5,5.81690663
L?AAD@Oi@wAwFO,5,5.80943721
L?AAD@Oi@cJGCs,5,5.82775930
L?AAD@Oi@cJGAY,5,5.81335860
L?AAD@Oi@cAwN_,5,5.81586290
L?AAD@Oi@cHHDc,5,5.80237592
L?AAD@Oi@cHHCs,5,5.80131249
L?AAD@OiDcEoDs,5,5.81175654
L?AAD@OiDcJGCs,5,5.83116452
L?AAD@Oi?sF_VO,5,5.80455633
L?AAD@Oi?sEoDo,5,5.81923555
L?AAD@Oi?sJGAw,5,5.84536742
L?AAD@Oi?sBgN_,5,5.80163377
L?AAD@Oi?sAwN_,5,5.82778774
L?AAD@Oi?sAqN_,5,5.80067802
L?AAD@Oi@sJGCs,5,5.80850976
L?AAD@Oi@sBWCs,5,5.82213467
L?AAD@Oi@sAwN_,5,5.81079164
L?AAD@Oi?{FOVO,5,5.81118535
L?AAD@Oi?{FOFo,5,5.81255713
L?AAD@Oi?{FODs,5,5.81829641
L?AAD@OJFOJGHh,5,5.81324354
L?AAD@OJFOHgJg,5,5.80886135
L?AAD@OJFO@kUO,5,5.83297091
L?AAD@OJFO@kVO,5,5.81280606
L?AAD@OJEoTCVO,5,5.80193174
L?AAD@OJEoDcVO,5,5.82528977
L?AAD@OJEoCsk_,5,5.80004423
L?AAD@OJEoCsm_,5,5.80262178
L?AAD@OJEoCsN_,5,5.80141685
L?AAD@OJ@o@wi_,5,5.81123577
L?AAD@OJ@o@ki_,5,5.82375810
L?AAD@OJ@o@km_,5,5.80089159
L?AAD@OJ@o@kiG,5,5.81583833
L?AAD@OJDoHgk_,5,5.81627984
L?AAD@OJDoHgHg,5,5.80087152
L?AAD@OJDoBgJG,5,5.81138269
L?AAD@OJDo@wN_,5,5.80420613
L?AAD@OJDoDcVO,5,5.80968092
L?AAD@OJBo@sN_,5,5.81427427
L?AAD@OJBo@[N_,5,5.80110044
L?AAD@OJBgTCBW,5,5.86632673
L?AAD@OJBWTSBw,5,5.80663803
L?AAD@OJ@cZ?Hg,5,5.80344960
L?AAD@OJ@cV?Bw,5,5.80517536
L?AAD@OJ@cJ_ag,5,5.80285199
L?AAD@OJ@cJ_Ig,5,5.80625963
L?AAD@OJ@cJGi_,5,5.80411306
L?AAD@OJ@cHgm?,5,5.81213238
L?AAD@OJ@cHgm_,5,5.80404566
L?AAD@OJ@cBgi_,5,5.80925091
L?AAD@OJ@c@hL_,5,5.80330667
L?AAD@OJDcAwL_,5,5.80305622
L?AAD@OJ?s\?Do,5,5.82048106
L?AAD@OJ?sV?Bw,5,5.81965289
L?AAD@OJ?sM_ig,5,5.80993619
L?AAD@OJ@sV?Bw,5,5.82090774
L?AAD@OJ@sN?Bw,5,5.80606881
L?AAD@OJ@sM_ig,5,5.81399338
L?AAD@OJ@sJ_ig,5,5.82574764
L?AAD@OJ@sUOVO,5,5.81287836
L?AAD@OJ@sBgig,5,5.80482906
L?AAD?oZBoXCRW,5,5.81094298
L?AAD?oZBgXCRW,5,5.84166049
L?AAD@oi`sIg^?,5,5.80905609
L?AAD?WLB_PODo,5,5.82118029
L?AAD?WLB_POBo,5,5.83362197
L?AAD?WLB_POFo,5,5.80894646
L?AAD?WLB_@oaE,5,5.80346568
L?AAD?WLB_@oae,5,5.80765184
L?AAD?WLF_CsTO,5,5.84180404
L?AAD?WLDoBgXG,5,5.80027597
L?AAD?WLBGPOBo,5,5.82799584
L?AAD?WLBGPOFo,5,5.82590593
L?AAD?WLBGRODo,5,5.81863044
L?AAD?WLBGROFo,5,5.80663686
L?AAD?wTAwFoic,5,5.81144489
L?AAD?wTDcHg{?,5,5.81563015
L?AAD?wTDcHgy?,5,5.80313281
L?AAD?wTDcHgu?,5,5.82348523
L?AAD?wTDcHg}?,5,5.81283957
L?AAD?wTDcHgL_,5,5.83125910
L?AAD?wTDcHgN_,5,5.83286833
L?AAD?wTDcBgN_,5,5.80399671
L?AAD?wTDSEoVO,5,5.80247912
L?AAD?wTDSJGN_,5,5.80804261
L?AAD?wTDSHgu?,5,5.80901839
L?AAD?wTDSHgL_,5,5.80553652
L?AAD?wTDSHgN_,5,5.82203837
L?AAD?wTDSBgL_,5,5.81110532
L?AAD?wTDSBgN_,5,5.82553337
