g6,alpha,theta_ub
L?AA@AOQAgPOJg,5,5.81066368
L?AA@AOQAgTOBg,5,5.81790671
L?AA@AOQAgTOJg,5,5.81481773
L?AA@AOQAgROLc,5,5.80835515
L?AA@AOQ@gROBg,5,5.80075203
L?AA@AOQ@gIgDs,5,5.81135269
L?AA@AOQBgROLc,5,5.81009630
L?AA@AOQBgAqTO,5,5.80707257
L?AA@AOQ?wTOJg,5,5.81004913
L?AA@AOQ?wROJg,5,5.80479831
L?AA@AOQAwFoLc,5,5.81104905
L?AA@AOQAwAqN_,5,5.80991690
L?AA@AOQ@wROJg,5,5.81010505
L?AA@AOQ@wVOJg,5,5.80536185
L?AA@AOQ?{J_Lc,5,5.80781740
L?AA@AOQ?{N_Lc,5,5.81286420
L?AA@AOQ@{N_Lc,5,5.80804012
L?AA@BOLFOQWDq,5,5.81782953
L?AA@BOLFOAwco,5,5.83128922
L?AA@BOLEoTOJg,5,5.80248541
L?AA@BOLEoDoac,5,5.82308960
L?AA@BOLDoIgJG,5,5.81128210
L?AA@BOLDoIgqS,5,5.84391225
L?AA@BOLDoHgaS,5,5.81753967
L?AA@BOLDoHgqS,5,5.80905692
L?AA@BOLBoROJg,5,5.80566947
L?AA@BOLDcL_Bg,5,5.83744976
L?AA@BOLDcL_qC,5,5.80551807
L?AA@BOLDcIgJG,5,5.82606581
L?AA@BOLDcIgJg,5,5.82257016
L?AA@BOLDcIgRQ,5,5.82305766
L?AA@BOLDcIgBY,5,5.80517998
L?AA@BOLDcIgQU,5,5.83812677
L?AA@BOLDSN?Jg,5,5.83166751
L?AA@BOLDSIgk_,5,5.82043614
L?AA@BOL@[Igk_,5,5.81835279
L?AA@BOLCeAwBw,5,5.81218733
L?AA@BOLCeAwA{,5,5.82061733
L?AA@BOLCeAwYB,5,5.83092682
L?AA@BOL?UBoco,5,5.80368527
L?AA@BOL?UBoeo,5,5.80413534
L?AA@BOL?UQWk_,5,5.80067087
L?AA@BOL?UQWDo,5,5.82024169
L?AA@BOLCUAwco,5,5.80776610
L?AAD@ON@sM_ig,5,5.81331944
L?AAD@ON@[M_ig,5,5.81285886
L?AAD@ON@[M_Jg,5,5.80408052
L?AADBOJEoFOHg,5,5.83557579
L?AADBOJEoBoBg,5,5.81453724
L?AADBOJEoBgBW,5,5.80104988
L?AADBOJEo@sN_,5,5.81006606
L?AADBOJDcFOBw,5,5.81332534
L?AADBOJDcAwHg,5,5.80415492
L?AADBOJ?sV?Bw,5,5.83420418
L?AADBOJ?sN?Hg,5,5.81658116
L?AADBOJ?sN?Bg,5,5.84711888
L?AADBOJ?sN?Bw,5,5.80782948
L?AADBOJ?sUOBw,5,5.81974267
L?AADBOJ@kN?Bg,5,5.81895349
L?AADBOJ@[Hgy?,5,5.80278221
L?AADBOJ?{N?Hg,5,5.80521389
L?AADBOJ?{N?Bg,5,5.84439878
L?AADBOJ?{N?Bw,5,5.81158904
L?AADBOJ?{@w}?,5,5.80949023
L?AADBOJ?]N?N_,5,5.82421539
L?AADBOJ@THgy?,5,5.82711255
L?AADBOJ@LZ?N_,5,5.80344103
L?AADBOJ@LFO}?,5,5.81672746
L?AADBOJ@LJGRO,5,5.80276617
L?AADBOJ@LHgy?,5,5.85721306
L?AADBOJ?\N?N_,5,5.82748749
L?AADBOJ?\FOy?,5,5.80586417
L?AADBOJ?\FO}?,5,5.83418768
L?AADBOJ?\Fo}?,5,5.81967371
L?AADBOJ?VL_i_,5,5.82376147
L?AADBOJ?ecsk_,5,5.83338170
L?AAD?oUAWFOBw,5,5.80709090
