g6,alpha,theta_ub
L?AA@AOqAgDORG,5,5.80393929
L?AA@AOqAgDOZG,5,5.80728202
L?AA@AOqAgBOLc,5,5.81090670
L?AA@AOqAgROLc,5,5.84795946
L?AA@AOqAgFOLc,5,5.80343770
L?AA@AOqAgVOLc,5,5.81958963
L?AA@AOqAgAoZG,5,5.80729806
L?AA@AOqAgEoaa,5,5.80535373
L?AA@AOqAgEoia,5,5.81401765
L?AA@AOqAgHcLc,5,5.81913342
L?AA@AOqAgHcIi,5,5.80048673
L?AA@AOqAgLcLc,5,5.80821550
L?AA@AOq@gFORG,5,5.84169673
L?AA@AOq@gFOZG,5,5.83079405
L?AA@AOq@gFOAi,5,5.82695542
L?AA@AOq@gDoZG,5,5.81059408
L?AA@AOq@gDoaa,5,5.80091072
L?AA@AOq@gBoZG,5,5.82216467
L?AA@AOq@gFoZG,5,5.80927337
L?AA@AOq@gIgRW,5,5.81974295
L?AA@AOq@gBgRW,5,5.81624676
L?AA@AOq@gJgRW,5,5.81379408
L?AA@AOq@g@WF_,5,5.82101030
L?AA@AOq@gHce_,5,5.80296238
L?AA@AOq@gHcN_,5,5.82488031
L?AA@AOq@gHcTO,5,5.81481195
L?AA@AOq@gHcVO,5,5.81494136
L?AA@AOq@gHcDS,5,5.81316991
L?AA@AOq@gHcAi,5,5.81051881
L?AA@AOq@gDci_,5,5.81212359
L?AA@AOq@gDce_,5,5.81447546
L?AA@AOq@gDcm_,5,5.81172269
L?AA@AOq@gDcRW,5,5.80068662
L?AA@AOq@gDcaa,5,5.80002858
L?AA@AOq@g@kVO,5,5.81798492
L?AA@AOq@g@kJG,5,5.80286818
L?AA@AOq@g@kZG,5,5.80689662
L?AA@AOq@g@TZG,5,5.83275829
L?AA@AOqBgVOLc,5,5.80583703
L?AA@AOqBgEqZG,5,5.81168804
L?AA@AOq@WTORW,5,5.80906210
L?AA@AOq@WBODo,5,5.81748010
L?AA@AOq@WBODs,5,5.80454240
L?AA@AOq@WBoeo,5,5.80560338
L?AA@AOq@W@gi_,5,5.81346216
L?AA@AOq@WBgBW,5,5.80393718
L?AA@AOq@WPWBw,5,5.81217682
L?AA@AOqBWDSm_,5,5.81271698
L?AA@AOqBW@sm_,5,5.80203721
L?AA@AOq?wDOZG,5,5.80343832
L?AA@AOq?wFOZG,5,5.81386824
L?AA@AOq?wEoZG,5,5.85189490
L?AA@AOq?w@oZG,5,5.81466359
L?AA@AOq?wDoZG,5,5.80136018
L?AA@AOq?wBoZG,5,5.81131133
L?AA@AOq?wHcLc,5,5.83399881
L?AA@AOq?wDce_,5,5.81383167
L?AA@AOq?wDcm_,5,5.80185312
L?AA@AOq?wDcDs,5,5.80616546
L?AA@AOq?wEaRW,5,5.85112631
L?AA@AOq?wAqZG,5,5.84255206
L?AA@AOq?wEqZG,5,5.82828519
L?AA@AOq@wFOZG,5,5.82469796
L?AA@AOq@wEoZG,5,5.86355102
L?AA@AOq@wDoZG,5,5.80095520
L?AA@AOq@wBoZG,5,5.81143432
L?AA@AOq@wFoZG,5,5.80260966
L?AA@AOq@wHcN_,5,5.81423415
L?AA@AOq@wHcLc,5,5.84341554
L?AA@AOq@wDcm_,5,5.80674926
L?AA@AOq@wEqZG,5,5.83409024
L?AA@AOqDSM_Lc,5,5.81642662
L?AA@AOqDSDcRW,5,5.81121856
L?AA@AOqDSDcLc,5,5.81154790
L?AA@AOqDS@sRW,5,5.85004368
L?AA@AOqDS@kJg,5,5.80447879
L?AA@AOqDS@[RW,5,5.82374649
L?AA@AOqDSAqJg,5,5.80344451
L?AA@AOq?sM_Dc,5,5.80708542
L?AA@AOq?sM_Lc,5,5.81403927
L?AA@AOq?sL_Jg,5,5.83392911
L?AA@AOq?sL_Dc,5,5.81937841
L?AA@AOq?sL_Lc,5,5.82258142
L?AA@AOq?sF_ZG,5,5.82623045
L?AA@AOq?sEoDo,5,5.80926489
L?AA@AOq?sEoRG,5,5.81950347
L?AA@AOq?sEoZG,5,5.82236182
L?AA@AOq?sDoZG,5,5.87145092
L?AA@AOq?sBoZG,5,5.80172048
L?AA@AOq?sHcN_,5,5.80117587
L?AA@AOq?sHcJg,5,5.80421480
L?AA@AOq?sLcN_,5,5.80543873
L?AA@AOq?sDSZG,5,5.83402741
L?AA@AOq?s@sZG,5,5.80660243
L?AA@AOq?sDsZG,5,5.81280607
L?AA@AOqCsM_Lc,5,5.84621150
L?AA@AOqCsL_Jg,5,5.81800763
L?AA@AOqCsL_Lc,5,5.80664659
L?AA@AOqCsDoZG,5,5.84943831
L?AA@AOqCsDcN_,5,5.81424754
L?AA@AOqCsDSZG,5,5.84067125
L?AA@AOqCsDSLc,5,5.80853293
L?AA@AOqCs@sZG,5,5.80101054
L?AA@AOq@sM_Lc,5,5.80197041
L?AA@AOq@sL_Jg,5,5.82407363
L?AA@AOq@sL_Dc,5,5.82093733
L?AA@AOq@sL_Lc,5,5.82136271
L?AA@AOq@sEoRG,5,5.83214766
L?AA@AOq@sEoZG,5,5.82649322
L?AA@AOq@sBoZG,5,5.80677380
L?AA@AOq@sHcN_,5,5.81131603
L?AA@AOq@sHcJg,5,5.80848570
L?AA@AOq@sLcN_,5,5.80269085
L?AA@AOq@sDSZG,5,5.82134589
L?AA@AOq@sDsZG,5,5.80159670
L?AA@AOq?{L_Lc,5,5.80346306
L?AA@AOqAXM_Lc,5,5.83906877
L?AA@BODfOIgk_,5,5.84125150
L?AA@BODbgQWBg,5,5.86416830
L?AA@BODbgQWJg,5,5.84113854
L?AA@BODbgQWaq,5,5.86364948
L?AA@BODbgQWAy,5,5.85781864
L?AA@BODbgQWA],5,5.82649758
L?AA@BODbgQWAN,5,5.83777469
L?AA@BODbWUOTO,5,5.80858525
L?AA@BODbWQW\?,5,5.85934375
L?AA@?Ws@gUORP,5,5.80406240
L?AA@?Ws@gPOBo,5,5.81154780
L?AA@?Ws@gPOBS,5,5.80076966
L?AA@?Ws@gPOBs,5,5.80975903
L?AA@?Ws@gPOTP,5,5.80174940
L?AA@?Ws@g@Wm_,5,5.81133010
L?AA@?Ws@gPWm_,5,5.80392926
L?AA@?Ws@gPWBo,5,5.81508819
L?AA@?Ws@gPWBs,5,5.80121008
L?AA@?WsBgUOJc,5,5.84714608
L?AA@?WsBgVOJc,5,5.83630764
L?AA@?WsAWUOBc,5,5.86323305
L?AA@?WsAWUOJc,5,5.87327811
L?AA@?WsAWTOBc,5,5.84827566
L?AA@?WsAWTOJc,5,5.86204878
L?AA@?WsAWROJc,5,5.85095107
L?AA@?WsAW@qm_,5,5.83128805
L?AA@?WsAW@qka,5,5.83391169
L?AA@?WsAWDqm_,5,5.84633947
L?AA@?WsAWDqka,5,5.84596362
L?AA@?Ws@WUORO,5,5.80534862
L?AA@?Ws@WUORP,5,5.81782581
L?AA@?Ws@WTOTO,5,5.81676288
L?AA@?Ws@WTOTP,5,5.82593256
L?AA@?Ws@WROBs,5,5.80182390
L?AA@?Ws@WQWm_,5,5.81137704
