g6,alpha,theta_ub
L?AA@AOTFOEoic,5,5.80472459
L?AA@AOTFOBgZG,5,5.81085270
L?AA@AOTFOAwe_,5,5.81262863
L?AA@AOTFODcVO,5,5.81768317
L?AA@AOTFODcic,5,5.81783270
L?AA@AOTFODcA[,5,5.80719239
L?AA@AOTFODSZG,5,5.81528909
L?AA@AOTFODUZG,5,5.81304779
L?AA@AOTEoEoic,5,5.82463505
L?AA@AOTEoDoac,5,5.80387948
L?AA@AOTEoDoic,5,5.81346341
L?AA@AOTEoLCic,5,5.81937629
L?AA@AOTEoLCIk,5,5.80581039
L?AA@AOTEoDcic,5,5.81625404
L?AA@AOTDoEoJg,5,5.80403362
L?AA@AOTDoEoIk,5,5.81910119
L?AA@AOTDoFoJg,5,5.80143610
L?AA@AOTDoJGZG,5,5.80365222
L?AA@AOTDoBgZG,5,5.80526883
L?AA@AOTDoDcN_,5,5.80140363
L?AA@AOTDoDcVO,5,5.80626590
L?AA@AOTDoDSN_,5,5.82716183
L?AA@AOTDoDSZG,5,5.82655312
L?AA@AOTDoDUZG,5,5.80742923
L?AA@AOTBoTOeO,5,5.80133990
L?AA@AOTBoTOJg,5,5.81861530
L?AA@AOTBoFOIk,5,5.82115427
L?AA@AOTBoEoic,5,5.80132282
L?AA@AOTBoDoic,5,5.82429707
L?AA@AOTBoXGRW,5,5.81452131
L?AA@AOTBoDSm_,5,5.82314152
L?AA@AOTBoHKuO,5,5.80328574
L?AA@AOTBo@kIK,5,5.82049384
L?AA@AOTAwTOJg,5,5.81055659
L?AA@AOTAwFOIk,5,5.81330668
L?AA@AOT@wTOeO,5,5.80391782
L?AA@AOT@wTOJg,5,5.87113231
L?AA@AOT@wVOJg,5,5.84199358
L?AA@AOT@wTQJg,5,5.83993430
L?AA@AOTDSEoJg,5,5.83118229
L?AA@AOTDSDs^?,5,5.80618744
L?AA@AOTDSDsN_,5,5.80730994
L?AA@AOTCsL_Ig,5,5.82563549
L?AA@AOTCsF_Jg,5,5.84647069
L?AA@AOTCsF_Ik,5,5.84537058
L?AA@AOTCsEoJg,5,5.81517507
L?AA@AOTCsEoIk,5,5.82704604
L?AA@AOTCsDcL_,5,5.81151954
L?AA@AOTCsDcN_,5,5.81437315
L?AA@AOTCsDS^?,5,5.81143837
L?AA@AOTCsDSN_,5,5.81520993
L?AA@AOT@sN_Ik,5,5.80703871
L?AA@AOT?kT?ZG,5,5.80704864
L?AA@AOT?k\?JG,5,5.81484536
L?AA@AOT?k\?ZG,5,5.81129538
L?AA@AOT?kV?Ik,5,5.80502164
L?AA@AOT?kN?ic,5,5.80483365
L?AA@AOT?k^?ic,5,5.80026185
L?AA@AOT@kVOJg,5,5.80377540
