g6,alpha,theta_ub
L?AA@AODBOTOBg,5,5.80205208
L?AA@AODBOTOJg,5,5.80454084
L?AA@AODEoDoic,5,5.80604231
L?AA@AODEoLCJ_,5,5.80111295
L?AA@AWTF_TQN_,5,5.80350182
L?AA@AWTFOHgaS,5,5.80881067
L?AA@AWTBoEoic,5,5.82940030
L?AA@AWTBoBoic,5,5.80337550
L?AA@AWT@wYGJ`,5,5.80307196
L?AA@AWT@c]?aS,5,5.80361307
L?AA@AWT@cL_aE,5,5.80401807
L?AA@AWT@cHG]?,5,5.81870314
L?AA@AWT@cHGN?,5,5.81599648
L?AA@AWT@cHGao,5,5.80104841
L?AA@AWT@cXG]?,5,5.81338758
L?AA@AWTDcHg]?,5,5.80086520
L?AA@AWT@S]?As,5,5.80390119
L?AA@AWT@SN?as,5,5.80355086
L?AA@AWT@SN?sQ,5,5.80905352
L?AA@AWT@SL_cQ,5,5.80237648
L?AA@AWT@SF_as,5,5.80300465
L?AA@AWT@SF_sQ,5,5.83317160
L?AA@AWT@SEoaS,5,5.80245507
L?AA@AWT@SYG]?,5,5.81578544
L?AA@AWT@SYGN_,5,5.80227442
L?AA@AWT@SRGN?,5,5.81987927
L?AA@AWT@SJG]?,5,5.80042493
L?AA@AWT@SJGN?,5,5.80042633
L?AA@AWT@SJGeo,5,5.80752683
L?AA@AWT@SBgEo,5,5.81939904
L?AA@AWT@SY@N_,5,5.84393676
L?AA@AWTDSN?eO,5,5.80297221
L?AA@AWTDSN?as,5,5.81179013
L?AA@AWTDSJGeo,5,5.81159274
L?AA@AWT@sF_as,5,5.81053126
L?AA@AWT@k]?ic,5,5.84203819
L?AA@AWT@k\?ac,5,5.80364572
L?AA@AWT@k\?ic,5,5.80870160
L?AA@AWT@kZ?ic,5,5.81036761
L?AA@AWT@[]?ac,5,5.83543447
L?AA@AWT@[]?ic,5,5.83566855
L?AA@AWT@[Z?ic,5,5.81046833
L?AA@AWT@[N?ic,5,5.82993926
L?AA@AWT@[J_ic,5,5.81286327
L?AA@AWT?{]?ic,5,5.81463277
L?AA@AWT@S}?N_,5,5.82721261
L?AA@AWT@Sn?N_,5,5.80202887
L?AA@AWT@Seo}?,5,5.80950856
L?AAD@OZDcAw\?,5,5.81374972
L?AAD@OZDcAwL_,5,5.80264703
L?AADBOLBoBgBw,5,5.80189847
L?AADBOL@sIgHg,5,5.83490649
L?AADBOL?k\?TO,5,5.81396462
L?AADBOL?kTOTP,5,5.82175533
L?AADBOL?kHITO,5,5.82123448
L?AADBOL@[Igk_,5,5.80515520
L?AADBOL?{N?Bw,5,5.80449386
L?AADBOL?]N?FO,5,5.82648560
L?AAD?oyBgHKVO,5,5.82294430
L?AAD?oyBW@kTO,5,5.81017353
L?AAD?oy@wHKVO,5,5.80856991
L?AAD?oy@w@kVO,5,5.80404919
L?AAD?oy?{Aw^?,5,5.81878923
L?AAD?oy?{Awi_,5,5.81346838
L?AAD?oy?{Awm_,5,5.80276349
L?AAD?oy?yJ_Do,5,5.83182270
L?AAD?oyAXIg^?,5,5.81150302
L?AAD?oFFOIgM_,5,5.80441749
L?AAD?oFFOAwi_,5,5.80800600
L?AAD?oFFOAwm_,5,5.80463681
L?AAD?oFFOAwRO,5,5.80920659
L?AAD?oFAoTODo,5,5.80819469
L?AAD?oFAoAwm_,5,5.80410318
L?AAD?oFAo@we_,5,5.80843529
L?AAD?oFAo@wm_,5,5.81381819
L?AAD?oFAo@sM_,5,5.80294928
L?AAD?oFAo@[M_,5,5.80807426
L?AAD?oFEoHgL_,5,5.81378869
L?AAD?oFDo@kqG,5,5.83990175
L?AAD?oFBoAwRW,5,5.80717331
L?AAD?oFBo@wm_,5,5.80360821
L?AAD?oFBoXCRW,5,5.85338656
L?AAD?oFBo@kM_,5,5.82877728
L?AAD?oFBo@kL_,5,5.82259852
L?AAD?oFBo@kJ_,5,5.80361071
L?AAD?oFBo@kN_,5,5.80073238
L?AAD?oFAgPOEo,5,5.83816618
L?AAD?oFAgPODo,5,5.81996900
L?AAD?oFAgPOFo,5,5.83467240
