g6,alpha,theta_ub
L?AA@AOYAgTOBg,5,5.83407930
L?AA@AOYAgTOJg,5,5.82520636
L?AA@AOYAgRODc,5,5.81234849
L?AA@AOYAgFOIi,5,5.80468314
L?AA@AOYAgEoIa,5,5.80661832
L?AA@AOYAgPGBW,5,5.82877307
L?AA@AOYAgPGRW,5,5.81972084
L?AA@AOYAgXGRW,5,5.80395276
L?AA@AOYAgBGDo,5,5.80151361
L?AA@AOYAgBGAY,5,5.80970960
L?AA@AOYAgRGQW,5,5.81182257
L?AA@AOYAgRGBW,5,5.81398852
L?AA@AOYAwTOJg,5,5.81944976
L?AA@AOYAwRGRW,5,5.82099028
L?AA@AOY@SI_Dc,5,5.81680038
L?AA@AOY@SJ_TQ,5,5.80173557
L?AA@AOY@SBGQW,5,5.81117043
L?AA@AOYDSM_Jg,5,5.82109820
L?AA@AOYDSHKeo,5,5.80024654
L?AA@AOYCsDS^?,5,5.82111091
L?AA@AOYCsDSuO,5,5.81623693
L?AA@AOYCs@s\?,5,5.80077381
L?AA@AOYCs@s^?,5,5.80285309
L?AA@AOYCs@sN_,5,5.82661591
L?AA@AOYCsDsN_,5,5.81271959
L?AA@AOY?kM_QQ,5,5.80110422
L?AA@AOY?kTOJg,5,5.81540976
L?AA@AOY?kROJg,5,5.80993944
L?AA@AOY?kVOJg,5,5.80425958
L?AA@AOY?kBgV?,5,5.81323607
L?AA@AOY?{F_Ds,5,5.81689723
L?AA@AOY?{ROJg,5,5.81821827
L?AA@AOY?{VOJg,5,5.81801532
L?AA@AOY?UTORW,5,5.85605958
L?AA@AOYCUDSuO,5,5.84352748
L?AA@AOY?km_m_,5,5.81424861
L?AA@AOY?kj_N_,5,5.80839510
L?AA@AOY?ktOJg,5,5.82187110
L?AA@AOY?kfO^?,5,5.80548282
L?AA@AOY?kbo^?,5,5.81855610
L?AA@BOZBgTOJg,5,5.80859518
L?AA@BOZ@wUOJg,5,5.80533127
L?AA@BOZ@sUOJg,5,5.83839781
L?AA@AW{?{@wM_,5,5.82546777
L?AA@AW{?]FOJ_,5,5.80040380
L?AA@AW{?]FOEo,5,5.81258504
L?AA@AW{?]BWk_,5,5.80841968
L?AA@AW{?]BWm_,5,5.80464282
L?AA@AWVBoIgi`,5,5.80823293
L?AAD@Om@[F_Bw,5,5.80184941
L?AAD@Om@[FOBw,5,5.82857173
L?AAD@Om?{FOBw,5,5.82365381
L?AAD?o]BgXCRW,5,5.81736372
L?AAD?o]?{J_Bw,5,5.80506547
L?AADAoy@sBoDs,5,5.81086625
L?AAD@ou?]BoV?,5,5.81278211
L?AAD@oBhwM_Fo,5,5.80684796
L?AAD?We@gIgHc,5,5.81351662
L?AAD?We@gHgHK,5,5.82284015
L?AAD?We@gHgXK,5,5.81036130
L?AAD?We@gBgXK,5,5.81225324
L?AAD?We@gJgXK,5,5.80214391
L?AAD?WeBgHgXK,5,5.81764902
L?AAD?WeBgBgXK,5,5.81862014
L?AAD?WeBgKeVO,5,5.81096576
L?AAD?WeAiF_XK,5,5.80479448
L?AAD?WeAiKe^?,5,5.80584637
L?AAD?We@HM_FO,5,5.83375943
L?AAD?We@HM_VO,5,5.83653109
L?AAD?WeBHM_VO,5,5.82746217
L?AAD?WeBHIg^?,5,5.82359391
L?AAD@WKdoN_RS,5,5.81452798
L?AAD@WKbW]?RS,5,5.80590999
L?AAD@WKbWV?RS,5,5.82488541
L?AAD@WK`wTOVO,5,5.80233435
L?AAD@WK`wFORS,5,5.83460900
L?AAD@WK`wHgm?,5,5.84344703
L?AAD@WK`wHgm_,5,5.83834716
L?AAD@WK`sN_RS,5,5.80047379
L?AAD@WK_{FORS,5,5.81436040
L?AAD@WK_{EoRS,5,5.81551791
L?AAD@WKaiTO\?,5,5.81713628
L?AAD@WKaiTO^?,5,5.82435712
L?AAD@WKaYV?\?,5,5.81123936
L?AAD@WKaYV?^?,5,5.82512995
L?AAD@WKaYL_m_,5,5.81174155
L?AAD@WKaYTO^?,5,5.81572820
L?AAD@WKaYRO^?,5,5.80209976
L?AAD@WKaYVO^?,5,5.81080437
L?AAD@WKaYBoe_,5,5.80380436
L?AAD@WKaYBom_,5,5.80709836
L?AAD@WK_u]?QS,5,5.83504207
L?AAD@WK_m\?N_,5,5.80285897
L?AAD@WKaWf_M_,5,5.83437210
L?AAD@WKaWf_m_,5,5.80407182
L?AAD@WKaWfOF_,5,5.81050106
L?AAD@WKaQv?Eo,5,5.82147259
L?AAD@WKaQf_m?,5,5.80476572
L?AAD@WKaQfOF_,5,5.82161978
L?AAD@WKaQfOEo,5,5.81375739
L?AAD@WKaQeoFo,5,5.80171123
L?AAD@WK_Yv?^?,5,5.80534116
L?AAD@WK_Yf_m?,5,5.80879299
L?AAD@WK_Yf_M_,5,5.82290966
L?AAD@WK_YfOF_,5,5.80586888
L?AAD?s[EoHgaK,5,5.81255595
L?AAD?s[CSAwk_,5,5.82475109
L?AAD?s[?sN_Bs,5,5.81134139
L?AAD?s[?sAwy?,5,5.82722148
L?AAD?s[?s@wy?,5,5.81430928
L?AAD?s[?s@wm?,5,5.82380810
L?AAD?s[?s@w}?,5,5.82118497
L?AAD?s[?s@i^?,5,5.80359940
L?AAD?s[?s@Y^?,5,5.82472463
L?AAD?s[?k\?FO,5,5.80229565
L?AAD?s[?k\?Fo,5,5.80464743
L?AAD?s[?UBom?,5,5.81611438
L?AAD?s[?UBo}?,5,5.81354155
L?AAD?s[?UAwk_,5,5.82924299
L?AAD?s[?uJ_Bs,5,5.81146585
L?AAD?s[?]Bom?,5,5.82495462
L?AAD?s[?]Bo}?,5,5.81561289
L?AA@agTBoFOas,5,5.80654433
L?AA@agTBoVOas,5,5.80568960
L?AA@agT@wFOas,5,5.82301241
L?AA@agTCs]?as,5,5.80014796
L?AA@agTCsN?as,5,5.81556884
L?AA@agTCsF_as,5,5.80061919
L?AA@agT@kFOas,5,5.81595864
L?AA@agTAY]?aS,5,5.83892871
L?AA@agTAYV?aS,5,5.80943694
L?AA@agTCUN?e_,5,5.82120658
L?AA@agTCUN?m_,5,5.80974746
L?AA@agTCUF_e_,5,5.80794081
L?AA@agTCUEoM_,5,5.81978933
L?AA@agTDOhg^?,5,5.80695170
L?AA@agTDCj_N_,5,5.82174822
L?AA@agTCQn?RO,5,5.85729970
L?AA@agTCQf_M_,5,5.82480859
L?AA@agTCQf_RO,5,5.82392013
L?AA@agTCQeok_,5,5.81336640
L?AA@agTCQhg^?,5,5.81964808
L?AA@agT?U}?m_,5,5.80921001
L?AA@agT?Un?M_,5,5.80664476
L?AA@agT?Un?m_,5,5.80232690
L?AA@agT?Uf_M_,5,5.81509682
L?AA@agT?UfOL_,5,5.81138927
L?AA@aHw@oJ_BS,5,5.84249093
L?AA@aHw@oBOXG,5,5.81321000
L?AA@aHw@oBOBs,5,5.80899478
L?AA@aHw@oBOHH,5,5.80447828
L?AA@aHw@oAo\?,5,5.80304323
L?AA@aHw@oHg\G,5,5.80928801
L?AA@aHw@oIcRO,5,5.85656763
L?AA@aHw@oIcBS,5,5.83799673
L?AA@aHwBGB_BS,5,5.82497770
L?AA@aHwBGJ_BS,5,5.84096904
L?AA@aHwBGAoca,5,5.85709395
L?AA@aHwBGAsca,5,5.86628562
L?AA@aHwAgF?Dg,5,5.80182290
L?AA@aHwAgF?Dc,5,5.80266556
