g6,alpha,theta_ub
L?AA@BORDOBOBg,5,5.82473881
L?AA@BORDOBOJg,5,5.82037951
L?AA@BORDOFOBg,5,5.83418536
L?AA@BORDOFOJg,5,5.81716930
L?AA@BORDOVOJg,5,5.82786318
L?AA@BORDODocc,5,5.83807593
L?AA@BORDODoKc,5,5.84418084
L?AA@BORDODokc,5,5.83857694
L?AA@BORDODoTA,5,5.82217180
L?AA@BORDOBGCq,5,5.81258726
L?AA@BORDOIgJg,5,5.80198367
L?AA@BORDOIgCu,5,5.80112100
L?AA@BORDO@sm_,5,5.83986287
L?AA@BORDO@sqO,5,5.81058251
L?AA@BORDO@scc,5,5.82755645
L?AA@BORDO@skc,5,5.82377638
L?AA@BORDO@sTA,5,5.82906207
L?AA@BORDOEQJg,5,5.80570366
L?AA@BORDOUQJg,5,5.81669747
L?AA@BORFOUOJg,5,5.80897310
L?AA@BORFOEokc,5,5.80981886
L?AA@BORFODokc,5,5.82057266
L?AA@BOREoTOJg,5,5.83599720
L?AA@BOREoFOJg,5,5.80680576
L?AA@BOREoEocc,5,5.80024683
L?AA@BOREoEokc,5,5.81084430
L?AA@BOREoDokc,5,5.80462564
L?AA@BOR@oUOBg,5,5.88353682
L?AA@BOR@oUOJg,5,5.88534135
L?AA@BOR@oTOJg,5,5.85831299
L?AA@BOR@oROJg,5,5.85063223
L?AA@BOR@o@sm_,5,5.84940474
L?AA@BOR@o@sUO,5,5.80337313
L?AA@BOR@o@scc,5,5.84628496
L?AA@BOR@o@skc,5,5.85099812
L?AA@BOR@oDsm_,5,5.84761591
L?AA@BOR@oDskc,5,5.85448157
L?AA@BORDoTOJg,5,5.84979513
L?AA@BORDoDsm_,5,5.80021826
L?AA@BORBoUOJg,5,5.85157396
L?AA@BORBoTOJg,5,5.84836042
L?AA@BORBoROJg,5,5.81657459
L?AA@BORBoDSm_,5,5.84012856
L?AA@BORBoDSkc,5,5.84733349
L?AA@BORBoDsm_,5,5.81108946
L?AA@BORBoDskc,5,5.82351426
L?AA@BORCcF?Bg,5,5.87728947
L?AA@BORCcF?Jg,5,5.88174218
L?AA@BORCcE_qO,5,5.81301931
L?AA@BORCcE_TO,5,5.80154587
L?AA@BORCcE_Do,5,5.80566440
L?AA@BORCcE_Bg,5,5.84348856
L?AA@BORCcE_Jg,5,5.84536149
L?AA@BORCcE_q@,5,5.81820018
L?AA@BORCcM_Jg,5,5.82615733
L?AA@BORCcF_Jg,5,5.82096251
L?AA@BORCcFOJg,5,5.85463655
L?AA@BORCcEoBg,5,5.81036355
L?AA@BORCcEoJg,5,5.81312287
L?AA@BORCcDs^?,5,5.80085158
L?AA@BORCcDsm_,5,5.80039719
L?AA@BOR@c\?Jg,5,5.82098866
L?AA@BOR@cZ?Jg,5,5.82141634
L?AA@BOR@cV?Bg,5,5.84867477
L?AA@BOR@cV?Jg,5,5.84786790
L?AA@BOR@cN?qQ,5,5.80206043
L?AA@BOR@c^?Jg,5,5.81877629
L?AA@BOR@cM_Cs,5,5.81548558
L?AA@BOR@cM_cs,5,5.82051176
