g6,alpha,theta_ub
L?AADAoLAoIgi_,5,5.80915352
L?AADAoLAoHgM_,5,5.81615106
L?AADAoLAoHgm_,5,5.80129183
L?AADAoLAoHgBw,5,5.80515607
L?AADAoLAoHgA{,5,5.80511953
L?AADAoLAo@WF_,5,5.82777670
L?AADAoLAo@WFO,5,5.83356382
L?AADAoLAo@wFO,5,5.82612197
L?AADAoLBo@wF_,5,5.82794369
L?AADAoLBoHIVO,5,5.81128404
L?AADAoLAWBOTO,5,5.80660919
L?AADAoLAWBOFO,5,5.82233556
L?AADAoLAWBOVO,5,5.80660296
L?AADAoLAWBOBo,5,5.81250065
L?AADAoLAWJGqC,5,5.80840158
L?AADAoLAWIgi_,5,5.80112930
L?AADAoLAWAXTO,5,5.84101861
L?AADAoLAwHgm_,5,5.80450173
L?AADAoLAaH_Do,5,5.81185930
L?AADAoLAaH_qC,5,5.80973466
L?AADAoLAa@oFO,5,5.81698383
L?AADAoLAa@oDo,5,5.84439267
L?AAD@oTFOBgDo,5,5.81837558
L?AAD@oTFOBgA[,5,5.84923191
L?AAD@oTDoTOVO,5,5.80349499
L?AAD@oTDoDoac,5,5.80372764
L?AAD@oTDcAwZ?,5,5.83803380
L?AAD@oTDcAwBw,5,5.84758287
L?AAD@oTDcAwak,5,5.84879882
L?AAD@oTDcAwAN,5,5.83320433
L?AAD@oTDSBgm?,5,5.81364000
L?AAD@oTDSAwm?,5,5.80156049
L?AAD@oTDSAw]?,5,5.80241573
L?AAD@oTDSAwk_,5,5.84963549
L?AAD@oT?s\?Do,5,5.82691170
L?AAD@oT?sN_Bw,5,5.80373110
L?AAD@oT?sUOA{,5,5.80234712
L?AAD@oT?sTODo,5,5.81580340
L?AAD@oT?sPSDo,5,5.80192248
L?AAD@oT?s@s^?,5,5.80176786
L?AAD@oT?s@[^?,5,5.81922666
L?AAD@oT?s@[k_,5,5.82535929
L?AAD@oTCsF_ic,5,5.81011019
L?AAD@oT@[UODo,5,5.82781866
L?AAD?W[AWUOBo,5,5.82995431
L?AAD?W[AWUOFo,5,5.80231418
L?AAD?W[AWUOBc,5,5.81298693
L?AAD?W[AWUOAs,5,5.82202820
L?AAD?W[AWUOBs,5,5.80175577
L?AAD?W[AWROBc,5,5.81041780
L?AAD?W[AWROBs,5,5.80373711
L?AAD?W[AWFOBc,5,5.81925313
L?AAD?W[AWFOAs,5,5.82694691
L?AAD?W[AWFOBs,5,5.81282458
L?AAD?W[AW@qca,5,5.80877621
L?AAD?W[AW@Yka,5,5.81266759
L?AAD?W[AwROFo,5,5.80222664
L?AAD?W[AwFOBs,5,5.80284789
L?AAD?W[@SJ_Bc,5,5.82984660
L?AAD?W[@SJ_As,5,5.83272013
L?AAD?W[@SJ_Bs,5,5.81801774
L?AAD?W[@SJGBc,5,5.82029076
L?AAD?W[@SJGAs,5,5.85234039
L?AAD?W[@SJGBs,5,5.80799537
L?AAD?W[@SIgBc,5,5.81736983
L?AAD?W[@SIgAs,5,5.82337416
L?AAD?W[@SIgBs,5,5.80321027
L?AAD?W[@SHgBc,5,5.80255018
L?AAD?W[@SHgAs,5,5.80331231
L?AAD?W[@S@q^?,5,5.80127406
L?AAD?W[@S@qTA,5,5.80650666
L?AAD?W[@S@qSQ,5,5.83469022
L?AAD?W[@S@qSR,5,5.81619761
L?AAD?W[@S@i^?,5,5.80058349
L?AAD?W[@S@Y^?,5,5.80071331
L?AAD?W[@S@YSQ,5,5.85057179
L?AAD?W[@S@YTQ,5,5.80500207
L?AAD?W[DSIgAs,5,5.80680424
L?AAD?W[@sJGAs,5,5.83395652
L?AAD?W[?kH_c`,5,5.82838439
L?AAD?W[?kH_k`,5,5.81797423
L?AAD?W[?kTOTO,5,5.81221196
L?AAD?W[?[M_ac,5,5.80218678
L?AAD?W[?[UORO,5,5.82605407
L?AAD?W[?[UORP,5,5.81019809
L?AAD?W[?[TOTO,5,5.81804214
L?AAD?W[?[TOTP,5,5.80174289
L?AAD?W[AYUOAs,5,5.81056968
L?AAD?W[?uTOTO,5,5.81199611
L?AAD?W[?]F_k_,5,5.80296835
L?AAD?W[?Ykc^?,5,5.82201022
L?AAD?W[?UtOTB,5,5.81250133
L?AAD?W[?UjGm_,5,5.84339188
L?AAD?W[?Uigi`,5,5.80371949
L?AAD?W[?Uhgk`,5,5.80590031
L?AAD?smF_BoBq,5,5.80292378
L?AAD?smFOBoDq,5,5.81458192
L?AAD?smFOAwN_,5,5.80893015
L?AAD?smBoIgi`,5,5.81202481
L?AAFBOMBgDoBw,5,5.80458725
L?AAFBOM@KAw\?,5,5.80436828
L?AAFBOM@K@s\?,5,5.82676034
L?AAFBOM@K@s^?,5,5.82682773
L?AAFBOM?[M_FO,5,5.81487946
L?AAFBOM?[M_Fo,5,5.81043731
L?AAFBOM?[L_FO,5,5.80123594
