g6,alpha,theta_ub
L?AA@?Oq@WROFo,5,5.80312859
L?AA@?Oq@wTOVO,5,5.80074893
L?AA@?Oq@wHgm_,5,5.80696525
L?AA@?Oq?[L_eo,5,5.83198591
L?AA@?Oq?[N_eo,5,5.82527643
L?AA@?Oq@[J_ig,5,5.84497355
L?AA@?Oq@[N_ig,5,5.83877886
L?AA@AOyAwJGZG,5,5.81362776
L?AA@AOyAwIgZG,5,5.85282658
L?AA@AOyAwBgZG,5,5.80965197
L?AA@AOy@sL_Jg,5,5.82653642
L?AA@AOy@sEoZG,5,5.81761685
L?AA@AOy@[FOZG,5,5.86099298
L?AA@AOy@[EoZG,5,5.82201196
L?AA@AOy?{FOZG,5,5.80707203
L?AA@AOy?{EoZG,5,5.80383608
L?AA@AOy?{DoZG,5,5.80508541
L?AA@AOFBOTOJg,5,5.81313354
L?AA@AOFBOROJg,5,5.82171082
L?AA@AOFBOVOJg,5,5.81479858
L?AA@AOFBOAwN_,5,5.80737561
L?AA@AOFFOEoZG,5,5.84739012
L?AA@AOFFOBoZG,5,5.81906671
L?AA@AOFFOFoZG,5,5.80270794
L?AA@AOFFOHcuO,5,5.80600527
L?AA@AOFAoDOBw,5,5.80415939
L?AA@AOFAoTOJg,5,5.83562542
L?AA@AOFAoVOJg,5,5.81125679
L?AA@AOFAoDoBw,5,5.80104157
L?AA@AOFAoDSe_,5,5.81194913
L?AA@AOFAoDSm_,5,5.81991340
L?AA@AOFAo@sm_,5,5.81733626
L?AA@AOFEoDce_,5,5.81322054
L?AA@AOFEoDcm_,5,5.80098523
L?AA@AOFBoTOJg,5,5.82169276
L?AA@AOFBoROJg,5,5.80453135
L?AA@AOFBoVOJg,5,5.80083185
L?AA@AOFBoDSm_,5,5.80664784
L?AA@AOFBo@sm_,5,5.80162944
L?AA@AOFAgPOJg,5,5.86498161
L?AA@AOFAgDOao,5,5.80185566
L?AA@AOFAgDOeo,5,5.80607704
L?AA@AOFAgTOJg,5,5.86826575
L?AA@AOFAgVOJg,5,5.83587328
L?AA@AOFAgTPJg,5,5.83819745
L?AA@AOFBgROJg,5,5.82955086
L?AA@AOFBgVOJg,5,5.82750243
L?AA@AOFAwVOJg,5,5.80000286
L?AA@BOFbgUOJg,5,5.81482099
L?AA@BOBloL_m_,5,5.80120216
L?AA@BOBloTO^?,5,5.81822888
L?AA@BOBjgUON_,5,5.81840429
L?AADBOQPoD_J_,5,5.81925632
L?AADBOQPoD_Hg,5,5.83628730
L?AADBOQPoD_Bg,5,5.81234654
L?AADBOQPoD_Hc,5,5.82469236
L?AADBOQPoD_HK,5,5.87030781
L?AADBOQPoD_Hk,5,5.81429278
L?AADBOQPoB_k_,5,5.80819868
L?AADBOQPoB_Bg,5,5.81147199
L?AADBOQPoB_Bw,5,5.80150967
L?AADBOQPoB_HK,5,5.84949799
L?AADBOQPoF_HK,5,5.83037459
L?AADBOQPoCoN?,5,5.81369897
L?AADBOQPgF?Hc,5,5.80538297
L?AADBOQPgF?HK,5,5.83775050
L?AADBOQPgV?HK,5,5.80647330
L?AADBOQPgD_HK,5,5.80842352
L?AADBOQPgF_HK,5,5.80906117
L?AADBOQRgF_HK,5,5.82145120
L?AAD@oBeoBgV?,5,5.81775938
L?AAD@oBeoBgN?,5,5.81136364
L?AAD@oBdoBgV?,5,5.81939786
L?AAD@oBdoBgN?,5,5.81823964
L?AAD@oBdoAwN?,5,5.83139408
L?AAD@oBdoAwM_,5,5.83000033
L?AAD@oBaw\?Fo,5,5.81987495
L?AAD@oBawZ?Fo,5,5.80068633
L?AAD@oBawBg}?,5,5.81427697
L?AAD@oBawAw}?,5,5.81481200
L?AAD@oBawBw}?,5,5.80025256
L?AAD@oB`w\?Fo,5,5.83416546
L?AAD@oB`wZ?Fo,5,5.81188960
L?AAD@oB`wV?Fo,5,5.81483706
L?AAD@oB`w^?Fo,5,5.81569432
L?AAD@oBdSHgy?,5,5.80013181
L?AAD?WU@c@oHk,5,5.80849016
L?AAD@WkdoM_RS,5,5.80120605
L?AAD@WkdoL_RS,5,5.82344517
L?AAD@WkdoF_RS,5,5.82057514
L?AAD@WkdoN_RS,5,5.80801434
L?AAD@WkdoHg^?,5,5.82644120
L?AAF@Sg`oJ_iG,5,5.80898420
L?AAF@Sg`oAw\?,5,5.81804883
L?AAF@SgboAwk_,5,5.81386651
L?AAF@Sg_wUODo,5,5.82426443
L?AAF@Sg_sM_Do,5,5.81273725
L?AAF@Sg_mM_m_,5,5.80335734
L?AAF@Sg_mM_yA,5,5.80355590
L?AA@bGXFO@was,5,5.80333288
L?AA@bGX@oROHg,5,5.80169794
L?AA@bGX@oQQL_,5,5.80998363
L?AA@bGXBW@was,5,5.81501452
L?AA@bGXCcF?Hg,5,5.81869732
L?AA@bGXCcF?Lg,5,5.80641411
L?AA@bGX?sEoac,5,5.81045576
L?AA@bGX?sAsac,5,5.80135888
L?AA@bGX?kUOwA,5,5.84210810
L?AA@bGX?kQQ{?,5,5.85880545
L?AA@bGX?kQQwA,5,5.84628512
L?AA@bGX?[\?ac,5,5.82330158
L?AA@bGX?[\?as,5,5.81731876
L?AA@bGX?[PWHg,5,5.80942081
L?AA@bGX?[PQZ?,5,5.83834553
L?AA@bGX?[PQHg,5,5.80003521
L?AA@bGX?lQQ{?,5,5.86128072
L?AA@bGXCc}?Lg,5,5.84542854
L?AA@bGXCceo{?,5,5.84291511
L?AA@agLE_@oac,5,5.80403830
L?AA@agLE_@WJ_,5,5.81013013
L?AA@agLAoHgaS,5,5.81260468
L?AA@agLAoHgqS,5,5.80666607
L?AA@agLAWUOqC,5,5.80374444
L?AA@agLAWXGkA,5,5.82667860
L?AA@agLAWXAga,5,5.80973760
L?AA@agLAWPIkA,5,5.80855747
L?AA@agLAQJ_ga,5,5.80808914
L?AA@aHJAg\?Dg,5,5.80194353
L?AA@aHJAgTOL_,5,5.81164793
L?AA@aHJAgTON_,5,5.80380269
L?AA@aHJBg\?sC,5,5.80422134
L?AA@aHJAYTOHg,5,5.84046766
L?AA@aHJBHYA}?,5,5.80585182
L?AA@aHJAhTON_,5,5.80738731
L?AA@aHJAhEoia,5,5.80375677
L?AADb_T@SAogc,5,5.81104940
L?AADb_T?s@s^?,5,5.80373957
L?AADb_T?lUOFg,5,5.80384895
L?AEBAo]AwBoBw,5,5.83326676
L?AEBAo]Aw@wF_,5,5.85091197
L?AEBAo]Aw@wFo,5,5.80576351
L?AEBAo]@wBoFo,5,5.80606927
L?AEBAo]@wBoBw,5,5.85123841
L?AEBAo]@wBgBW,5,5.80880137
L?AEBAo]@w@wF_,5,5.87380376
L?AEBAo]@w@wN_,5,5.81240352
L?AEBAo]@w@wEo,5,5.81198930
L?AEBAo]@w@wDo,5,5.82058407
L?AEBAo]@w@wFo,5,5.82047700
L?AEB?Wk@[M_Bs,5,5.81029839
L?AEB?Wk?]M_J_,5,5.81781461
L?AEB?Wk?]M_N_,5,5.80213759
L?AEB?Wk?Um_N_,5,5.80706054
L?AEB?WXF_@wJ_,5,5.81304338
L?AEB?WXF_@wN_,5,5.80178143
L?AEB?wDvON_Fo,5,5.80775881
