g6,alpha,theta_ub
L?AA@BOJEoEocc,5,5.81346292
L?AA@BOJDoFOBw,5,5.80071967
L?AA@BOJCsN?cs,5,5.80009399
L?AA@BOJCsF_cc,5,5.82958844
L?AA@BOJ?{N?Bw,5,5.80615120
L?AA@BOJCU\?Bw,5,5.81223978
L?AA@BOJ?V\?i_,5,5.80182122
L?AA@BOJ?V\?qO,5,5.81937711
L?AA@BOJ?VHgqO,5,5.81150402
L?AA@BOBdoFOuO,5,5.80500838
L?AA@BOBdoBWe_,5,5.80237341
L?AA@AW[AwHgk`,5,5.80045798
L?AA@AW[DcXGas,5,5.87678481
L?AA@AW[DSXGas,5,5.85717245
L?AA@AW[DSIgV?,5,5.80616907
L?AA@AW[@sEoas,5,5.80230209
L?AA@AW[@sEoaT,5,5.80001840
L?AA@AW[@sDosP,5,5.80030669
L?AA@AW[@sYGas,5,5.86100052
L?AA@AW[@sXGas,5,5.85231755
L?AA@AW[@sJGas,5,5.83568191
L?AA@AW[@sPYuO,5,5.82859635
L?AA@AW[@[YGN?,5,5.80907268
L?AA@AW[@[YGM_,5,5.80588278
L?AA@AW[?{L_Bc,5,5.80018373
L?AA@AW[?UJ_F_,5,5.80746538
L?AA@AW[?UJ_UO,5,5.80427386
L?AA@AW[?UJ_FO,5,5.83509327
L?AA@AW[?UEoM_,5,5.81406004
L?AA@AW[?]BoN?,5,5.81413106
L?AA@AW[?]BoM_,5,5.82129417
L?AA@AW[?]BWM_,5,5.81464664
L?AA@AW[?]BWm_,5,5.80850249
L?AA@AW[?UuOuO,5,5.85310145
L?AA@AW[?UfOuO,5,5.83466833
L?AA@AW[?UvOuO,5,5.82768024
L?AA@AW[?UeoM_,5,5.81278863
L?AA@AWFB_@WM_,5,5.80291450
L?AA@AWFBoUORP,5,5.80173865
L?AAD@OM@gPODo,5,5.80809022
L?AAD@OM@gPOBo,5,5.81379036
L?AAD@OM@g@oai,5,5.81757275
L?AAD@OM@gTCDo,5,5.81776053
L?AAD@OM@g@kiG,5,5.81008814
L?AAD@OM@g@kaI,5,5.80371820
L?AAD@OM?wUOFo,5,5.81238589
L?AAD@OM?wUOBw,5,5.81869165
L?AAD@OM?wTOEo,5,5.82260150
L?AAD@OM?wTODo,5,5.84964917
L?AAD@OM?wTOFo,5,5.83350363
L?AAD@OM?wTOBw,5,5.82909232
L?AAD@OM?wVOBw,5,5.80423344
L?AAD@OM?wTCEo,5,5.80721499
L?AAD@OM?wTCFo,5,5.82250785
L?AAD@OM?wTCBw,5,5.81462367
L?AAD@OM?wPSEo,5,5.80059474
L?AAD@OM?wPSDo,5,5.81708788
L?AAD@OM?wPSFo,5,5.80769595
L?AAD@OM?wPSBW,5,5.82951394
L?AAD@OM?wPSBw,5,5.81613619
L?AAD@OMAwFoig,5,5.80335402
L?AAD@OMAwPSN_,5,5.80500564
L?AAD@OM@w@kk_,5,5.80029568
L?AAD@OM@KM_ig,5,5.81027556
L?AAD@OM@KJ_iG,5,5.80621616
L?AAD@OM@KJ_JG,5,5.80187858
L?AAD@OM@KJ_Ig,5,5.82658206
L?AAD@OM@KJ_ig,5,5.80119515
L?AAD@OM@KJ_Jg,5,5.81244622
L?AAD@OM@KEoUQ,5,5.80367066
L?AAD@OM@KDoUQ,5,5.80858686
L?AAD@OM@KJGk_,5,5.80374957
L?AAD@OM@KJGi_,5,5.80646489
L?AAD@OM@KJGIg,5,5.80385126
L?AAD@OM@KJGJg,5,5.80020778
L?AAD@OM@KHgk_,5,5.80273945
L?AAD@OM@KBgi_,5,5.80588806
L?AAD@OM@KAwk_,5,5.82092315
L?AAD@OM@KAwi_,5,5.80628585
L?AAD@OM@KPS\?,5,5.81055665
L?AAD@OM@K@s\?,5,5.81847827
L?AAD@OM@K@kk_,5,5.80010096
L?AAD@OM?[M_ig,5,5.81859177
L?AAD@OM?[M_Hg,5,5.81741272
L?AAD@OM?[M_Jg,5,5.81326143
L?AAD@OM?[J_JG,5,5.80098862
L?AAD@OM?[J_ig,5,5.83103324
L?AAD@OM?[J_Jg,5,5.82130125
L?AAD@OM?[N_Jg,5,5.80034892
L?AAD@OM?[JGHg,5,5.83951550
L?AAD@OM?[JGJg,5,5.80848493
L?AAD@OM?[JGHh,5,5.80345097
L?AAD@OM@[M_ig,5,5.81474627
