g6,alpha,theta_ub
L?AADBOMAwHgBw,5,5.80196984
L?AADBOMDSJ_TO,5,5.81192244
L?AADBOMDSJGAw,5,5.84396619
L?AADBOMCsDoBw,5,5.80213254
L?AADBOMCsJGAw,5,5.82351757
L?AADBOM@sJGAw,5,5.81416377
L?AADBOM?[M_FO,5,5.81598287
L?AADBOM?[M_Do,5,5.80131991
L?AADBOM?[M_Fo,5,5.80867006
L?AADBOM?[J_RO,5,5.80951402
L?AADBOM?[J_FO,5,5.83345268
L?AADBOM?[J_Fo,5,5.82010704
L?AADBOM?[N_Fo,5,5.80426015
L?AADBOM@[L_Bg,5,5.80263738
L?AADBOM@[@w^?,5,5.80375624
L?AADBOM@[@wi_,5,5.80624931
L?AADBOM@[@wm_,5,5.80937516
L?AADBOM@[@{m_,5,5.81387203
L?AADBOM?{@w^?,5,5.83129107
L?AADBOM?{@we_,5,5.82122282
L?AADBOM?{@wm_,5,5.81977360
L?AADBOM?{@{m_,5,5.81403292
L?AADBOM?yJ_Aw,5,5.81623104
L?AADBOM?yJ_Bw,5,5.80915221
L?AADBOM?]J_RO,5,5.80548738
L?AADBOM?]J_FO,5,5.83782119
L?AADBOM?]Bg^?,5,5.81874136
L?AADBOIeoBWAw,5,5.81403227
L?AADBOIdoJ_TS,5,5.80051745
L?AADBOIdoF_Bw,5,5.81230558
L?AADBOIdoBoAw,5,5.80251608
L?AADBOIdoBoBw,5,5.83075689
L?AADBOIdoFoBw,5,5.81504894
L?AADBOIdo@wN_,5,5.82095364
L?AADBOIdo@kN_,5,5.80704954
L?AADBOIbo@wN_,5,5.80918872
L?AADBOI`w@wm?,5,5.83411831
L?AADBOI`w@wk_,5,5.80413387
L?AADBOIdcBoBw,5,5.81414844
L?AADBOIdcAwTS,5,5.82134023
L?AADBOIdc@kN_,5,5.80273027
L?AADBOIcsJGAw,5,5.81912265
L?AADBOIaqN?Aw,5,5.81213253
L?AADBOIageoHg,5,5.82076656
L?AADBOIagcsk_,5,5.82491912
L?AAD?oLAo@oQW,5,5.81630890
L?AAD?oLAo@oRW,5,5.80195675
L?AAD?oLAoXCRW,5,5.84219429
L?AAD?oLAoHcaK,5,5.82928492
L?AAD?oLAoHcqK,5,5.81838934
L?AAD?oLAo@SF_,5,5.80118814
L?AAD?oLAo@SFo,5,5.80207292
L?AAD?oLAo@kF_,5,5.81610483
L?AAD?oLAo@kaK,5,5.82477948
L?AAD?oLAo@kqK,5,5.83010418
L?AAD?oLAo@[Fo,5,5.80488476
L?AAD?oLAo@[RW,5,5.80042643
L?AAD?oLAoXERW,5,5.81531752
L?AAD?oLEoHgqK,5,5.82172966
L?AAD?oLEoXCVO,5,5.80531090
L?AAD?oLEoHKVO,5,5.84324233
L?AAD?oLEoHMVO,5,5.80966598
L?AAD?oLAwHcqK,5,5.82984006
L?AAD?oLAwHKM_,5,5.80747101
L?AAD?oLAwHKBo,5,5.81886105
L?AAD?oLAw@[Eo,5,5.80155017
L?AAD?oLAw@[Fo,5,5.80033528
L?AAD?oLAwXERW,5,5.80853857
L?AAD?oLAq^?qK,5,5.80337352
L?AAD?oLAqHM}?,5,5.80019097
L?AAD?oLAY^?qK,5,5.81069627
L?AAD?oL?yZ?Q[,5,5.81435199
L?AAD?oL?yHK}?,5,5.81974960
L?AAD@oKagHgBw,5,5.81066827
L?AAD@oKag@wRS,5,5.80861207
L?AAD@oKagBwBw,5,5.80154705
L?AAD@oKaWTOTO,5,5.80150838
L?AAD@oK_w^?RS,5,5.80041987
L?AAD@oK_wIgi_,5,5.82059869
L?AAD@oK_wHgu?,5,5.80282228
L?AAD@oK_wHgm?,5,5.82624216
L?AAD@oK_wHgi_,5,5.80252979
L?AAD@oK_wHgm_,5,5.81082329
L?AAD@oK_w@k\?,5,5.81837014
L?AAD@oK_YJ_u?,5,5.80957318
L?AAD@oK_YJ_m?,5,5.82978922
