g6,alpha,theta_ub
L?AA@BOTDOEOJG,5,5.82826969
L?AA@BOTDOEOJg,5,5.83765779
L?AA@BOTDOEOaS,5,5.80482539
L?AA@BOTDOUOJg,5,5.81415537
L?AA@BOTDOFOJG,5,5.84144248
L?AA@BOTDOFOJg,5,5.83973391
L?AA@BOTDOFODa,5,5.83143208
L?AA@BOTDOEoJG,5,5.80555370
L?AA@BOTDOEoJg,5,5.82577114
L?AA@BOTDODoDa,5,5.80947069
L?AA@BOTDOBoJg,5,5.82974375
L?AA@BOTDOBGJG,5,5.84109098
L?AA@BOTDOBGA[,5,5.82902950
L?AA@BOTDO@gJG,5,5.81604593
L?AA@BOTDOHgaS,5,5.81359048
L?AA@BOTDOBgaS,5,5.80140220
L?AA@BOTDOAWk_,5,5.82853014
L?AA@BOTDOAWe_,5,5.81585812
L?AA@BOTDO@WeO,5,5.80248888
L?AA@BOTDOAwk_,5,5.81130081
L?AA@BOTDODcm_,5,5.83222498
L?AA@BOTDODcN_,5,5.80535812
L?AA@BOTDODcaS,5,5.80496332
L?AA@BOTDODsm_,5,5.81573451
L?AA@BOTDODsN_,5,5.81575256
L?AA@BOTDOAXk_,5,5.83063728
L?AA@BOTFOTOJg,5,5.80749688
L?AA@BOTFOEoic,5,5.80692004
L?AA@BOTFODoic,5,5.81603331
L?AA@BOTFOAwk_,5,5.80095693
L?AA@BOTCoDOas,5,5.80878123
L?AA@BOTCo@oic,5,5.84845807
L?AA@BOTCoDoac,5,5.84219723
L?AA@BOTCoDoic,5,5.85198612
L?AA@BOTCoFoJg,5,5.81150029
L?AA@BOTCoFoic,5,5.81185697
L?AA@BOT@oDOUO,5,5.80180552
L?AA@BOT@oDOuO,5,5.80214543
L?AA@BOT@oDOBW,5,5.82536979
L?AA@BOT@oDOAw,5,5.80491913
L?AA@BOT@oTOJg,5,5.88120991
L?AA@BOT@oTOaS,5,5.80199104
L?AA@BOT@o@Wi_,5,5.80122053
L?AA@BOT@oDsm_,5,5.84985458
L?AA@BOT@oDsic,5,5.84577723
L?AA@BOTDoTOJg,5,5.85318698
L?AA@BOTDoFOJg,5,5.83937300
L?AA@BOTDoEoJg,5,5.80460923
L?AA@BOTDoEoic,5,5.85320313
L?AA@BOTDoEoIk,5,5.81022749
L?AA@BOTDoDoac,5,5.85423893
L?AA@BOTDoDoic,5,5.85212412
