g6,alpha,theta_ub
L?AA@AOUAgPOJg,5,5.81634470
L?AA@AOUAgTOBg,5,5.82446012
L?AA@AOUAgTOJg,5,5.82702629
L?AA@AOUAg@oia,5,5.82332944
L?AA@AOUAgDoia,5,5.82864547
L?AA@AOU@gPOBg,5,5.83746773
L?AA@AOU@gPOJg,5,5.82998675
L?AA@AOU@gPOQI,5,5.81881469
L?AA@AOU@gTOBg,5,5.81991867
L?AA@AOU@gTOJg,5,5.81187363
L?AA@AOU@g@oRO,5,5.80333119
L?AA@AOU@g@oao,5,5.80805627
L?AA@AOU@g@oaa,5,5.83146619
L?AA@AOU@gDoaa,5,5.82747150
L?AA@AOU@gDoQI,5,5.82174024
L?AA@AOU@g@WF_,5,5.81109337
L?AA@AOU@g@WFO,5,5.81030287
L?AA@AOU@gPPN_,5,5.80006088
L?AA@AOU@gHDJg,5,5.80833128
L?AA@AOUAWDOeo,5,5.80441331
L?AA@AOUAWTOJg,5,5.87257793
L?AA@AOUAWROJg,5,5.84046070
L?AA@AOUAWVOJg,5,5.84611636
L?AA@AOU@WTOTO,5,5.81880712
L?AA@AOU@WTOTP,5,5.82143957
L?AA@AOU@WBoeo,5,5.81143856
L?AA@AOU@WBWF_,5,5.82525774
L?AA@AOU@WAwF_,5,5.81546553
L?AA@AOUBWROJg,5,5.84709303
L?AA@AOUBW@sm_,5,5.83516216
L?AA@AOUBWDsm_,5,5.83504514
L?AA@AOU@wTOJg,5,5.82650799
L?AA@AOU@wROJg,5,5.81245838
L?AA@AOU@wVOJg,5,5.80507626
L?AA@AOU@wEoRW,5,5.80141776
L?AA@AOU@wEoQX,5,5.81124224
L?AA@AOU@wDSm_,5,5.80587878
L?AA@AOU@w@sm_,5,5.80902221
L?AA@AOU@SL_DQ,5,5.80628104
L?AA@AOU@SL_TQ,5,5.82207000
L?AA@AOU@SF_VO,5,5.80415111
L?AA@AOU@SF_TQ,5,5.81810208
L?AA@AOU@SEoTA,5,5.81715929
L?AA@AOU@SIg^?,5,5.80079612
L?AA@AOU@S@gN?,5,5.82381665
L?AA@AOU@S@gN_,5,5.80096550
L?AA@AOU@SHgZ?,5,5.80725980
L?AA@AOU@SLCeo,5,5.82377726
L?AA@AOU@SI`N_,5,5.82340260
L?AA@AOUDSM_Jg,5,5.81072639
L?AA@AOUDSL_Jg,5,5.86662277
L?AA@AOUDSJ_Jg,5,5.81589955
L?AA@AOUDSLCJg,5,5.82856242
L?AA@AOUDSHcJg,5,5.81289003
L?AA@AOUDS@s\?,5,5.81117933
L?AA@AOUDS@s^?,5,5.80316010
L?AA@AOUDSDs^?,5,5.80148317
L?AA@AOUDSDsZG,5,5.80965362
L?AA@AOU?kD_Eo,5,5.80883337
L?AA@AOU?kDOQI,5,5.81402928
L?AA@AOU?kDOYI,5,5.81223398
L?AA@AOU?kDoQI,5,5.81654795
L?AA@AOU?kDoYI,5,5.82558772
L?AA@AOU?kBoYI,5,5.80271919
L?AA@AOU?kFoYI,5,5.80269723
L?AA@AOU?k@sYI,5,5.81198042
L?AA@AOU?kHDN_,5,5.80231861
L?AA@AOU?[L_eo,5,5.82329502
L?AA@AOU?[L_Fo,5,5.81272740
L?AA@AOU?[F_FO,5,5.80795371
L?AA@AOU?[TOTO,5,5.80577166
L?AA@AOU?[TOZG,5,5.81989714
L?AA@AOU?[ROZG,5,5.83293001
L?AA@AOU?[VOZG,5,5.81938152
L?AA@AOU@[TOZG,5,5.83577061
L?AA@AOU@[ROZG,5,5.84051770
L?AA@AOU@[LCm_,5,5.82770865
L?AA@AOU@[Hcm_,5,5.83652001
L?AA@AOU@[Lcm_,5,5.82462875
L?AA@AOUBPROJg,5,5.82088279
L?AA@AOUBP@sm_,5,5.81032830
L?AA@AOUBPDsm_,5,5.80306594
L?AA@AOUAXDSm_,5,5.85399911
L?AA@AOU@XRON_,5,5.81791369
L?AA@AOU@XBom_,5,5.80324121
L?AA@AOU@XFom_,5,5.80428832
L?AA@AOU@TM_m_,5,5.81539583
L?AA@AOU@TL_m_,5,5.86276879
L?AA@AOU@TJ_m_,5,5.81465897
L?AA@AOU@TN_m_,5,5.80259377
L?AA@AOU@TRO^?,5,5.80317703
L?AA@AOU@TROZG,5,5.85179247
L?AA@AOU@TLcm_,5,5.83995357
L?AA@BOiBgFOJg,5,5.82390744
L?AA@BOiBgJGTS,5,5.80826998
L?AA@BOi?wBOTC,5,5.83736389
L?AA@BOi?wFOTC,5,5.83592991
L?AA@BOi?wEoTC,5,5.80953253
L?AA@BOi?wDoTC,5,5.86998055
L?AA@BOi?wBoTO,5,5.80516122
L?AA@BOi?wBoTC,5,5.80467027
L?AA@BOi?wDcuO,5,5.80255375
L?AA@BOi?wDcVO,5,5.80483106
L?AA@BOi?wDcTS,5,5.84402219
L?AA@BOi?w@sTC,5,5.84399531
L?AA@BOi?w@sTS,5,5.80465530
L?AA@BOi@cH_Bg,5,5.84986409
L?AA@BOi@cH_Jg,5,5.82190001
L?AA@BOi@cL_Jg,5,5.80893454
L?AA@BOi@cB_TC,5,5.83023539
L?AA@BOi@c@oTC,5,5.85057482
L?AA@BOi@cBoTC,5,5.85110804
L?AA@BOi@cIgCs,5,5.83683320
L?AA@BOi@cIgDs,5,5.84111387
L?AA@BOi@c@s\?,5,5.81988581
L?AA@BOi@c@sTC,5,5.81854905
L?AA@BOi@cIaN_,5,5.84248929
L?AA@BOi@cIaJG,5,5.80562769
L?AA@BOi@cIaJg,5,5.81646041
L?AA@BOiDcIgDs,5,5.81462834
L?AA@BOiDcAwTS,5,5.81800483
L?AA@BOi?sM_JG,5,5.82878745
L?AA@BOi?sM_Bg,5,5.82794445
