g6,alpha,theta_ub
L?AA@BOVDoFOJg,5,5.80434964
L?AA@BOVBoUOJg,5,5.80184178
L?AA@BOVBoTOJg,5,5.80359075
L?AA@BOVBgUOJg,5,5.80049766
L?AA@BOV@wUOJg,5,5.80699959
L?AA@BOV@sUOJg,5,5.81870104
L?AADBOY@gBODo,5,5.80871359
L?AADBOY@gBOBo,5,5.82403343
L?AADBOY@gAoBg,5,5.80390712
L?AADBOY@g@oFO,5,5.81539229
L?AADBOY@g@oFo,5,5.81083421
L?AADBOY@gBoDo,5,5.81780061
L?AADBOY@gBGHH,5,5.81151046
L?AADBOY@gIgHg,5,5.82583500
L?AADBOY@WBODo,5,5.80233622
L?AADBOY@WBOBo,5,5.82769606
L?AADBOY@WBOBg,5,5.81261265
L?AADBOY@WAoBo,5,5.82360056
L?AADBOY@WAoBg,5,5.80160168
L?AADBOY@W@oFO,5,5.80435500
L?AADBOY@W@oFo,5,5.80000635
L?AADBOY@WBoBg,5,5.80390526
L?AADBOY@WAgBo,5,5.80409818
L?AADBOY@WAgBg,5,5.80873812
L?AADBOY@WAgAh,5,5.80082103
L?AADBOY@WBgDS,5,5.82252313
L?AADBOY@WAWBg,5,5.80963707
L?AADBOY@W@wi_,5,5.81166206
L?AADBOY@W@wM_,5,5.81207336
L?AADBOY@W@wN_,5,5.81122762
L?AADBOY@W@wFO,5,5.80680565
L?AADBOYBWBgDS,5,5.81247283
L?AADBOYBWAiVO,5,5.80268661
L?AADBOY?wDoBo,5,5.82428215
L?AADBOY?wDoBg,5,5.82341251
L?AADBOY?wAwN_,5,5.80133000
L?AADBOY?w@wN_,5,5.82525612
L?AADBOY?w@wVO,5,5.80053128
L?AADBOY?wDcDS,5,5.82978204
L?AADBOYAwBgBw,5,5.80108307
L?AADBOY@wAwFO,5,5.80680336
L?AADBOY@cB_Bo,5,5.81167958
L?AADBOY@cB_RQ,5,5.80303288
L?AADBOY@cAwTO,5,5.80751068
L?AADBOY@cAYTO,5,5.83330898
L?AADBOY@cAYIg,5,5.83729212
L?AADBOY@cAYQQ,5,5.80284683
L?AADBOYDcIgDs,5,5.80117177
L?AADBOY@SB_Bo,5,5.82262939
L?AADBOY@SB_Bg,5,5.81492176
L?AADBOY@SAoBo,5,5.80497656
L?AADBOY@SBWCs,5,5.80013499
L?AADBOY@S@wN?,5,5.81254637
L?AADBOY@S@[cc,5,5.81788641
L?AADBOY?sDoBo,5,5.80931760
L?AADBOY?sDoBg,5,5.81409348
L?AADBOY?s@wN_,5,5.81232172
L?AADBOY?sAYIg,5,5.83504389
L?AADBOY@KB_Bo,5,5.80703564
L?AADBOY@KB_Bg,5,5.80490194
L?AADBOY@KAoTO,5,5.81420547
L?AADBOY@K@oQQ,5,5.85196782
L?AADBOY@KAg\?,5,5.82160567
L?AADBOY@KAgk_,5,5.80505811
L?AADBOY@K@gN?,5,5.81058803
L?AADBOY@K@gi_,5,5.80924145
L?AADBOY@K@gUO,5,5.80592339
L?AADBOY@K@gEQ,5,5.80038859
L?AADBOY@K@gUQ,5,5.80877313
L?AADBOY@K@wQQ,5,5.83334647
L?AADBOY?{F_Bg,5,5.83087644
L?AADBOY?{FOBg,5,5.81673038
L?AADAoUBgHgBw,5,5.80983118
L?AADAoU@wIgi_,5,5.82960868
L?AADAoU@wHgi_,5,5.82626854
L?AADAoU@wHge_,5,5.82112088
L?AADAoU@wHgm_,5,5.82217293
L?AADAoU@wHgAw,5,5.80974470
L?AADAoU@wBgBw,5,5.80520844
L?AADAoUDSJGAw,5,5.82844789
L?AADAoUDSIg\?,5,5.81248596
L?AADAoUDSIgZ?,5,5.80483955
L?AADAoUDSIg^?,5,5.81150910
L?AADAoUDSHg^?,5,5.80492958
L?AADAoU@sJGAw,5,5.81290560
L?AADAoU@sHgZ?,5,5.81583386
L?AADAoU@sHgN?,5,5.84122280
L?AADAoU@sHg^?,5,5.81194855
L?AADAoU?[M_RO,5,5.81454412
L?AADAoU?[M_FO,5,5.82706108
L?AADAoU?[M_Fo,5,5.80046986
L?AADAoU?[F_RO,5,5.81811608
L?AADAoU?[F_FO,5,5.82521124
L?AADAoU?[F_Eo,5,5.80713622
L?AADAoU?[F_Fo,5,5.82405988
L?AADAoU?[FOFo,5,5.80563833
L?AADAoU?[FORG,5,5.81324355
L?AADAoU?[FORW,5,5.81195529
L?AADAoU?[DoRO,5,5.80332543
L?AADAoU?{@wN?,5,5.84784449
L?AADAoU?{@w^?,5,5.82061536
L?AADAoU?{@wM_,5,5.83708073
L?AADAoUAYL_m_,5,5.80536028
L?AADAoU?yM_Bw,5,5.82036212
L?AADAoU?]M_FO,5,5.83250891
L?AADAoU?]F_RO,5,5.80692347
L?AADAoU?]F_FO,5,5.83114663
L?AADAoU?]Bg^?,5,5.82180412
L?AADAoUARFOEo,5,5.80170924
L?AADAoU@Kig\?,5,5.82286270
L?AAD@omBWHgk`,5,5.80098534
L?AAD@omBWBgBW,5,5.80232227
L?AAD@om@wBoBw,5,5.81815364
L?AAD@om@wIgi`,5,5.80407028
L?AAD@om@w@wFO,5,5.81544944
L?AAD@om@w@kFO,5,5.82348207
L?AAD@omDcJ_RQ,5,5.82254835
L?AAD@omDSJ_TQ,5,5.82503609
L?AAD@omDSIg^?,5,5.80550992
L?AAD@omCsBoBw,5,5.81235727
L?AAD@om@sBoBw,5,5.84007410
L?AAD@om@s@wFo,5,5.80044239
L?AAD@om?]BoN?,5,5.84650768
L?AAD@om?]Boe_,5,5.82124077
L?AAD@om?]BoM_,5,5.84994161
L?AAD@om?]BoN_,5,5.80963722
L?AAD@oJ`s@s}?,5,5.80482682
L?AAF@ck?wBOcg,5,5.82011345
L?AAF@ck?sAoeG,5,5.80344718
L?AAF@ck?sAocg,5,5.85439601
L?AAF@ck?sEoDo,5,5.82151682
L?AAF@ck?sEocg,5,5.83208819
L?AAF@ck?sEoCw,5,5.82220362
L?AAF@ck?sBocg,5,5.80153725
L?AAF@ckCsAwL_,5,5.81499396
L?AAF@ck@sAwcg,5,5.81610383
L?AAF@ck@kBoCw,5,5.80805032
L?AAF@ck@kAweg,5,5.81722977
L?AA@_oyEQJ_RW,5,5.81766897
L?AA@_gsAgPOBc,5,5.82172443
L?AA@_gsAgPOJc,5,5.80910685
L?AA@_gsAgTOHc,5,5.81817150
L?AA@_gsAgTOJc,5,5.80735827
L?AA@_gsAWUOHc,5,5.81910035
L?AA@_gsAWUOBc,5,5.81715665
L?AA@_gsAWUOJc,5,5.80884796
L?AA@_gsAWTOBc,5,5.80801429
L?AA@_gsAWCqga,5,5.80264638
L?AA@_gsAW@qga,5,5.81567115
L?AA@_gsAW@qca,5,5.81434075
L?AA@_gs?wXGBS,5,5.81099876
L?AA@_gs?kH_c`,5,5.80381435
L?AA@_gsEQJ_BS,5,5.80145539
L?AA@_gs?YxG^?,5,5.81641516
L?AA@_gs?Yic^?,5,5.82071036
L?AA@aHkBOJ_BS,5,5.82083804
L?AA@aHkBOHgTG,5,5.85291798
L?AA@aHkBOHg\G,5,5.83898123
L?AA@aHkBOIcBS,5,5.83124507
L?AA@aHkBOIcRS,5,5.83458178
L?AA@aHkBOHi^?,5,5.80871336
L?AA@aHkBOHi\G,5,5.81660281
L?AA@aHkFOM_RS,5,5.80766678
L?AA@aHkFOIcRS,5,5.81901585
L?AA@aHk@WJ?BS,5,5.80089793
L?AA@aHkBWN?RS,5,5.81002007
L?AA@aHkAY\?\G,5,5.81614799
L?AA@aHkAYKc}?,5,5.81614475
L?AADb_L?s@s}?,5,5.82454611
L?AADb_L?s@s^?,5,5.81228366
L?AADb_L?[BS}?,5,5.80239201
L?AADb_L?[Bs}?,5,5.80658543
L?AADb_I_wN?Bo,5,5.83812675
L?AADb_I_wN?Bg,5,5.86724206
L?AADb_I_wN?Fg,5,5.80735847
L?AADb_I_w@wk_,5,5.82874600
L?AADb_I_wAs}?,5,5.83363468
L?AADb_I_w@sy?,5,5.84867102
L?AADb_I_w@s}?,5,5.85234085
L?AADb_I_wBs}?,5,5.80290072
L?AADb_I_kZ?Bg,5,5.82659777
L?AADb_I_kZ?Fg,5,5.81182738
L?AADb_I_kB_qA,5,5.82097542
L?AADb_I_kB_iA,5,5.81711733
L?AADb_I_kB_YA,5,5.80869247
L?AADb_I_kB_yA,5,5.82070325
L?AADb_I_kBs}?,5,5.82018296
L?AADb_I_[J?FG,5,5.80073279
L?AADb_I_[J?Eg,5,5.80458350
L?AADb_I_[J?Dg,5,5.81421191
L?AADb_I_[J?Fg,5,5.81185423
L?AADb_I_[Bs}?,5,5.81454181
L?AADb_BnOBoN_,5,5.82217095
L?AADb_BmoBoN_,5,5.80498689
L?AADb_BiwN?Fg,5,5.80094327
L?AADb_BksBo}?,5,5.81452178
L?AADb_Bhs^?Fg,5,5.80495251
L?AADb_Bg{N?\?,5,5.80810980
L?AADb_Bg{N?N?,5,5.88319646
L?AADb_Bg{N?^?,5,5.81236885
L?AADb_Bg{N?M_,5,5.87506212
L?AADb_Bg{N?L_,5,5.81785966
L?AADb_Bg{N?N_,5,5.82425571
L?AADb_Bg{^?N_,5,5.81427043
L?AADb_Bg{FO}?,5,5.86170150
L?AADbGY@gBoHg,5,5.80540311
L?AADbGY@gBoDg,5,5.83189187
L?AADbGY@gBoDc,5,5.80505497
L?AADbGY@WAoLG,5,5.80107807
L?AADbGY@WAoKg,5,5.80122851
L?AADbGY@WAoHg,5,5.82008990
L?AADbGY@WAoLg,5,5.81375160
L?AADbGY?wEOHg,5,5.81681299
L?AADbGY?wEODg,5,5.84462974
L?AADbGY?wEoHg,5,5.82269002
L?AADbGY?wEoDg,5,5.84777271
L?AADbGY?wEoDc,5,5.81342968
L?AADbGY@c@oDg,5,5.81870755
