g6,alpha,theta_ub
L?AA@BOmBWFOJg,5,5.82204658
L?AA@BOmDcL_Jg,5,5.81247628
L?AA@BOmDSM_Jg,5,5.84588080
L?AA@BOmDSL_Jg,5,5.84236656
L?AA@BOmDSJ_Jg,5,5.82150813
L?AA@BOmDS@[uO,5,5.83035916
L?AA@BOm@sM_Jg,5,5.82617956
L?AA@BOm@sDoBw,5,5.80318879
L?AA@BOm?{FOBw,5,5.81194190
L?AA@BOm?{@we_,5,5.80840525
L?AA@BOmCUDSuO,5,5.80635752
L?AA@BOm?u@we_,5,5.81901928
L?AA@BOm?u@weO,5,5.80663594
L?AA@BWN@kXGm?,5,5.81421498
L?AA@BWN@kXG]?,5,5.83294592
L?AAD@OI@gUODs,5,5.81585310
L?AAD@OI@g@oDc,5,5.80659965
L?AAD@OI@g@oCs,5,5.82038111
L?AAD@OI@g@oDs,5,5.83136761
L?AAD@OI@g@Wm_,5,5.80279299
L?AAD@OI@gAwk_,5,5.81774906
L?AAD@OI@gAwAy,5,5.80068004
L?AAD@OI@gQQDs,5,5.81261434
L?AAD@OI@gAYk_,5,5.82551045
L?AAD@OIBgCsDs,5,5.80689473
L?AAD@OIBg@[N_,5,5.80605832
L?AAD@OIAWQOAo,5,5.80070686
L?AAD@OIAWQODo,5,5.80527521
L?AAD@OIAWUOBg,5,5.81842586
L?AAD@OIAWUOJg,5,5.80476236
L?AAD@OIAWUOCs,5,5.81009337
L?AAD@OI@WBOCs,5,5.81721125
L?AAD@OI@WBODs,5,5.80269221
L?AAD@OI@WBoCs,5,5.83475729
L?AAD@OI@WBoDs,5,5.82069406
L?AAD@OI?wUOFo,5,5.80457897
L?AAD@OI?wUOBW,5,5.82255713
L?AAD@OI?wUOBw,5,5.80128338
L?AAD@OI?wFODs,5,5.82374966
L?AAD@OI?wDoCs,5,5.82934879
L?AAD@OI?wDoDs,5,5.83051987
L?AAD@OI?wDcDs,5,5.80623618
L?AAD@OI?wCsDs,5,5.80116248
L?AAD@OIAwCsN_,5,5.80735291
L?AAD@OICcM_Ds,5,5.83956989
L?AAD@OICcB_Do,5,5.80131535
L?AAD@OICcB_Bo,5,5.80152965
L?AAD@OICcBGAY,5,5.80260165
L?AAD@OICcJGAY,5,5.80518473
L?AAD@OICcAwXA,5,5.80900892
L?AAD@OICcAqXA,5,5.80253966
L?AAD@OI@cH_Bg,5,5.81744284
L?AAD@OI@cH_Aw,5,5.80711269
L?AAD@OI@cB_Dc,5,5.80071389
L?AAD@OI@cB_Ds,5,5.80475949
L?AAD@OI@cBGCs,5,5.80344333
L?AAD@OI@cJGCs,5,5.83314760
L?AAD@OI@cJGAY,5,5.81167251
L?AAD@OI@cAYQQ,5,5.80940737
L?AAD@OIDcM_Ds,5,5.80865958
L?AAD@OI?sM_Aw,5,5.81226607
L?AAD@OI?sF_Ds,5,5.80217023
L?AAD@OI?sJGAw,5,5.83495388
L?AAD@OI@kUODs,5,5.81704802
L?AAD@OI?{M_Aw,5,5.81672404
L?AAD@OI?{M_Bw,5,5.80222725
L?AAD@OI?{FODs,5,5.82089133
L?AAD@OICcm_Ds,5,5.81910112
L?AADBOX?wUOHg,5,5.82584251
L?AADBOX?wAYTO,5,5.83799221
L?AADBOX@cJ_Hg,5,5.80783742
L?AADBOX@cHgHg,5,5.82642537
L?AADBOXDcBoHg,5,5.82246771
L?AADBOXDcCs}?,5,5.82989238
L?AADBOXDcCs^?,5,5.82207317
L?AADBOXDcCsm_,5,5.82937573
L?AADBOXDcCsN_,5,5.80558631
L?AADBOXDcCsJg,5,5.81460738
L?AADBOXDcCsec,5,5.83210699
