g6,alpha,theta_ub
L?AA@?OyAwROFo,5,5.83968939
L?AA@AOuBWFOJg,5,5.82367926
L?AA@AOu@wFOZG,5,5.81174763
L?AA@AOu@wEoZG,5,5.84043979
L?AA@AOu@wDoZG,5,5.80463692
L?AA@AOu@wHgZG,5,5.80621441
L?AA@AOuDSL_Jg,5,5.83733249
L?AA@AOuDSDoZG,5,5.80748028
L?AA@AOuDSLCJg,5,5.82017695
L?AA@AOuDSHcJg,5,5.81134124
L?AA@AOuDSDc^?,5,5.80760429
L?AA@AOuCsLCJg,5,5.80054356
L?AA@AOu@[FOZG,5,5.84215703
L?AA@AOuBPF_N_,5,5.80554706
L?AA@AOuBPFON_,5,5.80587587
L?AA@AOuBPFOJg,5,5.83555309
L?AA@AOuBPEo\?,5,5.81545962
L?AA@AOuBPEoN_,5,5.80606277
L?AA@AOuBPDom_,5,5.80159071
L?AA@AOuBPDoN_,5,5.80392597
L?AA@AOuBPIg^?,5,5.80535395
L?AA@AOuBPIgRW,5,5.81110291
L?AA@AOuBPBgRW,5,5.80697455
L?AA@AOuAXF_VO,5,5.80345959
L?AA@AOuAXFOJg,5,5.80044761
L?AA@AOu@XFO^?,5,5.80822822
L?AA@AOu@TL_m_,5,5.80348371
L?AA@AOu@TFOZG,5,5.80579818
L?AA@BWmDcJGRQ,5,5.81728500
L?AAD@OXCoUOHi,5,5.85215725
L?AAD@OXCoTOHa,5,5.80620661
L?AAD@OXCoTOHi,5,5.80922729
L?AAD@OXCoHgaK,5,5.81955315
L?AAD@OXCoBgac,5,5.80278603
L?AAD@OXCoBgAs,5,5.82810761
L?AAD@OXCoBgaK,5,5.81348368
L?AAD@OXCoBgA[,5,5.85213898
L?AAD@OXEoUOHi,5,5.83385208
L?AAD@OXEoBgaK,5,5.80705008
L?AAD@OX@oBOAw,5,5.81989743
L?AAD@OX@oBOAs,5,5.83540965
L?AAD@OX@oBOA{,5,5.80570189
L?AAD@OX@oBoAw,5,5.81590154
L?AAD@OX@oAwk_,5,5.80001785
L?AAD@OX@oAwHg,5,5.81509716
L?AAD@OX@oAwcc,5,5.81444496
L?AAD@OXCcDoDo,5,5.80981806
L?AAD@OXCcDoHg,5,5.83866662
L?AAD@OXCcBgAs,5,5.80141027
L?AAD@OXCcAwy?,5,5.83592010
L?AAD@OXCcAwu?,5,5.81391566
L?AAD@OXCcAw]?,5,5.85411437
L?AAD@OXCcAw}?,5,5.83947311
L?AAD@OXCcAwV?,5,5.83627906
L?AAD@OXCcAw^?,5,5.84720791
L?AAD@OXCcAwe_,5,5.83434857
L?AAD@OXCcAwm_,5,5.82553386
L?AAD@OXCcAwN_,5,5.80995898
L?AAD@OXCcAwRO,5,5.81004093
L?AAD@OXCcAwFO,5,5.82356236
L?AAD@OXCcAwVO,5,5.80227802
L?AAD@OXCcAwFo,5,5.83650156
L?AAD@OXCcAwac,5,5.82234686
L?AAD@OXCcAwec,5,5.81676493
L?AAD@OXCcAwaK,5,5.82392735
L?AAD@OXCcAwak,5,5.82691051
L?AAD@OX@cFOCs,5,5.81410666
L?AAD@OX@cBgCs,5,5.81708010
L?AAD@OX@cTCCt,5,5.81659688
L?AAD@OX@cCs}?,5,5.81904255
L?AAD@OX@cCsm_,5,5.82835814
L?AAD@OX@cCsec,5,5.81436118
L?AAD@OX@cCsak,5,5.80902953
L?AAD@OX@cCsRA,5,5.80615910
L?AAD@OX@cCsRQ,5,5.81998632
L?AAD@OX@cCsBY,5,5.82367645
L?AAD@OX@cCsA],5,5.81858008
L?AAD@OXDcAw]?,5,5.80117659
L?AAD@OXDcAw^?,5,5.80248737
L?AAD@OXDSDoBw,5,5.81408250
L?AAD@OXDSDoA{,5,5.81353108
L?AAD@OXDSAwHg,5,5.80988467
L?AAD@OXDS@wJg,5,5.81078764
L?AAD@OXDSCs}?,5,5.80923255
L?AAD@OXDSCsBw,5,5.81793440
L?AAD@OXDSCscc,5,5.80100199
L?AAD@OXDSCsA{,5,5.84360417
L?AAD@OXDSDsBw,5,5.80253780
L?AAD@OXDSDsA{,5,5.80380844
L?AAD@OX?sV?As,5,5.80769513
L?AAD@OX?sN?ak,5,5.80025813
L?AAD@OX?sF_ac,5,5.81796841
L?AAD@OX?sUODo,5,5.80218639
L?AAD@OX?sUOHg,5,5.84613915
L?AAD@OX?sUOCs,5,5.80303112
L?AAD@OX?sPS]?,5,5.81312904
L?AAD@OX?sPSN?,5,5.81400511
L?AAD@OX?sCscc,5,5.80447940
L?AAD@OX@sAwHg,5,5.81755276
L?AAD@OX@[TSBw,5,5.81021586
L?AAD@OX@[PUBw,5,5.80878575
L?AAD@OXDPDoBw,5,5.82274095
L?AAD@OXDPDoA{,5,5.82810033
L?AAD@OXDPAwHg,5,5.84134160
L?AAD@OXDP@wHg,5,5.82017982
L?AAD@OXDP@wJg,5,5.82354024
L?AAD@OXDP@k^?,5,5.82807722
L?AAD@OX@XTOBw,5,5.83899680
L?AAD@OX@XTOA{,5,5.84132891
